rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1497,0.1084,0.001,0.055,0.048,0.651,0.006,0.212,33.26,0.04,13357.0,0.4262
1000.0,0.45,0.0473,0.0642,0.1492,0.1099,0.001,0.056,0.048,0.66,0.006,0.212,32.702,0.04,13377.0,0.4184
1000.0,0.9,0.0945,0.1259,0.1487,0.1117,0.001,0.057,0.047,0.67,0.006,0.211,32.09,0.04,13399.0,0.41
1000.0,1.34,0.1418,0.185,0.1483,0.1136,0.001,0.058,0.047,0.682,0.007,0.21,31.428,0.04,13425.0,0.4009
1000.0,1.79,0.1891,0.2411,0.1478,0.1159,0.001,0.059,0.047,0.695,0.007,0.209,30.72,0.04,13454.0,0.3912
1000.0,2.24,0.2363,0.294,0.1472,0.1183,0.001,0.06,0.047,0.71,0.007,0.209,29.97,0.04,13487.0,0.3809
1000.0,2.69,0.2836,0.3436,0.1465,0.1209,0.001,0.061,0.047,0.726,0.007,0.208,29.186,0.04,13524.0,0.3701
1000.0,3.13,0.3308,0.3897,0.1457,0.1237,0.001,0.063,0.046,0.742,0.007,0.207,28.376,0.04,13566.0,0.3588
1000.0,3.58,0.3781,0.4324,0.1447,0.1265,0.001,0.064,0.046,0.759,0.007,0.205,27.549,0.04,13612.0,0.3472
1000.0,4.03,0.4254,0.4717,0.1434,0.1293,0.001,0.066,0.046,0.776,0.007,0.203,26.713,0.04,13662.0,0.3351
1000.0,4.48,0.4726,0.5077,0.1418,0.132,0.001,0.067,0.045,0.792,0.008,0.201,25.877,0.04,13717.0,0.3228
1000.0,4.92,0.5199,0.5406,0.1398,0.1344,0.001,0.068,0.045,0.806,0.008,0.198,25.049,0.04,13777.0,0.3102
1000.0,5.37,0.5672,0.5706,0.1372,0.1364,0.001,0.069,0.044,0.818,0.008,0.194,24.234,0.04,13841.0,0.2973
1000.0,5.82,0.6144,0.5979,0.134,0.1377,0.001,0.07,0.043,0.827,0.008,0.19,23.439,0.04,13910.0,0.2842
1000.0,6.27,0.6617,0.6226,0.1302,0.1384,0.001,0.07,0.041,0.83,0.008,0.185,22.666,0.04,13984.0,0.2709
1000.0,6.71,0.7089,0.645,0.1256,0.1381,0.001,0.07,0.04,0.828,0.008,0.178,21.916,0.04,14062.0,0.2573
1000.0,7.16,0.7562,0.6652,0.1202,0.1367,0.001,0.069,0.038,0.82,0.008,0.17,21.188,0.04,14145.0,0.2433
1000.0,7.61,0.8035,0.683,0.114,0.1341,0.001,0.068,0.036,0.805,0.008,0.162,20.475,0.04,14233.0,0.229
1000.0,8.06,0.8507,0.6982,0.1069,0.1303,0.001,0.066,0.034,0.782,0.007,0.152,19.768,0.04,14324.0,0.2141
1000.0,8.5,0.898,0.7102,0.0991,0.1253,0.001,0.064,0.032,0.752,0.007,0.14,19.051,0.04,14420.0,0.1986
1000.0,8.95,0.9453,0.7183,0.0906,0.1192,0.001,0.06,0.029,0.715,0.007,0.128,18.304,0.04,14520.0,0.1825
1000.0,9.4,0.9925,0.7212,0.0815,0.1121,0.001,0.057,0.026,0.673,0.006,0.116,17.504,0.04,14624.0,0.1655
1000.0,9.85,1.0398,0.7174,0.072,0.1044,0.001,0.053,0.023,0.626,0.006,0.102,16.62,0.04,14731.0,0.1477
1000.0,10.29,1.087,0.7047,0.0622,0.0959,0.001,0.049,0.02,0.576,0.005,0.088,15.616,0.04,14843.0,0.129
1000.0,10.74,1.1343,0.6799,0.0521,0.0869,0.001,0.044,0.017,0.521,0.005,0.074,14.438,0.04,14957.0,0.1092
