rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1105,0.0484,0.0,0.025,0.035,0.29,0.003,0.157,55.036,0.04,17561.0,0.606
1000.0,0.17,0.0178,0.0399,0.108,0.0483,0.0,0.024,0.034,0.29,0.003,0.153,53.91,0.04,17572.0,0.5869
1000.0,0.34,0.0356,0.078,0.1054,0.0481,0.0,0.024,0.034,0.289,0.003,0.149,52.759,0.04,17584.0,0.5674
1000.0,0.51,0.0534,0.1144,0.1028,0.048,0.0,0.024,0.033,0.288,0.003,0.146,51.582,0.04,17596.0,0.5477
1000.0,0.67,0.0712,0.149,0.1,0.0478,0.0,0.024,0.032,0.287,0.003,0.142,50.379,0.04,17609.0,0.5276
1000.0,0.84,0.0891,0.1817,0.0971,0.0476,0.0,0.024,0.031,0.286,0.003,0.138,49.147,0.04,17622.0,0.5073
1000.0,1.01,0.1069,0.2124,0.0941,0.0474,0.0,0.024,0.03,0.284,0.003,0.133,47.884,0.04,17636.0,0.4866
1000.0,1.18,0.1247,0.2411,0.0911,0.0471,0.0,0.024,0.029,0.283,0.003,0.129,46.588,0.04,17650.0,0.4657
1000.0,1.35,0.1425,0.2677,0.0879,0.0468,0.0,0.024,0.028,0.281,0.003,0.125,45.255,0.04,17665.0,0.4444
1000.0,1.52,0.1603,0.292,0.0846,0.0464,0.0,0.024,0.027,0.279,0.003,0.12,43.882,0.04,17680.0,0.4228
1000.0,1.69,0.1781,0.314,0.0812,0.0461,0.0,0.023,0.026,0.276,0.003,0.115,42.467,0.04,17696.0,0.4009
1000.0,1.86,0.1959,0.3335,0.0777,0.0457,0.0,0.023,0.025,0.274,0.003,0.11,41.004,0.04,17713.0,0.3787
1000.0,2.02,0.2137,0.3504,0.0741,0.0452,0.0,0.023,0.024,0.271,0.003,0.105,39.491,0.04,17730.0,0.3562
1000.0,2.19,0.2315,0.3645,0.0704,0.0447,0.0,0.023,0.022,0.269,0.003,0.1,37.921,0.04,17747.0,0.3334
1000.0,2.36,0.2494,0.3757,0.0666,0.0442,0.0,0.022,0.021,0.265,0.003,0.094,36.289,0.04,17765.0,0.3103
1000.0,2.53,0.2672,0.3836,0.0627,0.0437,0.0,0.022,0.02,0.262,0.003,0.089,34.59,0.04,17784.0,0.2869
1000.0,2.7,0.285,0.3883,0.0587,0.0431,0.0,0.022,0.019,0.259,0.002,0.083,32.819,0.04,17804.0,0.2634
1000.0,2.87,0.3028,0.3893,0.0546,0.0425,0.0,0.022,0.017,0.255,0.002,0.077,30.972,0.04,17823.0,0.2397
1000.0,3.04,0.3206,0.3865,0.0504,0.0418,0.0,0.021,0.016,0.251,0.002,0.071,29.041,0.04,17844.0,0.216
1000.0,3.2,0.3384,0.3796,0.0461,0.0411,0.0,0.021,0.015,0.247,0.002,0.065,27.021,0.04,17865.0,0.1923
1000.0,3.37,0.3562,0.3683,0.0418,0.0404,0.0,0.02,0.013,0.243,0.002,0.059,24.906,0.04,17887.0,0.1686
1000.0,3.54,0.374,0.3523,0.0374,0.0397,0.0,0.02,0.012,0.238,0.002,0.053,22.686,0.04,17909.0,0.1453
1000.0,3.71,0.3918,0.3311,0.0329,0.0389,0.0,0.02,0.01,0.233,0.002,0.047,20.356,0.04,17933.0,0.1222
1000.0,3.88,0.4097,0.3045,0.0283,0.0381,0.0,0.019,0.009,0.229,0.002,0.04,17.906,0.04,17956.0,0.0998
1000.0,4.05,0.4275,0.272,0.0237,0.0373,0.0,0.019,0.008,0.224,0.002,0.034,15.327,0.04,17981.0,0.0782
1000.0,4.22,0.4453,0.2331,0.0191,0.0364,0.0,0.018,0.006,0.218,0.002,0.027,12.61,0.04,18006.0,0.0577
1000.0,4.39,0.4631,0.1874,0.0144,0.0355,0.0,0.018,0.005,0.213,0.002,0.02,9.746,0.04,18031.0,0.0387
1000.0,4.55,0.4809,0.1342,0.0097,0.0346,0.0,0.018,0.003,0.207,0.002,0.014,6.724,0.04,18058.0,0.0219
1000.0,4.72,0.4987,0.0732,0.0049,0.0336,0.0,0.017,0.002,0.202,0.002,0.007,3.534,0.04,18085.0,0.0082
1000.0,4.89,0.5165,0.0034,0.0002,0.0326,0.0,0.017,0.0,0.196,0.002,0.0,0.158,0.04,18112.0,0.0001
2000.0,0.0,0.0,0.0,0.1108,0.0449,0.003,0.091,0.141,2.157,0.01,0.628,29.7,0.08,35121.0,0.6549
2000.0,0.34,0.0179,0.0433,0.1083,0.0448,0.003,0.091,0.138,2.152,0.01,0.614,29.099,0.08,35144.0,0.6344
2000.0,0.68,0.0359,0.0849,0.1057,0.0447,0.003,0.091,0.135,2.145,0.01,0.599,28.488,0.08,35168.0,0.6136
2000.0,1.02,0.0538,0.1245,0.103,0.0445,0.003,0.09,0.131,2.137,0.01,0.584,27.868,0.08,35192.0,0.5925
2000.0,1.36,0.0717,0.1622,0.1002,0.0443,0.003,0.09,0.128,2.127,0.01,0.568,27.237,0.08,35218.0,0.5712
