rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1503,0.0937,0.001,0.077,0.07,0.905,0.009,0.312,35.132,0.04,12832.0,0.4963
1000.0,0.25,0.0238,0.0375,0.1476,0.0938,0.001,0.077,0.069,0.907,0.009,0.306,34.449,0.04,12844.0,0.4822
1000.0,0.5,0.0477,0.0735,0.1447,0.0939,0.001,0.077,0.068,0.907,0.009,0.3,33.753,0.04,12856.0,0.4678
1000.0,0.74,0.0715,0.1079,0.1417,0.0939,0.001,0.077,0.066,0.907,0.009,0.294,33.044,0.04,12869.0,0.4532
1000.0,0.99,0.0953,0.1407,0.1384,0.0938,0.001,0.077,0.065,0.906,0.009,0.287,32.322,0.04,12883.0,0.4382
1000.0,1.24,0.1192,0.1719,0.135,0.0936,0.001,0.076,0.063,0.905,0.009,0.28,31.587,0.04,12897.0,0.4229
1000.0,1.49,0.143,0.2014,0.1314,0.0933,0.001,0.076,0.061,0.902,0.009,0.273,30.838,0.04,12913.0,0.4074
1000.0,1.74,0.1668,0.2291,0.1276,0.0929,0.001,0.076,0.06,0.898,0.009,0.265,30.075,0.04,12929.0,0.3915
1000.0,1.99,0.1906,0.2551,0.1236,0.0924,0.001,0.075,0.058,0.893,0.009,0.257,29.296,0.04,12946.0,0.3753
1000.0,2.23,0.2145,0.2791,0.1194,0.0917,0.001,0.075,0.056,0.886,0.008,0.248,28.501,0.04,12963.0,0.3588
1000.0,2.48,0.2383,0.3013,0.1149,0.0909,0.001,0.074,0.054,0.878,0.008,0.239,27.687,0.04,12982.0,0.342
1000.0,2.73,0.2621,0.3214,0.1103,0.0899,0.001,0.073,0.051,0.869,0.008,0.229,26.852,0.04,13001.0,0.3249
1000.0,2.98,0.286,0.3395,0.1054,0.0888,0.001,0.073,0.049,0.858,0.008,0.219,25.994,0.04,13021.0,0.3075
1000.0,3.23,0.3098,0.3552,0.1004,0.0876,0.001,0.072,0.047,0.846,0.008,0.208,25.109,0.04,13042.0,0.2899
1000.0,3.48,0.3336,0.3686,0.0952,0.0862,0.001,0.07,0.044,0.833,0.008,0.198,24.192,0.04,13064.0,0.272
1000.0,3.72,0.3575,0.3794,0.0898,0.0846,0.001,0.069,0.042,0.818,0.008,0.186,23.241,0.04,13087.0,0.2538
1000.0,3.97,0.3813,0.3874,0.0843,0.083,0.001,0.068,0.039,0.802,0.008,0.175,22.25,0.04,13111.0,0.2354
1000.0,4.22,0.4051,0.3925,0.0786,0.0812,0.001,0.066,0.037,0.784,0.007,0.163,21.214,0.04,13135.0,0.2167
1000.0,4.47,0.4289,0.3942,0.0728,0.0792,0.001,0.065,0.034,0.765,0.007,0.151,20.125,0.04,13161.0,0.1978
1000.0,4.72,0.4528,0.3924,0.0668,0.0771,0.001,0.063,0.031,0.745,0.007,0.139,18.976,0.04,13187.0,0.1787
1000.0,4.96,0.4766,0.3865,0.0607,0.0748,0.001,0.061,0.028,0.723,0.007,0.126,17.756,0.04,13214.0,0.1594
1000.0,5.21,0.5004,0.376,0.0544,0.0724,0.001,0.059,0.025,0.7,0.007,0.113,16.454,0.04,13243.0,0.1398
1000.0,5.46,0.5243,0.3605,0.048,0.0698,0.001,0.057,0.022,0.675,0.006,0.1,15.056,0.04,13272.0,0.1202
1000.0,5.71,0.5481,0.339,0.0415,0.0671,0.001,0.055,0.019,0.649,0.006,0.086,13.543,0.04,13302.0,0.1005
1000.0,5.96,0.5719,0.3106,0.0349,0.0642,0.001,0.052,0.016,0.621,0.006,0.072,11.893,0.04,13333.0,0.0809
1000.0,6.21,0.5958,0.2742,0.0282,0.0612,0.001,0.05,0.013,0.592,0.006,0.058,10.079,0.04,13365.0,0.0616
1000.0,6.45,0.6196,0.2282,0.0214,0.058,0.001,0.047,0.01,0.561,0.005,0.044,8.064,0.04,13398.0,0.043
1000.0,6.7,0.6434,0.1705,0.0145,0.0547,0.001,0.045,0.007,0.528,0.005,0.03,5.803,0.04,13432.0,0.0255
1000.0,6.95,0.6672,0.0986,0.0076,0.0512,0.001,0.042,0.004,0.495,0.005,0.016,3.235,0.04,13467.0,0.0102
1000.0,7.2,0.6911,0.0087,0.0006,0.0476,0.001,0.039,0.0,0.46,0.004,0.001,0.275,0.04,13502.0,0.0002
2000.0,0.0,0.0,0.0,0.1515,0.0802,0.008,0.262,0.283,6.202,0.03,1.257,20.676,0.09,25664.0,0.5864
2000.0,0.5,0.0242,0.0447,0.1487,0.0804,0.008,0.263,0.278,6.219,0.03,1.235,20.246,0.09,25688.0,0.569
2000.0,1.01,0.0484,0.0875,0.1459,0.0806,0.008,0.263,0.272,6.232,0.03,1.211,19.812,0.09,25713.0,0.5514
