rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1641,0.0763,0.001,0.062,0.077,0.737,0.007,0.341,47.1,0.04,21138.0,0.6952
1000.0,0.29,0.0279,0.0586,0.1617,0.077,0.001,0.063,0.075,0.744,0.007,0.336,45.995,0.04,21160.0,0.6739
1000.0,0.58,0.0558,0.1144,0.1591,0.0776,0.001,0.063,0.074,0.75,0.007,0.33,44.904,0.04,21185.0,0.6526
1000.0,0.87,0.0837,0.1675,0.1563,0.0781,0.001,0.064,0.073,0.754,0.007,0.324,43.831,0.04,21211.0,0.6313
1000.0,1.16,0.1116,0.2179,0.1532,0.0784,0.001,0.064,0.071,0.758,0.007,0.318,42.776,0.04,21240.0,0.6101
1000.0,1.45,0.1394,0.2658,0.1499,0.0787,0.001,0.064,0.07,0.76,0.007,0.311,41.738,0.04,21270.0,0.5889
1000.0,1.74,0.1673,0.3111,0.1464,0.0787,0.001,0.064,0.068,0.761,0.007,0.304,40.717,0.04,21303.0,0.5677
1000.0,2.03,0.1952,0.354,0.1426,0.0786,0.001,0.064,0.067,0.76,0.007,0.296,39.711,0.04,21337.0,0.5464
1000.0,2.32,0.2231,0.3945,0.1385,0.0784,0.001,0.064,0.065,0.757,0.007,0.288,38.719,0.04,21374.0,0.5251
1000.0,2.61,0.251,0.4325,0.1342,0.0779,0.001,0.064,0.063,0.753,0.007,0.278,37.737,0.04,21413.0,0.5037
1000.0,2.91,0.2789,0.4682,0.1295,0.0771,0.001,0.063,0.06,0.746,0.007,0.269,36.762,0.04,21454.0,0.4821
1000.0,3.2,0.3068,0.5014,0.1245,0.0762,0.001,0.062,0.058,0.736,0.007,0.258,35.79,0.04,21497.0,0.4601
1000.0,3.49,0.3347,0.5321,0.1191,0.0749,0.001,0.061,0.056,0.724,0.007,0.247,34.814,0.04,21542.0,0.4378
1000.0,3.78,0.3626,0.56,0.1133,0.0734,0.001,0.06,0.053,0.709,0.007,0.235,33.826,0.04,21589.0,0.4149
