rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1262,0.0746,0.001,0.094,0.083,1.113,0.011,0.371,33.975,0.05,18521.0,0.4797
1000.0,0.42,0.037,0.0611,0.1255,0.076,0.002,0.096,0.083,1.135,0.011,0.369,33.143,0.05,18540.0,0.4666
1000.0,0.84,0.074,0.119,0.1246,0.0775,0.002,0.098,0.082,1.157,0.011,0.366,32.286,0.05,18562.0,0.4531
1000.0,1.26,0.1109,0.1736,0.1237,0.079,0.002,0.1,0.082,1.18,0.011,0.364,31.411,0.05,18586.0,0.4391
1000.0,1.68,0.1479,0.2249,0.1226,0.0806,0.002,0.102,0.081,1.204,0.011,0.36,30.524,0.05,18614.0,0.4248
1000.0,2.1,0.1849,0.2729,0.1213,0.0822,0.002,0.104,0.08,1.227,0.012,0.356,29.632,0.05,18645.0,0.4102
1000.0,2.52,0.2219,0.3177,0.1198,0.0837,0.002,0.106,0.079,1.249,0.012,0.352,28.742,0.05,18679.0,0.3954
1000.0,2.94,0.2588,0.3592,0.118,0.0851,0.002,0.107,0.078,1.27,0.012,0.347,27.857,0.05,18717.0,0.3804
1000.0,3.36,0.2958,0.3977,0.116,0.0863,0.002,0.109,0.077,1.289,0.012,0.341,26.984,0.05,18759.0,0.3653
1000.0,3.78,0.3328,0.4331,0.1137,0.0874,0.002,0.11,0.075,1.304,0.012,0.334,26.124,0.05,18804.0,0.3501
1000.0,4.2,0.3698,0.4657,0.111,0.0882,0.002,0.111,0.073,1.316,0.013,0.326,25.279,0.05,18853.0,0.3348
1000.0,4.62,0.4068,0.4954,0.108,0.0887,0.002,0.112,0.071,1.324,0.013,0.317,24.449,0.05,18906.0,0.3194
1000.0,5.04,0.4437,0.5225,0.1046,0.0888,0.002,0.112,0.069,1.326,0.013,0.307,23.634,0.05,18962.0,0.3038
1000.0,5.46,0.4807,0.5468,0.1008,0.0886,0.002,0.112,0.067,1.323,0.013,0.296,22.831,0.05,19023.0,0.2881
1000.0,5.88,0.5177,0.5683,0.0965,0.0879,0.002,0.111,0.064,1.313,0.013,0.284,22.037,0.05,19087.0,0.2721
1000.0,6.3,0.5547,0.5871,0.0918,0.0867,0.002,0.109,0.061,1.295,0.012,0.27,21.248,0.05,19155.0,0.2559
1000.0,6.72,0.5917,0.6031,0.0866,0.085,0.002,0.107,0.057,1.269,0.012,0.255,20.46,0.05,19226.0,0.2394
1000.0,7.14,0.6286,0.6159,0.0811,0.0828,0.002,0.104,0.054,1.236,0.012,0.238,19.666,0.05,19302.0,0.2226
1000.0,7.56,0.6656,0.6253,0.0752,0.0801,0.002,0.101,0.05,1.196,0.011,0.221,18.859,0.05,19380.0,0.2056
1000.0,7.98,0.7026,0.631,0.0691,0.0769,0.002,0.097,0.046,1.149,0.011,0.203,18.027,0.05,19463.0,0.1884
1000.0,8.4,0.7396,0.6322,0.0627,0.0734,0.001,0.093,0.041,1.096,0.01,0.184,17.158,0.05,19549.0,0.1708
1000.0,8.82,0.7765,0.6281,0.0562,0.0695,0.001,0.088,0.037,1.037,0.01,0.165,16.237,0.05,19638.0,0.153
