rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1413,0.0706,0.001,0.089,0.093,1.054,0.01,0.415,40.203,0.05,15441.0,0.6007
1000.0,0.28,0.0247,0.0484,0.1389,0.0708,0.001,0.089,0.092,1.057,0.01,0.408,39.371,0.05,15455.0,0.5831
1000.0,0.56,0.0494,0.0948,0.1362,0.071,0.001,0.09,0.09,1.06,0.01,0.4,38.533,0.05,15470.0,0.5653
1000.0,0.84,0.0741,0.1391,0.1334,0.0711,0.001,0.09,0.088,1.061,0.01,0.392,37.691,0.05,15485.0,0.5472
1000.0,1.12,0.0987,0.1813,0.1304,0.0711,0.001,0.09,0.086,1.061,0.01,0.383,36.845,0.05,15502.0,0.5289
1000.0,1.4,0.1234,0.2213,0.1272,0.071,0.001,0.09,0.084,1.06,0.01,0.374,35.996,0.05,15520.0,0.5104
1000.0,1.68,0.1481,0.2593,0.1239,0.0708,0.001,0.089,0.082,1.057,0.01,0.364,35.141,0.05,15539.0,0.4916
1000.0,1.96,0.1728,0.2951,0.1203,0.0704,0.001,0.089,0.08,1.052,0.01,0.354,34.282,0.05,15559.0,0.4726
1000.0,2.24,0.1975,0.3288,0.1165,0.07,0.001,0.088,0.077,1.045,0.01,0.343,33.416,0.05,15579.0,0.4534
1000.0,2.52,0.2222,0.3602,0.1125,0.0694,0.001,0.088,0.074,1.037,0.01,0.331,32.543,0.05,15602.0,0.434
1000.0,2.81,0.2469,0.3894,0.1084,0.0687,0.001,0.087,0.072,1.026,0.01,0.318,31.659,0.05,15625.0,0.4142
1000.0,3.09,0.2716,0.4162,0.104,0.0678,0.001,0.086,0.069,1.013,0.01,0.306,30.763,0.05,15649.0,0.3943
1000.0,3.37,0.2962,0.4405,0.0994,0.0668,0.001,0.084,0.066,0.998,0.01,0.292,29.85,0.05,15674.0,0.374
1000.0,3.65,0.3209,0.4623,0.0946,0.0656,0.001,0.083,0.062,0.98,0.009,0.278,28.917,0.05,15701.0,0.3534
1000.0,3.93,0.3456,0.4814,0.0896,0.0643,0.001,0.081,0.059,0.96,0.009,0.263,27.958,0.05,15729.0,0.3326
1000.0,4.21,0.3703,0.4975,0.0844,0.0628,0.001,0.079,0.056,0.938,0.009,0.248,26.967,0.05,15758.0,0.3114
1000.0,4.49,0.395,0.5104,0.0791,0.0612,0.001,0.077,0.052,0.914,0.009,0.232,25.939,0.05,15788.0,0.29
1000.0,4.77,0.4197,0.5199,0.0736,0.0594,0.001,0.075,0.049,0.887,0.008,0.216,24.865,0.05,15819.0,0.2682
1000.0,5.05,0.4444,0.5254,0.068,0.0575,0.001,0.073,0.045,0.859,0.008,0.2,23.735,0.05,15851.0,0.246
1000.0,5.33,0.4691,0.5267,0.0623,0.0554,0.001,0.07,0.041,0.828,0.008,0.183,22.539,0.05,15885.0,0.2236
1000.0,5.61,0.4937,0.523,0.0564,0.0532,0.001,0.067,0.037,0.795,0.008,0.166,21.262,0.05,15920.0,0.2007
1000.0,5.89,0.5184,0.5136,0.0504,0.0509,0.001,0.064,0.033,0.76,0.007,0.148,19.887,0.05,15956.0,0.1775
1000.0,6.17,0.5431,0.4975,0.0443,0.0484,0.001,0.061,0.029,0.722,0.007,0.13,18.389,0.05,15993.0,0.1539
1000.0,6.45,0.5678,0.4735,0.0381,0.0457,0.001,0.058,0.025,0.683,0.007,0.112,16.739,0.05,16032.0,0.1299
1000.0,6.73,0.5925,0.4398,0.0319,0.0429,0.001,0.054,0.021,0.641,0.006,0.094,14.899,0.05,16072.0,0.1057
1000.0,7.01,0.6172,0.394,0.0255,0.04,0.001,0.05,0.017,0.597,0.006,0.075,12.815,0.05,16113.0,0.0814
1000.0,7.29,0.6419,0.333,0.0192,0.0369,0.001,0.047,0.013,0.551,0.005,0.056,10.415,0.05,16155.0,0.0573
1000.0,7.57,0.6665,0.2522,0.0128,0.0337,0.001,0.043,0.008,0.504,0.005,0.038,7.594,0.05,16199.0,0.0341
1000.0,7.85,0.6912,0.1446,0.0064,0.0304,0.001,0.038,0.004,0.454,0.004,0.019,4.201,0.05,16244.0,0.0133
1000.0,8.14,0.7159,-0.0003,0.0,0.027,0.001,0.034,0.0,0.404,0.004,0.0,-0.008,0.05,16290.0,0.0
2000.0,0.0,0.0,0.0,0.1419,0.0645,0.01,0.325,0.375,7.701,0.037,1.669,22.095,0.1,30881.0,0.6617
2000.0,0.57,0.0253,0.0544,0.1394,0.0648,0.01,0.327,0.368,7.739,0.037,1.639,21.596,0.1,30910.0,0.641
2000.0,1.15,0.0505,0.1062,0.1367,0.065,0.01,0.328,0.361,7.769,0.037,1.607,21.097,0.1,30940.0,0.6201
2000.0,1.72,0.0758,0.1556,0.1338,0.0652,0.01,0.329,0.354,7.789,0.037,1.574,20.6,0.1,30973.0,0.5991
2000.0,2.3,0.1011,0.2025,0.1308,0.0653,0.01,0.33,0.346,7.798,0.037,1.537,20.104,0.1,31007.0,0.5779
2000.0,2.87,0.1263,0.2469,0.1275,0.0653,0.01,0.329,0.337,7.795,0.037,1.499,19.61,0.1,31044.0,0.5567
2000.0,3.45,0.1516,0.2888,0.124,0.0651,0.01,0.329,0.328,7.778,0.037,1.458,19.118,0.1,31083.0,0.5352
2000.0,4.02,0.1769,0.3283,0.1203,0.0648,0.01,0.327,0.318,7.746,0.037,1.415,18.627,0.1,31124.0,0.5137
2000.0,4.59,0.2022,0.3653,0.1164,0.0644,0.01,0.325,0.308,7.697,0.037,1.369,18.138,0.1,31167.0,0.492
2000.0,5.17,0.2274,0.3999,0.1123,0.0639,0.01,0.322,0.297,7.631,0.036,1.321,17.649,0.1,31212.0,0.4702
2000.0,5.74,0.2527,0.432,0.108,0.0632,0.01,0.319,0.285,7.546,0.036,1.27,17.159,0.1,31260.0,0.4483
2000.0,6.32,0.278,0.4616,0.1034,0.0623,0.01,0.314,0.273,7.441,0.036,1.216,16.668,0.1,31311.0,0.4262
2000.0,6.89,0.3032,0.4886,0.0987,0.0612,0.01,0.309,0.261,7.316,0.035,1.16,16.172,0.1,31363.0,0.4039
2000.0,7.47,0.3285,0.5129,0.0937,0.06,0.01,0.303,0.248,7.17,0.034,1.102,15.67,0.1,31418.0,0.3814
2000.0,8.04,0.3538,0.5344,0.0886,0.0586,0.009,0.296,0.234,7.003,0.033,1.041,15.16,0.1,31476.0,0.3586
2000.0,8.61,0.379,0.5528,0.0832,0.0571,0.009,0.288,0.22,6.817,0.033,0.979,14.637,0.1,31536.0,0.3357
2000.0,9.19,0.4043,0.568,0.0777,0.0553,0.009,0.279,0.205,6.61,0.032,0.914,14.099,0.1,31598.0,0.3125
2000.0,9.76,0.4296,0.5795,0.0721,0.0534,0.009,0.27,0.191,6.383,0.03,0.848,13.54,0.1,31663.0,0.289
2000.0,10.34,0.4549,0.5871,0.0663,0.0514,0.008,0.259,0.175,6.136,0.029,0.78,12.955,0.1,31731.0,0.2652
2000.0,10.91,0.4801,0.5902,0.0604,0.0491,0.008,0.248,0.16,5.868,0.028,0.71,12.337,0.1,31801.0,0.241
2000.0,11.49,0.5054,0.588,0.0543,0.0467,0.007,0.236,0.144,5.58,0.027,0.639,11.677,0.1,31873.0,0.2164
2000.0,12.06,0.5307,0.5796,0.0482,0.0441,0.007,0.223,0.127,5.271,0.025,0.567,10.962,0.1,31949.0,0.1913
2000.0,12.63,0.5559,0.5636,0.0419,0.0414,0.007,0.209,0.111,4.942,0.024,0.493,10.176,0.1,32026.0,0.1657
2000.0,13.21,0.5812,0.5383,0.0356,0.0384,0.006,0.194,0.094,4.592,0.022,0.419,9.295,0.1,32107.0,0.1394
2000.0,13.78,0.6065,0.5009,0.0292,0.0354,0.006,0.178,0.077,4.223,0.02,0.343,8.29,0.1,32190.0,0.1126
2000.0,14.36,0.6317,0.4476,0.0227,0.0321,0.005,0.162,0.06,3.836,0.018,0.267,7.11,0.1,32276.0,0.0853
2000.0,14.93,0.657,0.3722,0.0163,0.0287,0.005,0.145,0.043,3.43,0.016,0.191,5.686,0.1,32364.0,0.0577
2000.0,15.51,0.6823,0.2651,0.0098,0.0252,0.004,0.127,0.026,3.007,0.014,0.115,3.9,0.1,32455.0,0.0307
2000.0,16.08,0.7076,0.1091,0.0033,0.0215,0.003,0.109,0.009,2.569,0.012,0.039,1.548,0.1,32548.0,0.0071
3000.0,0.0,0.0,0.0,0.1423,0.0618,0.033,0.702,0.846,24.929,0.079,3.765,15.401,0.14,46321.0,0.6928
3000.0,0.86,0.0252,0.0568,0.1398,0.0622,0.034,0.706,0.832,25.072,0.08,3.699,15.043,0.14,46364.0,0.6707
3000.0,1.72,0.0505,0.1108,0.1371,0.0625,0.034,0.71,0.816,25.188,0.08,3.628,14.686,0.14,46410.0,0.6485
3000.0,2.58,0.0757,0.1622,0.1343,0.0627,0.034,0.712,0.798,25.271,0.08,3.552,14.331,0.14,46458.0,0.6262
3000.0,3.44,0.101,0.211,0.1312,0.0628,0.034,0.713,0.78,25.317,0.081,3.471,13.979,0.14,46510.0,0.6038
3000.0,4.3,0.1262,0.2571,0.1279,0.0628,0.034,0.713,0.761,25.32,0.081,3.384,13.63,0.14,46565.0,0.5813
3000.0,5.16,0.1515,0.3007,0.1245,0.0627,0.034,0.712,0.74,25.277,0.08,3.293,13.283,0.14,46623.0,0.5588
3000.0,6.02,0.1767,0.3418,0.1208,0.0625,0.034,0.709,0.718,25.182,0.08,3.195,12.939,0.14,46685.0,0.5363
3000.0,6.89,0.202,0.3803,0.1169,0.0621,0.034,0.705,0.695,25.031,0.08,3.092,12.598,0.14,46749.0,0.5136
3000.0,7.75,0.2272,0.4163,0.1128,0.0616,0.033,0.699,0.671,24.818,0.079,2.984,12.259,0.14,46818.0,0.4909
3000.0,8.61,0.2525,0.4498,0.1085,0.0609,0.033,0.691,0.645,24.542,0.078,2.869,11.921,0.14,46890.0,0.4681
3000.0,9.47,0.2777,0.4808,0.1039,0.06,0.032,0.682,0.618,24.197,0.077,2.749,11.584,0.14,46965.0,0.4453
3000.0,10.33,0.303,0.5092,0.0991,0.059,0.032,0.67,0.59,23.781,0.076,2.623,11.246,0.14,47044.0,0.4222
3000.0,11.19,0.3282,0.535,0.0942,0.0578,0.031,0.656,0.56,23.294,0.074,2.491,10.906,0.14,47126.0,0.3991
3000.0,12.05,0.3535,0.558,0.089,0.0564,0.03,0.641,0.529,22.736,0.072,2.355,10.562,0.14,47213.0,0.3758
3000.0,12.91,0.3787,0.578,0.0837,0.0548,0.03,0.623,0.498,22.107,0.07,2.214,10.213,0.14,47302.0,0.3523
3000.0,13.77,0.4039,0.595,0.0782,0.0531,0.029,0.603,0.465,21.408,0.068,2.069,9.856,0.14,47396.0,0.3287
3000.0,14.63,0.4292,0.6085,0.0726,0.0512,0.028,0.581,0.432,20.637,0.066,1.92,9.487,0.14,47493.0,0.3048
3000.0,15.49,0.4544,0.6183,0.0668,0.0491,0.027,0.558,0.397,19.795,0.063,1.767,9.103,0.14,47594.0,0.2806
3000.0,16.35,0.4797,0.6237,0.0609,0.0468,0.025,0.532,0.362,18.88,0.06,1.611,8.7,0.14,47699.0,0.256
3000.0,17.21,0.5049,0.6242,0.0549,0.0444,0.024,0.504,0.326,17.893,0.057,1.451,8.271,0.14,47808.0,0.231
3000.0,18.07,0.5302,0.6187,0.0487,0.0418,0.023,0.474,0.29,16.833,0.054,1.289,7.808,0.14,47921.0,0.2055
3000.0,18.94,0.5554,0.6059,0.0425,0.0389,0.021,0.442,0.253,15.701,0.05,1.124,7.299,0.15,48037.0,0.1794
3000.0,19.8,0.5807,0.584,0.0362,0.036,0.019,0.408,0.215,14.499,0.046,0.957,6.729,0.15,48158.0,0.1526
3000.0,20.66,0.6059,0.55,0.0298,0.0328,0.018,0.373,0.177,13.227,0.042,0.788,6.074,0.15,48282.0,0.125
3000.0,21.52,0.6312,0.4998,0.0233,0.0295,0.016,0.335,0.139,11.888,0.038,0.618,5.298,0.15,48410.0,0.0965
3000.0,22.38,0.6564,0.4263,0.0169,0.026,0.014,0.295,0.1,10.486,0.033,0.447,4.346,0.15,48543.0,0.0674
3000.0,23.24,0.6817,0.3177,0.0104,0.0224,0.012,0.254,0.062,9.024,0.029,0.276,3.119,0.15,48679.0,0.038
3000.0,24.1,0.7069,0.1517,0.004,0.0186,0.01,0.212,0.024,7.508,0.024,0.106,1.436,0.15,48818.0,0.0108
4000.0,0.0,0.0,0.0,0.1427,0.0603,0.077,1.219,1.509,57.672,0.138,6.712,11.868,0.19,61760.0,0.7128
4000.0,1.14,0.025,0.0577,0.1402,0.0607,0.078,1.226,1.483,58.03,0.139,6.595,11.59,0.19,61817.0,0.6901
4000.0,2.27,0.0499,0.1126,0.1376,0.061,0.078,1.232,1.455,58.324,0.139,6.471,11.313,0.19,61877.0,0.6672
