rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1044,0.0613,0.002,0.115,0.095,1.365,0.013,0.423,31.56,0.05,17055.0,0.4391
1000.0,0.48,0.0393,0.0654,0.1041,0.0625,0.002,0.118,0.095,1.393,0.013,0.421,30.849,0.05,17072.0,0.4285
1000.0,0.97,0.0786,0.1276,0.1037,0.0639,0.002,0.12,0.094,1.423,0.014,0.42,30.093,0.05,17091.0,0.4174
1000.0,1.45,0.1178,0.1863,0.1034,0.0654,0.002,0.123,0.094,1.456,0.014,0.418,29.301,0.05,17114.0,0.4056
1000.0,1.93,0.1571,0.2415,0.1029,0.067,0.002,0.126,0.094,1.492,0.014,0.417,28.478,0.05,17139.0,0.3934
1000.0,2.42,0.1964,0.2929,0.1024,0.0686,0.002,0.129,0.093,1.53,0.015,0.414,27.633,0.05,17168.0,0.3807
1000.0,2.9,0.2357,0.3405,0.1017,0.0704,0.002,0.133,0.093,1.569,0.015,0.412,26.773,0.05,17201.0,0.3677
1000.0,3.38,0.2749,0.3844,0.1009,0.0722,0.002,0.136,0.092,1.608,0.015,0.409,25.906,0.05,17237.0,0.3544
1000.0,3.87,0.3142,0.4246,0.0999,0.0739,0.002,0.139,0.091,1.647,0.016,0.405,25.041,0.05,17276.0,0.3409
1000.0,4.35,0.3535,0.4613,0.0987,0.0756,0.002,0.142,0.09,1.685,0.016,0.4,24.183,0.05,17320.0,0.3271
1000.0,4.84,0.3928,0.4947,0.0971,0.0771,0.002,0.145,0.088,1.719,0.016,0.393,23.337,0.05,17368.0,0.3132
1000.0,5.32,0.432,0.5248,0.0953,0.0784,0.002,0.148,0.087,1.747,0.017,0.386,22.508,0.05,17420.0,0.2991
1000.0,5.8,0.4713,0.5519,0.0929,0.0794,0.002,0.149,0.085,1.768,0.017,0.376,21.698,0.05,17476.0,0.2848
1000.0,6.29,0.5106,0.5761,0.0901,0.0799,0.002,0.15,0.082,1.78,0.017,0.365,20.906,0.05,17536.0,0.2703
1000.0,6.77,0.5499,0.5975,0.0868,0.0799,0.002,0.15,0.079,1.78,0.017,0.351,20.134,0.05,17600.0,0.2554
1000.0,7.25,0.5891,0.6161,0.0829,0.0793,0.002,0.149,0.075,1.766,0.017,0.336,19.378,0.05,17668.0,0.2402
1000.0,7.74,0.6284,0.632,0.0785,0.078,0.002,0.147,0.071,1.739,0.017,0.318,18.633,0.05,17740.0,0.2248
1000.0,8.22,0.6677,0.6448,0.0736,0.0762,0.002,0.144,0.067,1.699,0.016,0.298,17.894,0.05,17817.0,0.2091
1000.0,8.7,0.707,0.6544,0.0684,0.0739,0.002,0.139,0.062,1.647,0.016,0.277,17.15,0.05,17897.0,0.1932
1000.0,9.19,0.7462,0.6602,0.0629,0.0711,0.002,0.134,0.057,1.584,0.015,0.255,16.392,0.05,17981.0,0.177
1000.0,9.67,0.7855,0.6616,0.0571,0.0678,0.002,0.128,0.052,1.511,0.014,0.231,15.607,0.05,18068.0,0.1606
1000.0,10.15,0.8248,0.6579,0.0512,0.0641,0.002,0.121,0.047,1.429,0.014,0.207,14.78,0.05,18159.0,0.144
1000.0,10.64,0.8641,0.6478,0.045,0.0601,0.002,0.113,0.041,1.339,0.013,0.182,13.892,0.05,18254.0,0.127
1000.0,11.12,0.9034,0.6297,0.0388,0.0557,0.002,0.105,0.035,1.24,0.012,0.157,12.915,0.05,18352.0,0.1095
1000.0,11.6,0.9426,0.6009,0.0324,0.0509,0.002,0.096,0.03,1.134,0.011,0.131,11.813,0.05,18454.0,0.0916
1000.0,12.09,0.9819,0.5578,0.026,0.0458,0.001,0.086,0.024,1.021,0.01,0.105,10.526,0.05,18559.0,0.0731
1000.0,12.57,1.0212,0.494,0.0195,0.0404,0.001,0.076,0.018,0.9,0.009,0.079,8.963,0.05,18668.0,0.054
1000.0,13.05,1.0605,0.3986,0.0131,0.0347,0.001,0.065,0.012,0.774,0.007,0.053,6.964,0.05,18780.0,0.0343
1000.0,13.54,1.0997,0.2513,0.0066,0.0288,0.001,0.054,0.006,0.642,0.006,0.027,4.235,0.05,18895.0,0.0148
1000.0,14.02,1.139,0.0087,0.0002,0.0227,0.001,0.043,0.0,0.506,0.005,0.001,0.142,0.05,19012.0,0.0001
2000.0,0.0,0.0,0.0,0.1048,0.0544,0.013,0.41,0.382,9.703,0.046,1.698,17.845,0.1,34110.0,0.4976
2000.0,1.0,0.0404,0.0759,0.1046,0.0557,0.013,0.42,0.381,9.933,0.047,1.693,17.385,0.1,34145.0,0.4842
2000.0,1.99,0.0808,0.1475,0.1043,0.0572,0.014,0.431,0.38,10.189,0.049,1.688,16.898,0.1,34185.0,0.4699
2000.0,2.99,0.1213,0.2145,0.1039,0.0587,0.014,0.442,0.378,10.469,0.05,1.683,16.39,0.1,34232.0,0.455
2000.0,3.98,0.1617,0.2769,0.1035,0.0604,0.014,0.455,0.377,10.772,0.051,1.676,15.865,0.1,34285.0,0.4396
2000.0,4.98,0.2021,0.3344,0.103,0.0622,0.015,0.469,0.375,11.094,0.053,1.668,15.329,0.1,34345.0,0.4236
2000.0,5.97,0.2425,0.3871,0.1023,0.0641,0.015,0.483,0.373,11.428,0.055,1.657,14.788,0.1,34413.0,0.4074
2000.0,6.97,0.283,0.4351,0.1015,0.066,0.016,0.497,0.37,11.768,0.056,1.644,14.247,0.1,34489.0,0.391
2000.0,7.96,0.3234,0.4786,0.1005,0.0679,0.016,0.511,0.366,12.103,0.058,1.627,13.712,0.1,34572.0,0.3744
2000.0,8.96,0.3638,0.5179,0.0992,0.0697,0.017,0.525,0.361,12.422,0.059,1.606,13.188,0.1,34665.0,0.3577
2000.0,9.95,0.4042,0.5531,0.0976,0.0713,0.017,0.537,0.355,12.711,0.061,1.58,12.676,0.1,34765.0,0.341
2000.0,10.95,0.4447,0.5846,0.0955,0.0727,0.017,0.547,0.348,12.952,0.062,1.547,12.181,0.1,34874.0,0.3243
2000.0,11.94,0.4851,0.6127,0.093,0.0737,0.018,0.555,0.339,13.128,0.063,1.507,11.703,0.1,34992.0,0.3074
2000.0,12.94,0.5255,0.6377,0.09,0.0741,0.018,0.559,0.328,13.216,0.063,1.457,11.242,0.1,35119.0,0.2904
