rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.068,0.0272,0.001,0.05,0.061,0.594,0.006,0.271,46.533,0.05,16698.0,0.5205
1000.0,0.2,0.0165,0.0404,0.0666,0.0272,0.001,0.05,0.06,0.595,0.006,0.265,45.51,0.05,16706.0,0.5037
1000.0,0.4,0.033,0.0789,0.0651,0.0272,0.001,0.05,0.058,0.595,0.006,0.259,44.47,0.05,16713.0,0.4866
1000.0,0.61,0.0495,0.1155,0.0635,0.0272,0.001,0.05,0.057,0.594,0.006,0.253,43.414,0.05,16721.0,0.4693
1000.0,0.81,0.066,0.1502,0.0619,0.0272,0.001,0.05,0.055,0.594,0.006,0.247,42.343,0.05,16730.0,0.4517
1000.0,1.01,0.0825,0.1829,0.0601,0.0271,0.001,0.05,0.054,0.593,0.006,0.24,41.255,0.05,16738.0,0.434
1000.0,1.21,0.099,0.2136,0.0584,0.027,0.001,0.05,0.052,0.591,0.006,0.233,40.149,0.05,16748.0,0.416
1000.0,1.42,0.1155,0.2422,0.0565,0.0269,0.001,0.05,0.051,0.588,0.006,0.225,39.023,0.05,16758.0,0.3979
1000.0,1.62,0.132,0.2687,0.0546,0.0268,0.001,0.049,0.049,0.586,0.006,0.217,37.876,0.05,16768.0,0.3795
1000.0,1.82,0.1485,0.293,0.0526,0.0266,0.001,0.049,0.047,0.582,0.006,0.209,36.706,0.05,16779.0,0.3609
1000.0,2.02,0.165,0.3149,0.0505,0.0264,0.001,0.049,0.045,0.578,0.006,0.201,35.51,0.05,16790.0,0.3422
1000.0,2.23,0.1815,0.3344,0.0483,0.0262,0.001,0.048,0.043,0.573,0.005,0.193,34.284,0.05,16802.0,0.3232
1000.0,2.43,0.1979,0.3515,0.0461,0.0259,0.001,0.048,0.041,0.567,0.005,0.184,33.026,0.05,16814.0,0.304
1000.0,2.63,0.2144,0.3658,0.0437,0.0256,0.001,0.047,0.039,0.56,0.005,0.174,31.73,0.05,16827.0,0.2846
1000.0,2.83,0.2309,0.3773,0.0413,0.0253,0.001,0.047,0.037,0.553,0.005,0.165,30.392,0.05,16840.0,0.2651
1000.0,3.03,0.2474,0.3859,0.0389,0.0249,0.001,0.046,0.035,0.545,0.005,0.155,29.01,0.05,16854.0,0.2454
1000.0,3.24,0.2639,0.3913,0.0364,0.0245,0.001,0.045,0.033,0.536,0.005,0.145,27.576,0.05,16869.0,0.2256
1000.0,3.44,0.2804,0.3933,0.0338,0.0241,0.001,0.044,0.03,0.526,0.005,0.135,26.085,0.05,16884.0,0.2056
1000.0,3.64,0.2969,0.3916,0.0311,0.0236,0.001,0.044,0.028,0.516,0.005,0.124,24.531,0.05,16900.0,0.1857
1000.0,3.84,0.3134,0.3859,0.0284,0.0231,0.001,0.043,0.025,0.505,0.005,0.113,22.906,0.05,16916.0,0.1657
1000.0,4.05,0.3299,0.376,0.0257,0.0226,0.001,0.042,0.023,0.493,0.005,0.102,21.2,0.05,16933.0,0.1458
1000.0,4.25,0.3464,0.3614,0.0229,0.022,0.001,0.041,0.021,0.48,0.005,0.091,19.404,0.05,16951.0,0.126
1000.0,4.45,0.3629,0.3415,0.0201,0.0214,0.001,0.039,0.018,0.467,0.004,0.08,17.506,0.05,16969.0,0.1065
1000.0,4.65,0.3794,0.316,0.0172,0.0207,0.001,0.038,0.015,0.452,0.004,0.069,15.494,0.05,16988.0,0.0873
1000.0,4.85,0.3959,0.2842,0.0144,0.02,0.001,0.037,0.013,0.437,0.004,0.057,13.353,0.05,17007.0,0.0687
1000.0,5.06,0.4124,0.2453,0.0115,0.0193,0.001,0.036,0.01,0.422,0.004,0.046,11.065,0.05,17027.0,0.0509
1000.0,5.26,0.4289,0.1986,0.0086,0.0186,0.001,0.034,0.008,0.405,0.004,0.034,8.614,0.05,17048.0,0.0342
1000.0,5.46,0.4454,0.1431,0.0057,0.0178,0.001,0.033,0.005,0.388,0.004,0.023,5.976,0.05,17069.0,0.0194
1000.0,5.66,0.4619,0.0777,0.0029,0.017,0.0,0.031,0.003,0.371,0.004,0.011,3.128,0.05,17091.0,0.0072
1000.0,5.87,0.4784,0.0006,0.0,0.0161,0.0,0.03,0.0,0.353,0.003,0.0,0.024,0.05,17114.0,0.0
2000.0,0.0,0.0,0.0,0.0682,0.0239,0.006,0.177,0.245,4.184,0.02,1.088,26.517,0.1,33397.0,0.5943
2000.0,0.41,0.0166,0.0463,0.0668,0.024,0.006,0.177,0.239,4.192,0.02,1.065,25.912,0.1,33411.0,0.5746
2000.0,0.81,0.0332,0.0903,0.0653,0.024,0.006,0.177,0.234,4.196,0.02,1.041,25.302,0.1,33426.0,0.5547
2000.0,1.22,0.0498,0.1322,0.0637,0.024,0.006,0.177,0.228,4.196,0.02,1.016,24.687,0.1,33443.0,0.5346
2000.0,1.63,0.0664,0.1719,0.0621,0.024,0.006,0.177,0.222,4.193,0.02,0.99,24.069,0.1,33460.0,0.5144
2000.0,2.04,0.083,0.2093,0.0603,0.0239,0.006,0.177,0.216,4.185,0.02,0.962,23.445,0.1,33477.0,0.4941
2000.0,2.44,0.0996,0.2444,0.0585,0.0239,0.006,0.176,0.21,4.172,0.02,0.934,22.817,0.1,33496.0,0.4736
2000.0,2.85,0.1162,0.2772,0.0567,0.0238,0.006,0.176,0.203,4.154,0.02,0.904,22.183,0.1,33516.0,0.453
2000.0,3.26,0.1328,0.3076,0.0547,0.0236,0.006,0.175,0.196,4.131,0.02,0.873,21.541,0.1,33537.0,0.4323
2000.0,3.66,0.1494,0.3357,0.0527,0.0235,0.005,0.173,0.189,4.101,0.02,0.84,20.892,0.1,33558.0,0.4115
2000.0,4.07,0.166,0.3612,0.0506,0.0233,0.005,0.172,0.181,4.066,0.019,0.807,20.234,0.1,33581.0,0.3905
2000.0,4.48,0.1826,0.3842,0.0484,0.023,0.005,0.17,0.174,4.024,0.019,0.772,19.564,0.1,33605.0,0.3693
2000.0,4.89,0.1992,0.4045,0.0462,0.0227,0.005,0.168,0.165,3.975,0.019,0.736,18.881,0.1,33630.0,0.348
2000.0,5.29,0.2158,0.422,0.0438,0.0224,0.005,0.166,0.157,3.918,0.019,0.699,18.182,0.1,33656.0,0.3265
2000.0,5.7,0.2324,0.4365,0.0414,0.0221,0.005,0.163,0.148,3.855,0.018,0.66,17.465,0.1,33683.0,0.3049
2000.0,6.11,0.2491,0.4479,0.0389,0.0216,0.005,0.16,0.14,3.785,0.018,0.621,16.727,0.1,33711.0,0.2831
2000.0,6.52,0.2657,0.456,0.0364,0.0212,0.005,0.157,0.13,3.707,0.018,0.58,15.963,0.1,33741.0,0.2613
2000.0,6.92,0.2823,0.4604,0.0338,0.0207,0.005,0.153,0.121,3.622,0.017,0.539,15.171,0.1,33772.0,0.2393
2000.0,7.33,0.2989,0.461,0.0311,0.0202,0.005,0.149,0.112,3.53,0.017,0.497,14.345,0.1,33803.0,0.2172
2000.0,7.74,0.3155,0.4572,0.0284,0.0196,0.005,0.145,0.102,3.431,0.016,0.453,13.48,0.1,33836.0,0.195
2000.0,8.14,0.3321,0.4487,0.0257,0.019,0.004,0.14,0.092,3.324,0.016,0.41,12.567,0.1,33871.0,0.1728
2000.0,8.55,0.3487,0.4349,0.0229,0.0184,0.004,0.136,0.082,3.209,0.015,0.365,11.601,0.1,33906.0,0.1506
2000.0,8.96,0.3653,0.4151,0.0201,0.0177,0.004,0.13,0.072,3.088,0.015,0.32,10.569,0.1,33943.0,0.1285
2000.0,9.37,0.3819,0.3884,0.0172,0.0169,0.004,0.125,0.062,2.959,0.014,0.274,9.46,0.1,33981.0,0.1065
2000.0,9.77,0.3985,0.3539,0.0143,0.0161,0.004,0.119,0.051,2.823,0.013,0.229,8.26,0.1,34020.0,0.0849
2000.0,10.18,0.4151,0.3102,0.0115,0.0153,0.004,0.113,0.041,2.68,0.013,0.183,6.95,0.1,34061.0,0.0638
2000.0,10.59,0.4317,0.2556,0.0086,0.0145,0.003,0.107,0.031,2.53,0.012,0.137,5.507,0.1,34103.0,0.0437
2000.0,10.99,0.4483,0.1882,0.0057,0.0136,0.003,0.1,0.02,2.375,0.011,0.091,3.904,0.1,34146.0,0.0253
2000.0,11.4,0.4649,0.105,0.0029,0.0127,0.003,0.094,0.01,2.214,0.011,0.046,2.101,0.1,34191.0,0.0096
2000.0,11.81,0.4815,0.0017,0.0,0.0117,0.003,0.087,0.0,2.048,0.01,0.001,0.034,0.1,34235.0,0.0
3000.0,0.0,0.0,0.0,0.0684,0.0225,0.018,0.374,0.552,13.289,0.042,2.455,18.84,0.15,50095.0,0.6343
3000.0,0.63,0.0171,0.0507,0.067,0.0226,0.018,0.375,0.54,13.319,0.042,2.402,18.391,0.15,50117.0,0.6124
3000.0,1.26,0.0342,0.0989,0.0654,0.0226,0.018,0.376,0.527,13.337,0.042,2.346,17.94,0.15,50141.0,0.5904
3000.0,1.89,0.0513,0.1446,0.0638,0.0226,0.018,0.376,0.514,13.341,0.042,2.288,17.487,0.15,50166.0,0.5683
3000.0,2.52,0.0684,0.1878,0.0621,0.0226,0.018,0.376,0.501,13.329,0.042,2.226,17.033,0.15,50192.0,0.546
3000.0,3.14,0.0855,0.2285,0.0603,0.0225,0.018,0.375,0.486,13.302,0.042,2.162,16.577,0.15,50220.0,0.5237
3000.0,3.77,0.1026,0.2666,0.0584,0.0225,0.018,0.373,0.471,13.256,0.042,2.096,16.12,0.15,50249.0,0.5013
3000.0,4.4,0.1197,0.3022,0.0565,0.0224,0.018,0.372,0.455,13.191,0.042,2.026,15.66,0.15,50280.0,0.4789
3000.0,5.03,0.1367,0.3352,0.0544,0.0222,0.018,0.369,0.439,13.106,0.042,1.953,15.197,0.15,50312.0,0.4563
3000.0,5.66,0.1538,0.3655,0.0523,0.022,0.017,0.366,0.422,12.998,0.041,1.878,14.73,0.15,50346.0,0.4336
3000.0,6.29,0.1709,0.3931,0.0501,0.0218,0.017,0.362,0.404,12.866,0.041,1.799,14.259,0.15,50382.0,0.4109
3000.0,6.92,0.188,0.4179,0.0479,0.0215,0.017,0.358,0.386,12.709,0.04,1.717,13.78,0.15,50419.0,0.388
3000.0,7.55,0.2051,0.4398,0.0455,0.0212,0.017,0.353,0.367,12.526,0.04,1.633,13.294,0.15,50459.0,0.365
3000.0,8.18,0.2222,0.4586,0.0431,0.0209,0.017,0.347,0.347,12.316,0.039,1.546,12.797,0.15,50499.0,0.3418
3000.0,8.8,0.2393,0.4743,0.0406,0.0205,0.016,0.34,0.327,12.08,0.038,1.456,12.288,0.15,50542.0,0.3185
3000.0,9.43,0.2564,0.4865,0.038,0.02,0.016,0.333,0.306,11.816,0.038,1.363,11.765,0.15,50586.0,0.2951
3000.0,10.06,0.2735,0.4951,0.0354,0.0195,0.015,0.325,0.285,11.524,0.037,1.268,11.224,0.15,50633.0,0.2716
3000.0,10.69,0.2906,0.4997,0.0327,0.019,0.015,0.316,0.263,11.205,0.036,1.172,10.661,0.15,50681.0,0.2479
3000.0,11.32,0.3077,0.4999,0.0299,0.0184,0.015,0.306,0.241,10.857,0.035,1.073,10.073,0.15,50731.0,0.2241
3000.0,11.95,0.3248,0.4952,0.0271,0.0178,0.014,0.295,0.218,10.482,0.033,0.972,9.454,0.15,50783.0,0.2002
3000.0,12.58,0.3419,0.485,0.0242,0.0171,0.014,0.284,0.195,10.078,0.032,0.869,8.797,0.16,50837.0,0.1762
3000.0,13.21,0.359,0.4686,0.0213,0.0163,0.013,0.272,0.172,9.645,0.031,0.766,8.094,0.16,50893.0,0.1521
3000.0,13.83,0.3761,0.4448,0.0184,0.0156,0.012,0.259,0.149,9.185,0.029,0.661,7.334,0.16,50951.0,0.1281
3000.0,14.46,0.3932,0.4125,0.0155,0.0147,0.012,0.245,0.125,8.697,0.028,0.555,6.505,0.16,51011.0,0.1041
3000.0,15.09,0.4102,0.3699,0.0125,0.0139,0.011,0.231,0.101,8.182,0.026,0.449,5.59,0.16,51074.0,0.0804
3000.0,15.72,0.4273,0.3147,0.0095,0.013,0.01,0.215,0.077,7.643,0.024,0.342,4.566,0.16,51138.0,0.0574
3000.0,16.35,0.4444,0.2441,0.0066,0.012,0.009,0.199,0.053,7.08,0.023,0.236,3.405,0.16,51204.0,0.0356
3000.0,16.98,0.4615,0.1538,0.0037,0.011,0.009,0.183,0.03,6.496,0.021,0.132,2.066,0.16,51272.0,0.0161
3000.0,17.61,0.4786,0.0372,0.0008,0.01,0.008,0.166,0.006,5.891,0.019,0.028,0.482,0.16,51341.0,0.0017
4000.0,0.0,0.0,0.0,0.0687,0.0217,0.041,0.642,0.984,30.37,0.073,4.379,14.702,0.21,66792.0,0.661
4000.0,0.82,0.0167,0.0516,0.0672,0.0218,0.041,0.643,0.964,30.445,0.073,4.286,14.356,0.21,66821.0,0.6386
4000.0,1.64,0.0334,0.1007,0.0657,0.0218,0.041,0.644,0.942,30.491,0.073,4.189,14.009,0.21,66852.0,0.616
4000.0,2.46,0.0502,0.1474,0.0641,0.0218,0.041,0.645,0.919,30.506,0.073,4.087,13.663,0.21,66885.0,0.5934
4000.0,3.28,0.0669,0.1915,0.0624,0.0218,0.041,0.644,0.895,30.486,0.073,3.981,13.316,0.21,66919.0,0.5708
4000.0,4.1,0.0836,0.2331,0.0607,0.0218,0.041,0.643,0.87,30.428,0.073,3.87,12.969,0.21,66955.0,0.5481
4000.0,4.92,0.1003,0.2723,0.0589,0.0217,0.041,0.641,0.844,30.329,0.072,3.754,12.621,0.21,66993.0,0.5254
4000.0,5.74,0.117,0.3089,0.057,0.0216,0.04,0.638,0.817,30.185,0.072,3.633,12.273,0.21,67033.0,0.5026
4000.0,6.56,0.1338,0.343,0.055,0.0214,0.04,0.634,0.789,29.994,0.072,3.507,11.924,0.21,67075.0,0.4798
4000.0,7.38,0.1505,0.3745,0.0529,0.0213,0.04,0.629,0.759,29.751,0.071,3.377,11.573,0.21,67119.0,0.4569
4000.0,8.2,0.1672,0.4034,0.0508,0.0211,0.039,0.622,0.729,29.453,0.07,3.241,11.22,0.21,67165.0,0.434
4000.0,9.02,0.1839,0.4297,0.0486,0.0208,0.039,0.615,0.697,29.098,0.069,3.1,10.863,0.21,67213.0,0.4109
4000.0,9.84,0.2006,0.4531,0.0463,0.0205,0.038,0.606,0.664,28.682,0.068,2.954,10.502,0.21,67264.0,0.3878
4000.0,10.66,0.2174,0.4737,0.044,0.0202,0.038,0.596,0.63,28.204,0.067,2.803,10.135,0.21,67316.0,0.3646
4000.0,11.48,0.2341,0.4913,0.0415,0.0198,0.037,0.585,0.595,27.662,0.066,2.648,9.761,0.21,67371.0,0.3412
4000.0,12.3,0.2508,0.5057,0.039,0.0193,0.036,0.572,0.559,27.056,0.065,2.488,9.377,0.21,67429.0,0.3178
