rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1241,0.071,0.003,0.194,0.152,2.292,0.022,0.676,30.07,0.06,25199.0,0.4913
1000.0,0.51,0.0387,0.066,0.1235,0.0725,0.003,0.198,0.151,2.34,0.022,0.673,29.312,0.06,25226.0,0.4777
1000.0,1.03,0.0775,0.1284,0.1228,0.0741,0.003,0.202,0.15,2.391,0.023,0.669,28.526,0.06,25256.0,0.4636
1000.0,1.54,0.1162,0.1872,0.122,0.0757,0.003,0.207,0.149,2.444,0.023,0.664,27.718,0.06,25291.0,0.449
1000.0,2.05,0.1549,0.2422,0.1211,0.0775,0.003,0.211,0.148,2.5,0.024,0.659,26.897,0.06,25331.0,0.434
1000.0,2.57,0.1937,0.2934,0.12,0.0792,0.003,0.216,0.147,2.555,0.024,0.653,26.069,0.06,25375.0,0.4187
1000.0,3.08,0.2324,0.341,0.1187,0.0809,0.004,0.221,0.145,2.61,0.025,0.646,25.243,0.06,25425.0,0.4033
1000.0,3.59,0.2711,0.3849,0.1171,0.0825,0.004,0.225,0.143,2.663,0.025,0.638,24.425,0.06,25480.0,0.3876
1000.0,4.11,0.3099,0.4254,0.1153,0.084,0.004,0.229,0.141,2.711,0.026,0.628,23.618,0.06,25540.0,0.3719
1000.0,4.62,0.3486,0.4625,0.1132,0.0853,0.004,0.233,0.139,2.753,0.026,0.616,22.828,0.06,25606.0,0.3562
1000.0,5.14,0.3873,0.4965,0.1107,0.0864,0.004,0.236,0.136,2.788,0.027,0.603,22.055,0.06,25678.0,0.3404
1000.0,5.65,0.4261,0.5275,0.1079,0.0872,0.004,0.238,0.132,2.813,0.027,0.588,21.301,0.06,25755.0,0.3245
1000.0,6.16,0.4648,0.5556,0.1047,0.0876,0.004,0.239,0.128,2.827,0.027,0.57,20.566,0.06,25838.0,0.3086
1000.0,6.68,0.5035,0.5808,0.1011,0.0876,0.004,0.239,0.124,2.827,0.027,0.55,19.847,0.06,25927.0,0.2926
