rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.0794,0.0288,0.002,0.153,0.166,1.812,0.017,0.737,41.48,0.06,29141.0,0.6193
1000.0,0.25,0.0164,0.0443,0.0777,0.0288,0.002,0.153,0.162,1.812,0.017,0.721,40.602,0.06,29154.0,0.5997
1000.0,0.5,0.0328,0.0866,0.0759,0.0288,0.002,0.153,0.158,1.81,0.017,0.705,39.714,0.06,29169.0,0.5798
1000.0,0.75,0.0492,0.1269,0.074,0.0287,0.002,0.153,0.155,1.807,0.017,0.688,38.815,0.06,29184.0,0.5597
1000.0,0.99,0.0656,0.1653,0.0721,0.0286,0.002,0.152,0.151,1.802,0.017,0.67,37.901,0.06,29200.0,0.5394
1000.0,1.24,0.082,0.2015,0.0701,0.0285,0.002,0.152,0.146,1.796,0.017,0.651,36.975,0.06,29217.0,0.5188
1000.0,1.49,0.0985,0.2357,0.068,0.0284,0.002,0.151,0.142,1.788,0.017,0.632,36.035,0.06,29235.0,0.498
1000.0,1.74,0.1149,0.2676,0.0658,0.0283,0.002,0.15,0.137,1.778,0.017,0.612,35.077,0.06,29253.0,0.477
1000.0,1.99,0.1313,0.2974,0.0636,0.0281,0.002,0.149,0.133,1.766,0.017,0.591,34.1,0.06,29272.0,0.4557
1000.0,2.24,0.1477,0.3247,0.0612,0.0278,0.002,0.148,0.128,1.752,0.017,0.569,33.101,0.06,29292.0,0.4341
1000.0,2.49,0.1641,0.3497,0.0588,0.0276,0.002,0.147,0.123,1.736,0.017,0.546,32.08,0.06,29313.0,0.4123
1000.0,2.73,0.1805,0.372,0.0563,0.0273,0.002,0.145,0.118,1.718,0.016,0.523,31.027,0.06,29334.0,0.3901
1000.0,2.98,0.1969,0.3916,0.0537,0.027,0.002,0.143,0.112,1.698,0.016,0.498,29.942,0.06,29357.0,0.3676
1000.0,3.23,0.2133,0.4084,0.051,0.0266,0.002,0.142,0.106,1.675,0.016,0.473,28.822,0.06,29380.0,0.3448
1000.0,3.48,0.2297,0.4221,0.0482,0.0262,0.002,0.139,0.101,1.65,0.016,0.448,27.662,0.06,29404.0,0.3218
1000.0,3.73,0.2461,0.4326,0.0453,0.0258,0.002,0.137,0.095,1.623,0.016,0.421,26.458,0.06,29430.0,0.2986
1000.0,3.98,0.2626,0.4396,0.0424,0.0253,0.002,0.135,0.089,1.594,0.015,0.394,25.206,0.06,29456.0,0.2751
1000.0,4.23,0.279,0.4428,0.0394,0.0248,0.002,0.132,0.082,1.563,0.015,0.366,23.898,0.06,29483.0,0.2515
1000.0,4.48,0.2954,0.442,0.0364,0.0243,0.002,0.129,0.076,1.53,0.015,0.338,22.528,0.06,29510.0,0.2277
