rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.0859,0.0346,0.005,0.332,0.287,3.928,0.038,1.278,33.165,0.07,38449.0,0.5794
1000.0,0.36,0.0209,0.0505,0.0842,0.0348,0.005,0.334,0.282,3.948,0.038,1.253,32.348,0.07,38471.0,0.5596
1000.0,0.71,0.0418,0.0985,0.0824,0.035,0.005,0.335,0.276,3.965,0.038,1.226,31.532,0.07,38495.0,0.5396
1000.0,1.07,0.0627,0.144,0.0805,0.0351,0.005,0.336,0.269,3.977,0.038,1.198,30.716,0.07,38521.0,0.5196
1000.0,1.43,0.0836,0.1869,0.0785,0.0351,0.005,0.337,0.263,3.984,0.038,1.168,29.902,0.07,38548.0,0.4995
1000.0,1.78,0.1045,0.2273,0.0764,0.0351,0.005,0.337,0.256,3.985,0.038,1.137,29.09,0.07,38577.0,0.4794
1000.0,2.14,0.1255,0.2651,0.0742,0.0351,0.005,0.336,0.248,3.98,0.038,1.104,28.28,0.07,38607.0,0.4592
1000.0,2.49,0.1464,0.3005,0.0719,0.035,0.005,0.335,0.24,3.969,0.038,1.069,27.471,0.07,38640.0,0.4391
1000.0,2.85,0.1673,0.3333,0.0694,0.0348,0.005,0.334,0.232,3.951,0.038,1.033,26.663,0.07,38674.0,0.4189
1000.0,3.21,0.1882,0.3636,0.0669,0.0346,0.005,0.332,0.224,3.925,0.037,0.995,25.855,0.07,38710.0,0.3987
1000.0,3.56,0.2091,0.3913,0.0642,0.0343,0.005,0.329,0.215,3.891,0.037,0.956,25.046,0.07,38748.0,0.3785
1000.0,3.92,0.23,0.4165,0.0615,0.034,0.005,0.325,0.206,3.85,0.037,0.915,24.235,0.07,38788.0,0.3583
1000.0,4.28,0.2509,0.4391,0.0586,0.0335,0.005,0.321,0.196,3.8,0.036,0.873,23.418,0.07,38830.0,0.3381
