rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.0952,0.0384,0.008,0.483,0.395,5.712,0.055,1.759,31.396,0.08,33270.0,0.6097
1000.0,0.48,0.0268,0.0646,0.0941,0.039,0.008,0.49,0.391,5.8,0.055,1.738,30.546,0.08,33294.0,0.5896
1000.0,0.96,0.0536,0.1256,0.0928,0.0396,0.008,0.498,0.385,5.887,0.056,1.714,29.695,0.08,33320.0,0.5693
1000.0,1.45,0.0804,0.183,0.0914,0.0402,0.008,0.505,0.38,5.97,0.057,1.689,28.846,0.08,33349.0,0.5489
1000.0,1.93,0.1072,0.2368,0.0899,0.0407,0.008,0.511,0.373,6.048,0.058,1.661,28.003,0.08,33380.0,0.5284
1000.0,2.41,0.134,0.2872,0.0882,0.0412,0.008,0.517,0.366,6.118,0.058,1.63,27.168,0.08,33414.0,0.5079
1000.0,2.89,0.1608,0.3342,0.0864,0.0416,0.008,0.522,0.359,6.179,0.059,1.596,26.344,0.08,33451.0,0.4874
1000.0,3.38,0.1876,0.3779,0.0844,0.0419,0.008,0.527,0.351,6.229,0.059,1.56,25.534,0.08,33492.0,0.467
1000.0,3.86,0.2144,0.4184,0.0823,0.0422,0.008,0.53,0.342,6.265,0.06,1.52,24.737,0.08,33535.0,0.4466
1000.0,4.34,0.2412,0.4558,0.0799,0.0423,0.008,0.531,0.332,6.286,0.06,1.477,23.956,0.08,33581.0,0.4263
1000.0,4.82,0.268,0.4903,0.0774,0.0423,0.008,0.531,0.321,6.287,0.06,1.43,23.19,0.08,33631.0,0.406
1000.0,5.3,0.2948,0.5218,0.0747,0.0422,0.008,0.53,0.31,6.268,0.06,1.379,22.438,0.08,33684.0,0.3859
1000.0,5.79,0.3216,0.5505,0.0717,0.0419,0.008,0.526,0.298,6.227,0.059,1.325,21.7,0.08,33740.0,0.3658
1000.0,6.27,0.3484,0.5764,0.0686,0.0415,0.008,0.521,0.285,6.16,0.059,1.267,20.972,0.08,33800.0,0.3457
1000.0,6.75,0.3752,0.5994,0.0652,0.0408,0.008,0.513,0.271,6.068,0.058,1.205,20.251,0.08,33863.0,0.3255
1000.0,7.23,0.402,0.6194,0.0617,0.04,0.008,0.503,0.256,5.948,0.057,1.139,19.533,0.08,33930.0,0.3053
1000.0,7.72,0.4288,0.6363,0.0579,0.039,0.008,0.49,0.241,5.8,0.055,1.07,18.812,0.08,34000.0,0.2849
1000.0,8.2,0.4556,0.6499,0.054,0.0378,0.008,0.475,0.224,5.622,0.054,0.997,18.082,0.08,34073.0,0.2643
1000.0,8.68,0.4824,0.6596,0.0498,0.0364,0.007,0.458,0.207,5.416,0.052,0.921,17.334,0.08,34150.0,0.2435
1000.0,9.16,0.5092,0.6652,0.0456,0.0349,0.007,0.438,0.189,5.184,0.05,0.842,16.56,0.08,34230.0,0.2225
1000.0,9.64,0.536,0.6658,0.0412,0.0332,0.007,0.416,0.171,4.927,0.047,0.761,15.746,0.08,34314.0,0.2011
1000.0,10.13,0.5628,0.6605,0.0367,0.0313,0.006,0.393,0.152,4.647,0.044,0.678,14.878,0.08,34401.0,0.1794
1000.0,10.61,0.5897,0.6482,0.0321,0.0292,0.006,0.367,0.133,4.344,0.041,0.594,13.936,0.08,34491.0,0.1572
1000.0,11.09,0.6165,0.6269,0.0275,0.0271,0.005,0.34,0.114,4.021,0.038,0.508,12.892,0.08,34585.0,0.1346
1000.0,11.57,0.6433,0.5941,0.0229,0.0248,0.005,0.311,0.095,3.679,0.035,0.422,11.709,0.08,34682.0,0.1114
1000.0,12.06,0.6701,0.546,0.0182,0.0223,0.004,0.281,0.076,3.319,0.032,0.336,10.331,0.08,34783.0,0.0877
1000.0,12.54,0.6969,0.4767,0.0136,0.0198,0.004,0.249,0.056,2.944,0.028,0.25,8.673,0.08,34887.0,0.0635
1000.0,13.02,0.7237,0.3765,0.0089,0.0172,0.003,0.216,0.037,2.555,0.024,0.165,6.596,0.08,34994.0,0.0393
1000.0,13.5,0.7505,0.2284,0.0044,0.0145,0.003,0.182,0.018,2.157,0.021,0.082,3.858,0.08,35105.0,0.0161
1000.0,13.98,0.7773,-0.0003,0.0,0.0118,0.002,0.148,0.0,1.752,0.017,0.0,-0.005,0.08,35219.0,0.0
2000.0,0.0,0.0,0.0,0.0955,0.0357,0.057,1.795,1.587,42.472,0.203,7.06,16.95,0.15,66539.0,0.6595
2000.0,0.97,0.0269,0.0699,0.0944,0.0364,0.058,1.827,1.568,43.228,0.206,6.976,16.456,0.15,66587.0,0.6364
2000.0,1.94,0.0539,0.1356,0.0932,0.037,0.059,1.858,1.547,43.971,0.21,6.883,15.962,0.15,66639.0,0.6132
2000.0,2.91,0.0808,0.1972,0.0918,0.0376,0.06,1.889,1.525,44.689,0.213,6.781,15.473,0.15,66697.0,0.59
2000.0,3.88,0.1077,0.2547,0.0903,0.0382,0.061,1.917,1.499,45.365,0.217,6.669,14.991,0.15,66761.0,0.5669
2000.0,4.84,0.1346,0.3083,0.0886,0.0387,0.062,1.943,1.472,45.985,0.22,6.546,14.516,0.15,66830.0,0.5438
2000.0,5.81,0.1616,0.3581,0.0868,0.0391,0.062,1.966,1.441,46.532,0.222,6.411,14.05,0.15,66904.0,0.5209
2000.0,6.78,0.1885,0.4043,0.0848,0.0395,0.063,1.986,1.408,46.986,0.224,6.264,13.595,0.15,66985.0,0.4982
2000.0,7.75,0.2154,0.4469,0.0826,0.0398,0.063,2.0,1.372,47.329,0.226,6.104,13.151,0.15,67072.0,0.4758
2000.0,8.72,0.2424,0.4863,0.0802,0.04,0.064,2.009,1.333,47.541,0.227,5.93,12.719,0.15,67166.0,0.4535
2000.0,9.69,0.2693,0.5224,0.0777,0.04,0.064,2.012,1.291,47.603,0.227,5.741,12.298,0.15,67266.0,0.4315
2000.0,10.66,0.2962,0.5556,0.0749,0.04,0.064,2.007,1.245,47.494,0.227,5.537,11.889,0.15,67373.0,0.4097
2000.0,11.63,0.3231,0.5858,0.072,0.0397,0.063,1.995,1.196,47.198,0.225,5.319,11.491,0.15,67487.0,0.388
2000.0,12.6,0.3501,0.6131,0.0688,0.0393,0.063,1.974,1.143,46.698,0.223,5.084,11.102,0.15,67607.0,0.3666
2000.0,13.57,0.377,0.6376,0.0654,0.0387,0.062,1.943,1.087,45.98,0.22,4.834,10.721,0.15,67734.0,0.3452
2000.0,14.53,0.4039,0.6593,0.0618,0.0379,0.06,1.903,1.027,45.032,0.215,4.569,10.347,0.15,67869.0,0.3239
2000.0,15.5,0.4308,0.678,0.058,0.0369,0.059,1.853,0.964,43.841,0.209,4.289,9.975,0.15,68010.0,0.3025
2000.0,16.47,0.4578,0.6936,0.054,0.0357,0.057,1.792,0.898,42.402,0.202,3.994,9.604,0.15,68158.0,0.281
2000.0,17.44,0.4847,0.7057,0.0499,0.0343,0.055,1.721,0.829,40.727,0.194,3.686,9.229,0.15,68313.0,0.2595
2000.0,18.41,0.5116,0.714,0.0456,0.0327,0.052,1.641,0.757,38.827,0.185,3.368,8.846,0.15,68475.0,0.2377
2000.0,19.38,0.5386,0.7179,0.0412,0.0309,0.049,1.552,0.684,36.713,0.175,3.042,8.449,0.15,68643.0,0.2158
2000.0,20.35,0.5655,0.7164,0.0367,0.0289,0.046,1.454,0.609,34.397,0.164,2.709,8.03,0.15,68819.0,0.1935
2000.0,21.32,0.5924,0.7083,0.0321,0.0268,0.043,1.348,0.533,31.887,0.152,2.37,7.579,0.15,69001.0,0.1709
2000.0,22.29,0.6193,0.6919,0.0274,0.0246,0.039,1.234,0.456,29.196,0.139,2.028,7.082,0.15,69191.0,0.1477
2000.0,23.26,0.6463,0.6644,0.0228,0.0222,0.035,1.113,0.378,26.336,0.126,1.683,6.516,0.15,69387.0,0.1238
2000.0,24.22,0.6732,0.6213,0.0181,0.0196,0.031,0.986,0.301,23.323,0.111,1.338,5.85,0.15,69590.0,0.0991
2000.0,25.19,0.7001,0.5554,0.0135,0.017,0.027,0.853,0.224,20.174,0.096,0.995,5.028,0.15,69800.0,0.0734
2000.0,26.16,0.7271,0.4532,0.0089,0.0142,0.023,0.715,0.147,16.912,0.081,0.655,3.952,0.15,70016.0,0.0468
2000.0,27.13,0.754,0.2882,0.0044,0.0114,0.018,0.573,0.072,13.561,0.065,0.322,2.423,0.16,70240.0,0.0201
2000.0,28.1,0.7809,-0.0031,0.0,0.0085,0.014,0.429,-0.001,10.148,0.048,-0.003,-0.025,0.16,70468.0,0.0
3000.0,0.0,0.0,0.0,0.0959,0.0346,0.186,3.915,3.584,138.952,0.442,15.944,11.701,0.23,99806.0,0.6841
3000.0,1.46,0.027,0.0724,0.0948,0.0353,0.19,3.989,3.542,141.586,0.451,15.756,11.348,0.23,99878.0,0.6596
3000.0,2.91,0.054,0.1404,0.0935,0.0359,0.193,4.062,3.496,144.183,0.459,15.548,10.996,0.23,99957.0,0.6349
3000.0,4.37,0.0809,0.2039,0.0921,0.0366,0.197,4.133,3.444,146.694,0.467,15.32,10.649,0.23,100045.0,0.6103
3000.0,5.82,0.1079,0.2632,0.0906,0.0372,0.2,4.2,3.388,149.07,0.475,15.068,10.307,0.23,100140.0,0.5859
3000.0,7.28,0.1349,0.3183,0.089,0.0377,0.203,4.262,3.325,151.257,0.481,14.792,9.972,0.23,100244.0,0.5616
3000.0,8.74,0.1619,0.3694,0.0871,0.0382,0.205,4.316,3.257,153.194,0.488,14.489,9.644,0.23,100356.0,0.5375
3000.0,10.19,0.1888,0.4167,0.0852,0.0386,0.208,4.362,3.183,154.819,0.493,14.157,9.325,0.23,100478.0,0.5138
3000.0,11.65,0.2158,0.4603,0.083,0.0389,0.209,4.397,3.102,156.064,0.497,13.796,9.014,0.23,100609.0,0.4903
3000.0,13.1,0.2428,0.5006,0.0806,0.0391,0.21,4.419,3.013,156.862,0.499,13.403,8.713,0.23,100750.0,0.4671
3000.0,14.56,0.2698,0.5375,0.0781,0.0392,0.211,4.427,2.917,157.144,0.5,12.977,8.421,0.23,100901.0,0.4442
3000.0,16.02,0.2967,0.5714,0.0753,0.0391,0.21,4.419,2.814,156.842,0.499,12.517,8.138,0.23,101062.0,0.4216
3000.0,17.47,0.3237,0.6024,0.0723,0.0389,0.209,4.392,2.703,155.896,0.496,12.022,7.864,0.23,101233.0,0.3992
3000.0,18.93,0.3507,0.6304,0.0691,0.0384,0.207,4.346,2.584,154.247,0.491,11.492,7.597,0.23,101414.0,0.3771
3000.0,20.38,0.3777,0.6558,0.0657,0.0379,0.204,4.278,2.457,151.846,0.483,10.927,7.338,0.23,101606.0,0.3552
3000.0,21.84,0.4046,0.6783,0.0621,0.0371,0.199,4.188,2.322,148.65,0.473,10.326,7.084,0.23,101808.0,0.3333
3000.0,23.3,0.4316,0.698,0.0583,0.036,0.194,4.074,2.179,144.61,0.46,9.691,6.834,0.23,102020.0,0.3115
3000.0,24.75,0.4586,0.7146,0.0543,0.0348,0.187,3.936,2.029,139.714,0.445,9.023,6.586,0.23,102243.0,0.2897
3000.0,26.21,0.4856,0.7281,0.0501,0.0334,0.18,3.775,1.872,133.993,0.427,8.327,6.337,0.23,102476.0,0.2678
3000.0,27.67,0.5125,0.738,0.0458,0.0318,0.171,3.592,1.71,127.488,0.406,7.608,6.085,0.23,102720.0,0.2458
3000.0,29.12,0.5395,0.7438,0.0413,0.03,0.161,3.387,1.544,120.234,0.383,6.869,5.826,0.23,102974.0,0.2236
3000.0,30.58,0.5665,0.7446,0.0368,0.028,0.151,3.163,1.375,112.267,0.357,6.115,5.554,0.23,103238.0,0.2011
