rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1042,0.0415,0.012,0.762,0.587,9.012,0.086,2.609,29.525,0.08,46791.0,0.6473
1000.0,0.49,0.0253,0.0619,0.1026,0.042,0.012,0.77,0.578,9.115,0.087,2.569,28.742,0.08,46826.0,0.6252
1000.0,0.98,0.0506,0.1205,0.1009,0.0424,0.012,0.779,0.568,9.211,0.088,2.526,27.963,0.08,46863.0,0.6031
1000.0,1.47,0.0759,0.1757,0.099,0.0428,0.012,0.786,0.557,9.296,0.089,2.479,27.19,0.08,46904.0,0.581
1000.0,1.97,0.1013,0.2277,0.097,0.0431,0.013,0.792,0.546,9.37,0.089,2.428,26.427,0.08,46948.0,0.5589
1000.0,2.46,0.1266,0.2766,0.0948,0.0434,0.013,0.797,0.534,9.429,0.09,2.374,25.674,0.08,46995.0,0.5369
1000.0,2.95,0.1519,0.3223,0.0925,0.0436,0.013,0.801,0.521,9.471,0.09,2.316,24.932,0.08,47045.0,0.5149
1000.0,3.44,0.1772,0.365,0.09,0.0437,0.013,0.802,0.507,9.494,0.091,2.253,24.201,0.08,47099.0,0.493
1000.0,3.93,0.2025,0.4047,0.0873,0.0437,0.013,0.803,0.492,9.496,0.091,2.187,23.482,0.08,47157.0,0.4713
1000.0,4.42,0.2278,0.4416,0.0845,0.0436,0.013,0.801,0.476,9.473,0.09,2.116,22.775,0.08,47218.0,0.4496
1000.0,4.91,0.2531,0.4756,0.0815,0.0434,0.013,0.797,0.459,9.424,0.09,2.04,22.077,0.08,47283.0,0.428
1000.0,5.41,0.2785,0.5069,0.0783,0.043,0.013,0.79,0.441,9.346,0.089,1.96,21.389,0.08,47352.0,0.4064
1000.0,5.9,0.3038,0.5354,0.0749,0.0425,0.012,0.781,0.422,9.237,0.088,1.876,20.709,0.08,47424.0,0.3849
1000.0,6.39,0.3291,0.5611,0.0714,0.0419,0.012,0.769,0.402,9.093,0.087,1.786,20.033,0.08,47501.0,0.3634
1000.0,6.88,0.3544,0.5839,0.0676,0.041,0.012,0.753,0.38,8.913,0.085,1.692,19.359,0.08,47582.0,0.3418
1000.0,7.37,0.3797,0.6038,0.0637,0.04,0.012,0.735,0.358,8.698,0.083,1.594,18.684,0.08,47666.0,0.3201
1000.0,7.86,0.405,0.6206,0.0596,0.0389,0.011,0.714,0.335,8.448,0.081,1.491,18.002,0.08,47755.0,0.2984
1000.0,8.35,0.4304,0.6339,0.0554,0.0376,0.011,0.69,0.312,8.165,0.078,1.386,17.308,0.08,47848.0,0.2765
1000.0,8.85,0.4557,0.6435,0.051,0.0361,0.011,0.663,0.287,7.848,0.075,1.277,16.594,0.08,47944.0,0.2545
1000.0,9.34,0.481,0.6489,0.0466,0.0345,0.01,0.634,0.262,7.499,0.072,1.166,15.852,0.08,48045.0,0.2323
1000.0,9.83,0.5063,0.6494,0.042,0.0328,0.01,0.602,0.237,7.118,0.068,1.052,15.072,0.08,48150.0,0.2098
1000.0,10.32,0.5316,0.6442,0.0374,0.0309,0.009,0.567,0.211,6.707,0.064,0.937,14.239,0.08,48259.0,0.187
1000.0,10.81,0.5569,0.632,0.0327,0.0288,0.008,0.53,0.184,6.266,0.06,0.819,13.335,0.08,48372.0,0.1638
1000.0,11.3,0.5822,0.6112,0.028,0.0267,0.008,0.49,0.158,5.797,0.055,0.701,12.334,0.08,48489.0,0.1402
1000.0,11.79,0.6076,0.5792,0.0233,0.0244,0.007,0.448,0.131,5.302,0.051,0.582,11.201,0.08,48610.0,0.116
1000.0,12.29,0.6329,0.5322,0.0185,0.022,0.006,0.404,0.104,4.782,0.046,0.463,9.881,0.08,48735.0,0.0913
1000.0,12.78,0.6582,0.4645,0.0138,0.0195,0.006,0.358,0.078,4.239,0.04,0.345,8.293,0.08,48865.0,0.0661
1000.0,13.27,0.6835,0.3664,0.0091,0.0169,0.005,0.311,0.051,3.677,0.035,0.227,6.299,0.08,48998.0,0.0407
1000.0,13.76,0.7088,0.2207,0.0044,0.0143,0.004,0.262,0.025,3.098,0.03,0.111,3.658,0.08,49136.0,0.0166
1000.0,14.25,0.7341,-0.0067,-0.0001,0.0115,0.003,0.212,-0.001,2.506,0.024,-0.003,-0.108,0.08,49276.0,0.0
2000.0,0.0,0.0,0.0,0.1046,0.0389,0.091,2.861,2.356,67.689,0.323,10.479,15.787,0.16,93580.0,0.6936
2000.0,0.99,0.0254,0.0663,0.103,0.0395,0.092,2.898,2.32,68.58,0.327,10.319,15.343,0.16,93650.0,0.6689
2000.0,1.97,0.0508,0.1289,0.1013,0.0399,0.093,2.933,2.281,69.411,0.331,10.144,14.903,0.16,93725.0,0.6442
2000.0,2.96,0.0762,0.1877,0.0994,0.0404,0.094,2.965,2.238,70.163,0.335,9.956,14.47,0.16,93807.0,0.6197
2000.0,3.95,0.1016,0.2429,0.0974,0.0407,0.095,2.993,2.193,70.819,0.338,9.754,14.045,0.16,93895.0,0.5953
2000.0,4.93,0.127,0.2946,0.0952,0.0411,0.096,3.016,2.144,71.358,0.341,9.536,13.627,0.16,93989.0,0.5711
2000.0,5.92,0.1524,0.3429,0.0929,0.0413,0.096,3.033,2.091,71.761,0.343,9.302,13.218,0.16,94091.0,0.5471
2000.0,6.9,0.1778,0.388,0.0904,0.0414,0.097,3.043,2.035,72.008,0.344,9.051,12.818,0.16,94199.0,0.5233
2000.0,7.89,0.2032,0.4299,0.0877,0.0415,0.097,3.046,1.975,72.077,0.344,8.783,12.426,0.16,94315.0,0.4998
2000.0,8.88,0.2287,0.4687,0.0849,0.0414,0.096,3.041,1.911,71.948,0.344,8.498,12.044,0.16,94438.0,0.4765
2000.0,9.86,0.2541,0.5047,0.0818,0.0412,0.096,3.026,1.842,71.601,0.342,8.194,11.67,0.16,94569.0,0.4534
2000.0,10.85,0.2795,0.5377,0.0786,0.0409,0.095,3.001,1.77,71.015,0.339,7.873,11.304,0.16,94708.0,0.4305
2000.0,11.84,0.3049,0.568,0.0752,0.0404,0.094,2.965,1.693,70.167,0.335,7.532,10.946,0.16,94854.0,0.4077
2000.0,12.82,0.3303,0.5955,0.0716,0.0397,0.093,2.918,1.612,69.035,0.33,7.171,10.593,0.16,95009.0,0.385
2000.0,13.81,0.3557,0.6202,0.0678,0.0389,0.091,2.857,1.527,67.604,0.323,6.792,10.245,0.16,95171.0,0.3623
2000.0,14.8,0.3811,0.6421,0.0639,0.0379,0.088,2.784,1.438,65.875,0.315,6.395,9.9,0.16,95342.0,0.3398
2000.0,15.78,0.4065,0.6611,0.0598,0.0367,0.086,2.699,1.345,63.854,0.305,5.984,9.555,0.16,95520.0,0.3172
2000.0,16.77,0.4319,0.677,0.0555,0.0354,0.083,2.601,1.25,61.546,0.294,5.558,9.209,0.16,95707.0,0.2946
2000.0,17.76,0.4573,0.6894,0.0511,0.0339,0.079,2.492,1.151,58.956,0.281,5.121,8.857,0.16,95901.0,0.272
2000.0,18.74,0.4827,0.698,0.0467,0.0323,0.075,2.37,1.05,56.089,0.268,4.673,8.495,0.16,96104.0,0.2492
2000.0,19.73,0.5081,0.7021,0.0421,0.0305,0.071,2.238,0.948,52.953,0.253,4.216,8.118,0.16,96315.0,0.2262
2000.0,20.71,0.5335,0.701,0.0375,0.0285,0.066,2.094,0.843,49.553,0.237,3.751,7.719,0.16,96534.0,0.2029
2000.0,21.7,0.5589,0.6934,0.0328,0.0264,0.062,1.94,0.738,45.899,0.219,3.281,7.289,0.17,96762.0,0.1792
2000.0,22.69,0.5843,0.6777,0.028,0.0242,0.056,1.775,0.631,42.002,0.201,2.807,6.814,0.17,96997.0,0.1549
2000.0,23.67,0.6097,0.6511,0.0233,0.0218,0.051,1.601,0.524,37.875,0.181,2.33,6.273,0.17,97241.0,0.13
2000.0,24.66,0.6351,0.6093,0.0185,0.0193,0.045,1.417,0.417,33.534,0.16,1.853,5.636,0.17,97493.0,0.1041
2000.0,25.65,0.6606,0.545,0.0138,0.0167,0.039,1.226,0.31,29.0,0.138,1.379,4.848,0.17,97754.0,0.0772
2000.0,26.63,0.686,0.4452,0.0091,0.014,0.033,1.027,0.204,24.298,0.116,0.909,3.813,0.17,98022.0,0.0493
2000.0,27.62,0.7114,0.2828,0.0045,0.0112,0.026,0.822,0.1,19.456,0.093,0.446,2.336,0.17,98299.0,0.0212
