rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.0885,0.0348,0.009,0.565,0.451,6.688,0.064,2.006,30.59,0.08,41723.0,0.6027
1000.0,0.45,0.0238,0.0587,0.0871,0.0352,0.009,0.572,0.444,6.767,0.065,1.976,29.771,0.08,41749.0,0.5821
1000.0,0.9,0.0475,0.1142,0.0856,0.0356,0.009,0.578,0.437,6.841,0.065,1.942,28.953,0.08,41778.0,0.5613
1000.0,1.35,0.0713,0.1665,0.0841,0.036,0.009,0.584,0.429,6.91,0.066,1.907,28.139,0.08,41809.0,0.5405
1000.0,1.8,0.095,0.2156,0.0824,0.0363,0.009,0.589,0.42,6.97,0.067,1.868,27.33,0.08,41843.0,0.5196
1000.0,2.25,0.1188,0.2616,0.0805,0.0366,0.009,0.593,0.411,7.02,0.067,1.826,26.528,0.08,41880.0,0.4987
1000.0,2.7,0.1425,0.3045,0.0786,0.0368,0.009,0.597,0.401,7.059,0.067,1.782,25.734,0.08,41919.0,0.4778
1000.0,3.15,0.1663,0.3444,0.0764,0.0369,0.01,0.599,0.39,7.085,0.068,1.733,24.949,0.08,41961.0,0.4569
1000.0,3.6,0.19,0.3814,0.0742,0.0369,0.01,0.6,0.378,7.094,0.068,1.682,24.173,0.08,42006.0,0.4361
1000.0,4.05,0.2138,0.4154,0.0717,0.0369,0.01,0.599,0.366,7.086,0.068,1.627,23.405,0.08,42054.0,0.4152
1000.0,4.5,0.2375,0.4466,0.0691,0.0368,0.009,0.597,0.352,7.059,0.067,1.568,22.646,0.08,42105.0,0.3944
1000.0,4.95,0.2613,0.475,0.0664,0.0365,0.009,0.592,0.338,7.01,0.067,1.505,21.893,0.08,42159.0,0.3736
1000.0,5.4,0.285,0.5005,0.0634,0.0361,0.009,0.586,0.323,6.939,0.066,1.439,21.146,0.08,42216.0,0.3529
1000.0,5.85,0.3088,0.5231,0.0604,0.0356,0.009,0.579,0.308,6.844,0.065,1.369,20.403,0.08,42276.0,0.3321
1000.0,6.3,0.3325,0.5429,0.0572,0.035,0.009,0.569,0.292,6.727,0.064,1.297,19.661,0.08,42340.0,0.3115
1000.0,6.75,0.3563,0.5596,0.0539,0.0343,0.009,0.557,0.275,6.587,0.063,1.222,18.916,0.08,42406.0,0.2909
1000.0,7.2,0.3801,0.5732,0.0505,0.0335,0.009,0.543,0.257,6.424,0.061,1.144,18.165,0.08,42476.0,0.2703
1000.0,7.65,0.4038,0.5834,0.0469,0.0325,0.008,0.527,0.239,6.237,0.06,1.064,17.401,0.08,42550.0,0.2497
1000.0,8.1,0.4276,0.59,0.0433,0.0314,0.008,0.509,0.221,6.026,0.058,0.982,16.621,0.08,42626.0,0.2291
1000.0,8.55,0.4513,0.5926,0.0396,0.0302,0.008,0.49,0.202,5.792,0.055,0.898,15.814,0.08,42706.0,0.2085
1000.0,9.0,0.4751,0.5906,0.0358,0.0288,0.007,0.468,0.183,5.534,0.053,0.813,14.973,0.08,42789.0,0.1878
1000.0,9.45,0.4988,0.5833,0.032,0.0273,0.007,0.444,0.163,5.252,0.05,0.725,14.083,0.08,42876.0,0.1668
1000.0,9.9,0.5226,0.5696,0.0281,0.0258,0.007,0.418,0.143,4.945,0.047,0.637,13.127,0.08,42966.0,0.1457
1000.0,10.35,0.5463,0.548,0.0241,0.024,0.006,0.39,0.123,4.615,0.044,0.547,12.082,0.08,43059.0,0.1243
1000.0,10.8,0.5701,0.5165,0.0201,0.0222,0.006,0.36,0.103,4.261,0.041,0.456,10.913,0.08,43156.0,0.1025
1000.0,11.25,0.5938,0.4719,0.0161,0.0202,0.005,0.328,0.082,3.884,0.037,0.365,9.571,0.08,43256.0,0.0804
1000.0,11.7,0.6176,0.4092,0.012,0.0182,0.005,0.295,0.061,3.485,0.033,0.273,7.98,0.08,43359.0,0.058
1000.0,12.15,0.6413,0.3204,0.008,0.016,0.004,0.259,0.041,3.065,0.029,0.181,6.016,0.08,43466.0,0.0356
1000.0,12.6,0.6651,0.1915,0.0039,0.0137,0.004,0.222,0.02,2.625,0.025,0.089,3.468,0.08,43576.0,0.0144
1000.0,13.05,0.6888,-0.0049,-0.0001,0.0113,0.003,0.183,0.0,2.166,0.021,-0.002,-0.085,0.08,43687.0,0.0
2000.0,0.0,0.0,0.0,0.0889,0.0314,0.065,2.04,1.813,48.27,0.23,8.064,17.036,0.16,83444.0,0.673
2000.0,0.9,0.0239,0.0656,0.0875,0.0319,0.066,2.069,1.786,48.964,0.234,7.942,16.541,0.16,83497.0,0.6485
2000.0,1.81,0.0477,0.1272,0.0861,0.0323,0.067,2.097,1.756,49.622,0.237,7.81,16.05,0.16,83556.0,0.6239
2000.0,2.71,0.0716,0.1851,0.0845,0.0327,0.067,2.123,1.724,50.229,0.24,7.667,15.565,0.16,83618.0,0.5995
2000.0,3.62,0.0955,0.2392,0.0828,0.0331,0.068,2.146,1.689,50.773,0.242,7.512,15.087,0.16,83687.0,0.5752
2000.0,4.52,0.1193,0.2897,0.081,0.0334,0.069,2.165,1.651,51.239,0.245,7.345,14.617,0.16,83760.0,0.5511
2000.0,5.42,0.1432,0.3367,0.079,0.0336,0.069,2.181,1.611,51.612,0.246,7.165,14.156,0.16,83839.0,0.5271
2000.0,6.33,0.1671,0.3802,0.0768,0.0338,0.07,2.192,1.567,51.873,0.248,6.972,13.704,0.16,83924.0,0.5034
2000.0,7.23,0.191,0.4205,0.0746,0.0339,0.07,2.198,1.521,52.007,0.248,6.764,13.262,0.16,84014.0,0.4798
