rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.0897,0.0352,0.009,0.571,0.457,6.754,0.064,2.035,30.719,0.08,43830.0,0.6096
1000.0,0.43,0.0229,0.0569,0.0882,0.0355,0.009,0.577,0.45,6.821,0.065,2.001,29.917,0.08,43858.0,0.5887
1000.0,0.87,0.0458,0.1107,0.0866,0.0358,0.009,0.582,0.442,6.883,0.066,1.965,29.115,0.08,43887.0,0.5678
1000.0,1.3,0.0687,0.1615,0.0849,0.0361,0.009,0.586,0.433,6.938,0.066,1.927,28.316,0.08,43920.0,0.5467
1000.0,1.73,0.0916,0.2093,0.0831,0.0364,0.009,0.59,0.424,6.984,0.067,1.885,27.523,0.08,43954.0,0.5257
1000.0,2.17,0.1145,0.2542,0.0812,0.0366,0.009,0.593,0.414,7.021,0.067,1.841,26.736,0.08,43991.0,0.5046
1000.0,2.6,0.1374,0.2961,0.0791,0.0367,0.009,0.595,0.403,7.045,0.067,1.793,25.955,0.08,44031.0,0.4835
1000.0,3.04,0.1603,0.3351,0.0768,0.0367,0.009,0.596,0.392,7.057,0.067,1.743,25.181,0.08,44073.0,0.4624
1000.0,3.47,0.1832,0.3713,0.0745,0.0367,0.009,0.596,0.38,7.053,0.067,1.689,24.414,0.08,44119.0,0.4413
1000.0,3.9,0.2061,0.4047,0.0719,0.0366,0.009,0.594,0.367,7.032,0.067,1.631,23.654,0.08,44167.0,0.4203
1000.0,4.34,0.229,0.4354,0.0692,0.0364,0.009,0.591,0.353,6.993,0.067,1.57,22.9,0.08,44217.0,0.3992
1000.0,4.77,0.2519,0.4633,0.0664,0.0361,0.009,0.586,0.339,6.934,0.066,1.506,22.151,0.08,44271.0,0.3782
1000.0,5.2,0.2748,0.4884,0.0634,0.0357,0.009,0.579,0.324,6.855,0.065,1.439,21.405,0.08,44328.0,0.3572
1000.0,5.64,0.2977,0.5106,0.0603,0.0352,0.009,0.571,0.308,6.755,0.065,1.369,20.661,0.08,44388.0,0.3362
1000.0,6.07,0.3206,0.5301,0.0571,0.0346,0.009,0.561,0.291,6.635,0.063,1.296,19.914,0.08,44450.0,0.3153
1000.0,6.51,0.3435,0.5465,0.0538,0.0338,0.009,0.549,0.274,6.494,0.062,1.22,19.163,0.08,44516.0,0.2945
1000.0,6.94,0.3664,0.5598,0.0504,0.033,0.008,0.535,0.257,6.331,0.06,1.143,18.403,0.08,44585.0,0.2736
1000.0,7.37,0.3893,0.5698,0.0468,0.032,0.008,0.519,0.239,6.146,0.059,1.063,17.629,0.08,44658.0,0.2528
1000.0,7.81,0.4122,0.5761,0.0432,0.0309,0.008,0.502,0.22,5.94,0.057,0.981,16.835,0.08,44733.0,0.2319
1000.0,8.24,0.4351,0.5785,0.0395,0.0297,0.008,0.483,0.202,5.711,0.055,0.897,16.013,0.08,44811.0,0.211
1000.0,8.67,0.458,0.5762,0.0358,0.0284,0.007,0.461,0.182,5.46,0.052,0.811,15.154,0.08,44893.0,0.1899
1000.0,9.11,0.4809,0.5687,0.0319,0.027,0.007,0.438,0.163,5.186,0.05,0.724,14.244,0.08,44978.0,0.1686
1000.0,9.54,0.5038,0.5548,0.028,0.0255,0.007,0.413,0.143,4.889,0.047,0.636,13.265,0.08,45066.0,0.1472
1000.0,9.97,0.5267,0.5332,0.0241,0.0238,0.006,0.386,0.123,4.57,0.044,0.547,12.195,0.08,45158.0,0.1254
1000.0,10.41,0.5496,0.5019,0.0201,0.022,0.006,0.357,0.103,4.229,0.04,0.456,10.999,0.08,45253.0,0.1033
1000.0,10.84,0.5725,0.4576,0.0161,0.0201,0.005,0.327,0.082,3.866,0.037,0.365,9.628,0.08,45351.0,0.0809
1000.0,11.28,0.5953,0.3959,0.0121,0.0181,0.005,0.294,0.061,3.481,0.033,0.273,8.009,0.08,45452.0,0.0583
1000.0,11.71,0.6182,0.3093,0.008,0.016,0.004,0.26,0.041,3.076,0.029,0.182,6.024,0.08,45557.0,0.0357
