rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.0848,0.0319,0.012,0.746,0.58,8.822,0.084,2.579,29.811,0.09,49137.0,0.619
1000.0,0.45,0.022,0.0571,0.0834,0.0322,0.012,0.753,0.57,8.907,0.085,2.535,29.027,0.09,49166.0,0.5976
1000.0,0.9,0.044,0.1111,0.0819,0.0324,0.012,0.759,0.559,8.985,0.086,2.489,28.245,0.09,49197.0,0.5761
1000.0,1.35,0.0661,0.1621,0.0802,0.0327,0.012,0.765,0.548,9.053,0.086,2.438,27.467,0.09,49231.0,0.5545
1000.0,1.8,0.0881,0.2101,0.0785,0.0329,0.012,0.77,0.536,9.111,0.087,2.385,26.693,0.09,49267.0,0.5329
1000.0,2.24,0.1101,0.255,0.0766,0.0331,0.012,0.774,0.523,9.155,0.087,2.328,25.925,0.09,49306.0,0.5114
1000.0,2.69,0.1321,0.2971,0.0746,0.0332,0.012,0.776,0.51,9.185,0.088,2.267,25.164,0.09,49348.0,0.4898
1000.0,3.14,0.1542,0.3362,0.0724,0.0332,0.012,0.777,0.495,9.197,0.088,2.202,24.41,0.09,49392.0,0.4683
1000.0,3.59,0.1762,0.3725,0.0701,0.0332,0.012,0.777,0.479,9.19,0.088,2.132,23.663,0.09,49439.0,0.4467
1000.0,4.04,0.1982,0.4059,0.0677,0.0331,0.012,0.774,0.463,9.16,0.087,2.059,22.922,0.09,49489.0,0.4252
1000.0,4.49,0.2202,0.4365,0.0652,0.0329,0.012,0.77,0.445,9.107,0.087,1.982,22.188,0.09,49543.0,0.4038
1000.0,4.94,0.2423,0.4644,0.0625,0.0326,0.012,0.763,0.427,9.029,0.086,1.9,21.458,0.09,49599.0,0.3824
1000.0,5.39,0.2643,0.4895,0.0597,0.0322,0.012,0.754,0.408,8.925,0.085,1.815,20.732,0.09,49658.0,0.361
1000.0,5.83,0.2863,0.5117,0.0568,0.0318,0.012,0.743,0.388,8.795,0.084,1.726,20.007,0.09,49720.0,0.3398
1000.0,6.28,0.3083,0.5311,0.0537,0.0312,0.012,0.73,0.367,8.638,0.082,1.633,19.281,0.09,49785.0,0.3186
1000.0,6.73,0.3303,0.5475,0.0506,0.0305,0.011,0.715,0.346,8.454,0.081,1.538,18.55,0.09,49854.0,0.2974
1000.0,7.18,0.3524,0.5607,0.0474,0.0298,0.011,0.697,0.324,8.242,0.079,1.44,17.812,0.09,49926.0,0.2763
1000.0,7.63,0.3744,0.5706,0.044,0.0289,0.011,0.676,0.301,8.001,0.076,1.339,17.06,0.09,50001.0,0.2552
1000.0,8.08,0.3964,0.5769,0.0406,0.0279,0.01,0.654,0.278,7.733,0.074,1.235,16.289,0.09,50079.0,0.2341
1000.0,8.53,0.4184,0.5791,0.0372,0.0268,0.01,0.628,0.254,7.435,0.071,1.129,15.492,0.09,50161.0,0.2129
1000.0,8.98,0.4405,0.5768,0.0336,0.0257,0.01,0.601,0.23,7.107,0.068,1.022,14.659,0.09,50246.0,0.1916
1000.0,9.42,0.4625,0.5692,0.03,0.0244,0.009,0.571,0.205,6.75,0.064,0.912,13.777,0.09,50335.0,0.1701
1000.0,9.87,0.4845,0.5553,0.0263,0.023,0.009,0.538,0.18,6.363,0.061,0.801,12.829,0.09,50427.0,0.1484
1000.0,10.32,0.5065,0.5337,0.0226,0.0215,0.008,0.503,0.155,5.947,0.057,0.688,11.793,0.09,50522.0,0.1264
1000.0,10.77,0.5286,0.5022,0.0189,0.0199,0.007,0.465,0.129,5.501,0.053,0.574,10.636,0.09,50621.0,0.1042
1000.0,11.22,0.5506,0.4579,0.0151,0.0181,0.007,0.425,0.103,5.025,0.048,0.459,9.31,0.09,50723.0,0.0815
1000.0,11.67,0.5726,0.3961,0.0113,0.0163,0.006,0.382,0.077,4.522,0.043,0.343,7.743,0.09,50829.0,0.0587
1000.0,12.12,0.5946,0.3091,0.0075,0.0144,0.005,0.337,0.051,3.992,0.038,0.228,5.819,0.09,50938.0,0.0359
1000.0,12.57,0.6166,0.184,0.0037,0.0124,0.005,0.29,0.025,3.437,0.033,0.113,3.339,0.09,51050.0,0.0145
1000.0,13.02,0.6387,-0.0048,-0.0001,0.0103,0.004,0.241,-0.001,2.856,0.027,-0.002,-0.084,0.09,51163.0,0.0
2000.0,0.0,0.0,0.0,0.0853,0.0288,0.086,2.701,2.332,63.916,0.305,10.372,16.547,0.17,98272.0,0.6889
2000.0,0.9,0.0221,0.0636,0.0839,0.0292,0.087,2.733,2.292,64.661,0.309,10.197,16.08,0.17,98330.0,0.6639
2000.0,1.8,0.0442,0.1235,0.0823,0.0295,0.088,2.762,2.25,65.349,0.312,10.009,15.618,0.17,98393.0,0.6388
2000.0,2.7,0.0664,0.1798,0.0807,0.0298,0.088,2.788,2.205,65.965,0.315,9.808,15.162,0.17,98461.0,0.6139
2000.0,3.61,0.0885,0.2326,0.0789,0.03,0.089,2.81,2.157,66.492,0.317,9.593,14.712,0.17,98534.0,0.5891
2000.0,4.51,0.1106,0.282,0.077,0.0302,0.09,2.828,2.105,66.915,0.319,9.363,14.269,0.17,98613.0,0.5645
2000.0,5.41,0.1327,0.328,0.075,0.0303,0.09,2.841,2.05,67.215,0.321,9.118,13.833,0.17,98696.0,0.54
2000.0,6.31,0.1548,0.3709,0.0728,0.0304,0.09,2.847,1.991,67.372,0.322,8.857,13.405,0.17,98786.0,0.5158
2000.0,7.21,0.177,0.4106,0.0705,0.0304,0.09,2.847,1.929,67.367,0.322,8.578,12.985,0.17,98881.0,0.4917
2000.0,8.11,0.1991,0.4472,0.0681,0.0303,0.09,2.839,1.862,67.182,0.321,8.283,12.572,0.17,98982.0,0.4678
2000.0,9.02,0.2212,0.4809,0.0655,0.0302,0.09,2.823,1.792,66.801,0.319,7.971,12.167,0.17,99089.0,0.4441
2000.0,9.92,0.2433,0.5117,0.0628,0.0299,0.089,2.798,1.718,66.212,0.316,7.642,11.769,0.17,99202.0,0.4206
2000.0,10.82,0.2654,0.5396,0.06,0.0295,0.088,2.764,1.641,65.409,0.312,7.298,11.377,0.17,99321.0,0.3973
2000.0,11.72,0.2876,0.5647,0.0571,0.0291,0.086,2.721,1.56,64.384,0.307,6.939,10.99,0.17,99447.0,0.3743
