rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.0847,0.0318,0.012,0.743,0.579,8.796,0.084,2.575,29.845,0.09,46061.0,0.6191
1000.0,0.44,0.0216,0.0562,0.0832,0.0321,0.012,0.75,0.569,8.876,0.085,2.53,29.062,0.09,46088.0,0.5976
1000.0,0.88,0.0433,0.1094,0.0816,0.0323,0.012,0.756,0.558,8.949,0.085,2.482,28.28,0.09,46117.0,0.576
1000.0,1.32,0.0649,0.1596,0.08,0.0325,0.012,0.762,0.546,9.012,0.086,2.43,27.501,0.09,46148.0,0.5543
1000.0,1.76,0.0866,0.2068,0.0781,0.0327,0.012,0.766,0.534,9.064,0.087,2.376,26.729,0.09,46182.0,0.5326
1000.0,2.21,0.1082,0.251,0.0762,0.0329,0.012,0.769,0.521,9.102,0.087,2.317,25.962,0.09,46217.0,0.5109
1000.0,2.65,0.1299,0.2924,0.0742,0.033,0.012,0.771,0.507,9.125,0.087,2.255,25.201,0.09,46256.0,0.4893
1000.0,3.09,0.1515,0.331,0.072,0.033,0.012,0.772,0.492,9.131,0.087,2.189,24.448,0.09,46296.0,0.4676
1000.0,3.53,0.1732,0.3667,0.0697,0.0329,0.012,0.771,0.476,9.118,0.087,2.119,23.701,0.09,46339.0,0.4461
1000.0,3.97,0.1948,0.3996,0.0673,0.0328,0.012,0.768,0.46,9.083,0.087,2.045,22.96,0.09,46385.0,0.4245
1000.0,4.41,0.2165,0.4298,0.0647,0.0326,0.012,0.763,0.442,9.026,0.086,1.967,22.225,0.09,46434.0,0.403
1000.0,4.85,0.2381,0.4572,0.062,0.0323,0.012,0.756,0.424,8.945,0.085,1.885,21.493,0.09,46485.0,0.3816
1000.0,5.29,0.2598,0.4819,0.0592,0.0319,0.012,0.747,0.405,8.839,0.084,1.8,20.765,0.09,46539.0,0.3602
1000.0,5.73,0.2814,0.5038,0.0563,0.0314,0.012,0.736,0.385,8.709,0.083,1.711,20.037,0.09,46596.0,0.3389
1000.0,6.18,0.3031,0.5228,0.0533,0.0309,0.011,0.723,0.364,8.553,0.082,1.619,19.307,0.09,46655.0,0.3176
1000.0,6.62,0.3247,0.5388,0.0501,0.0302,0.011,0.707,0.343,8.37,0.08,1.524,18.572,0.09,46718.0,0.2965
