rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.0919,0.0353,0.013,0.823,0.626,9.732,0.093,2.783,29.158,0.09,42722.0,0.6294
1000.0,0.53,0.0259,0.0656,0.0906,0.0358,0.013,0.835,0.617,9.878,0.094,2.746,28.345,0.09,42752.0,0.6078
1000.0,1.06,0.0519,0.1275,0.0893,0.0363,0.013,0.847,0.608,10.018,0.096,2.705,27.533,0.09,42784.0,0.586
1000.0,1.58,0.0778,0.1857,0.0878,0.0368,0.014,0.858,0.598,10.151,0.097,2.661,26.727,0.09,42819.0,0.5641
1000.0,2.11,0.1038,0.2402,0.0862,0.0373,0.014,0.868,0.587,10.273,0.098,2.612,25.929,0.09,42858.0,0.5423
1000.0,2.64,0.1297,0.2911,0.0845,0.0377,0.014,0.877,0.575,10.382,0.099,2.56,25.141,0.09,42899.0,0.5205
1000.0,3.17,0.1557,0.3386,0.0826,0.038,0.014,0.885,0.563,10.473,0.1,2.502,24.366,0.09,42944.0,0.4988
1000.0,3.7,0.1816,0.3827,0.0806,0.0382,0.014,0.891,0.549,10.544,0.101,2.441,23.604,0.09,42993.0,0.4772
1000.0,4.23,0.2076,0.4235,0.0784,0.0384,0.014,0.895,0.534,10.591,0.101,2.374,22.856,0.09,43045.0,0.4557
1000.0,4.75,0.2335,0.4611,0.076,0.0385,0.014,0.897,0.518,10.61,0.101,2.302,22.123,0.09,43101.0,0.4343
1000.0,5.28,0.2595,0.4957,0.0735,0.0384,0.014,0.896,0.5,10.599,0.101,2.225,21.405,0.09,43161.0,0.4131
1000.0,5.81,0.2854,0.5273,0.0707,0.0383,0.014,0.892,0.482,10.553,0.101,2.142,20.7,0.09,43224.0,0.392
1000.0,6.34,0.3114,0.556,0.0678,0.038,0.014,0.885,0.462,10.47,0.1,2.054,20.007,0.09,43292.0,0.3711
1000.0,6.87,0.3373,0.5818,0.0647,0.0375,0.014,0.874,0.441,10.346,0.099,1.961,19.324,0.09,43363.0,0.3501
