rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.0955,0.0379,0.012,0.785,0.592,9.287,0.089,2.632,28.897,0.08,41273.0,0.6211
1000.0,0.54,0.0273,0.067,0.0943,0.0385,0.013,0.798,0.584,9.44,0.09,2.6,28.083,0.08,41303.0,0.5999
1000.0,1.09,0.0547,0.13,0.093,0.0391,0.013,0.811,0.577,9.59,0.092,2.565,27.27,0.08,41336.0,0.5786
1000.0,1.63,0.082,0.1893,0.0916,0.0397,0.013,0.823,0.568,9.733,0.093,2.526,26.461,0.08,41373.0,0.5571
1000.0,2.18,0.1094,0.2447,0.0901,0.0403,0.013,0.834,0.558,9.868,0.094,2.483,25.66,0.08,41413.0,0.5357
1000.0,2.72,0.1367,0.2964,0.0884,0.0408,0.013,0.844,0.548,9.99,0.095,2.436,24.869,0.08,41456.0,0.5143
1000.0,3.26,0.1641,0.3446,0.0865,0.0412,0.014,0.853,0.536,10.096,0.096,2.385,24.09,0.08,41503.0,0.4929
1000.0,3.81,0.1914,0.3893,0.0845,0.0416,0.014,0.861,0.524,10.183,0.097,2.329,23.326,0.08,41554.0,0.4717
1000.0,4.35,0.2188,0.4306,0.0823,0.0418,0.014,0.866,0.51,10.247,0.098,2.269,22.577,0.08,41609.0,0.4505
1000.0,4.89,0.2461,0.4687,0.0799,0.042,0.014,0.869,0.495,10.283,0.098,2.203,21.845,0.08,41668.0,0.4295
1000.0,5.44,0.2735,0.5037,0.0773,0.042,0.014,0.87,0.479,10.289,0.098,2.132,21.128,0.08,41731.0,0.4087
1000.0,5.98,0.3008,0.5357,0.0746,0.0419,0.014,0.867,0.462,10.26,0.098,2.055,20.427,0.08,41798.0,0.388
1000.0,6.53,0.3282,0.5648,0.0716,0.0416,0.014,0.862,0.444,10.193,0.097,1.973,19.74,0.08,41870.0,0.3674
1000.0,7.07,0.3555,0.5909,0.0684,0.0412,0.014,0.852,0.424,10.085,0.096,1.886,19.066,0.08,41946.0,0.3469
1000.0,7.61,0.3829,0.6142,0.065,0.0405,0.013,0.839,0.403,9.932,0.095,1.792,18.401,0.08,42026.0,0.3264
1000.0,8.16,0.4102,0.6345,0.0614,0.0397,0.013,0.822,0.381,9.73,0.093,1.693,17.742,0.08,42110.0,0.3058
1000.0,8.7,0.4375,0.6517,0.0576,0.0387,0.013,0.801,0.357,9.478,0.091,1.588,17.084,0.08,42199.0,0.2852
1000.0,9.24,0.4649,0.6656,0.0536,0.0374,0.012,0.776,0.332,9.177,0.088,1.478,16.422,0.08,42293.0,0.2645
1000.0,9.79,0.4922,0.6758,0.0495,0.036,0.012,0.746,0.307,8.829,0.084,1.363,15.748,0.08,42391.0,0.2436
1000.0,10.33,0.5196,0.682,0.0452,0.0344,0.011,0.713,0.28,8.436,0.081,1.245,15.055,0.08,42493.0,0.2226
1000.0,10.88,0.5469,0.6833,0.0408,0.0326,0.011,0.676,0.253,8.0,0.076,1.124,14.331,0.08,42599.0,0.2013
1000.0,11.42,0.5743,0.679,0.0363,0.0307,0.01,0.636,0.225,7.524,0.072,1.001,13.562,0.08,42710.0,0.1797
1000.0,11.96,0.6016,0.6678,0.0317,0.0286,0.009,0.592,0.197,7.009,0.067,0.875,12.732,0.08,42825.0,0.1578
1000.0,12.51,0.629,0.6478,0.0271,0.0264,0.009,0.546,0.168,6.459,0.062,0.748,11.814,0.08,42945.0,0.1354
1000.0,13.05,0.6563,0.6165,0.0225,0.024,0.008,0.497,0.14,5.875,0.056,0.621,10.774,0.09,43069.0,0.1125
1000.0,13.6,0.6837,0.5697,0.0179,0.0215,0.007,0.445,0.111,5.26,0.05,0.493,9.558,0.09,43197.0,0.0889
1000.0,14.14,0.711,0.5009,0.0133,0.0189,0.006,0.39,0.082,4.62,0.044,0.366,8.082,0.09,43329.0,0.0648
1000.0,14.68,0.7384,0.3992,0.0087,0.0161,0.005,0.334,0.054,3.957,0.038,0.241,6.202,0.09,43466.0,0.0403
1000.0,15.23,0.7657,0.2441,0.0043,0.0134,0.004,0.277,0.026,3.277,0.031,0.118,3.657,0.09,43607.0,0.0166
1000.0,15.77,0.793,-0.0068,-0.0001,0.0105,0.003,0.218,-0.001,2.585,0.025,-0.002,-0.098,0.09,43752.0,0.0
2000.0,0.0,0.0,0.0,0.0958,0.0354,0.093,2.935,2.376,69.459,0.332,10.567,15.513,0.17,82545.0,0.6681
2000.0,1.09,0.0274,0.072,0.0947,0.0361,0.095,2.99,2.347,70.757,0.338,10.44,15.046,0.17,82605.0,0.6441
2000.0,2.18,0.0549,0.1395,0.0934,0.0367,0.097,3.044,2.316,72.033,0.344,10.3,14.581,0.17,82672.0,0.62
2000.0,3.27,0.0823,0.2026,0.092,0.0374,0.098,3.096,2.281,73.263,0.35,10.145,14.121,0.17,82745.0,0.5959
2000.0,4.36,0.1097,0.2615,0.0905,0.038,0.1,3.145,2.243,74.423,0.355,9.975,13.667,0.17,82825.0,0.5719
2000.0,5.46,0.1372,0.3162,0.0888,0.0385,0.101,3.19,2.201,75.486,0.36,9.788,13.222,0.17,82912.0,0.548
2000.0,6.55,0.1646,0.367,0.0869,0.039,0.102,3.23,2.155,76.423,0.365,9.583,12.787,0.17,83007.0,0.5244
2000.0,7.64,0.192,0.4139,0.0849,0.0394,0.104,3.263,2.104,77.204,0.369,9.36,12.362,0.17,83109.0,0.5011
2000.0,8.73,0.2195,0.4573,0.0827,0.0397,0.104,3.288,2.05,77.798,0.371,9.116,11.949,0.17,83219.0,0.478
2000.0,9.82,0.2469,0.4971,0.0803,0.0399,0.105,3.304,1.99,78.172,0.373,8.852,11.547,0.17,83338.0,0.4552
2000.0,10.91,0.2743,0.5337,0.0777,0.0399,0.105,3.309,1.926,78.294,0.374,8.567,11.157,0.17,83465.0,0.4326
2000.0,12.0,0.3018,0.5672,0.0749,0.0399,0.105,3.302,1.857,78.132,0.373,8.259,10.779,0.17,83600.0,0.4104
2000.0,13.09,0.3292,0.5976,0.0719,0.0396,0.104,3.282,1.783,77.656,0.371,7.929,10.411,0.17,83744.0,0.3884
