rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1401,0.1351,0.0,0.001,0.002,0.015,0.0,0.008,55.5,0.02,3077.0,0.3096
1000.0,0.12,0.0276,0.0282,0.1385,0.1356,0.0,0.001,0.002,0.015,0.0,0.008,54.672,0.02,3079.0,0.3033
1000.0,0.23,0.0551,0.0554,0.1368,0.136,0.0,0.001,0.002,0.015,0.0,0.008,53.818,0.02,3082.0,0.2967
1000.0,0.35,0.0827,0.0818,0.1349,0.1364,0.0,0.001,0.002,0.015,0.0,0.008,52.941,0.02,3086.0,0.2899
1000.0,0.47,0.1103,0.1072,0.1329,0.1367,0.0,0.001,0.002,0.015,0.0,0.008,52.04,0.02,3089.0,0.2828
1000.0,0.59,0.1378,0.1316,0.1308,0.137,0.0,0.001,0.002,0.015,0.0,0.008,51.115,0.02,3093.0,0.2755
1000.0,0.7,0.1654,0.155,0.1285,0.1371,0.0,0.001,0.002,0.015,0.0,0.007,50.165,0.02,3097.0,0.268
1000.0,0.82,0.193,0.1773,0.126,0.1371,0.0,0.001,0.002,0.015,0.0,0.007,49.19,0.02,3102.0,0.2603
1000.0,0.94,0.2206,0.1986,0.1233,0.137,0.0,0.001,0.002,0.015,0.0,0.007,48.188,0.02,3107.0,0.2522
1000.0,1.06,0.2481,0.2186,0.1204,0.1367,0.0,0.001,0.002,0.015,0.0,0.007,47.157,0.02,3112.0,0.2439
1000.0,1.17,0.2757,0.2374,0.1173,0.1363,0.0,0.001,0.002,0.015,0.0,0.007,46.093,0.02,3117.0,0.2353
1000.0,1.29,0.3033,0.2549,0.114,0.1356,0.0,0.001,0.001,0.015,0.0,0.007,44.993,0.02,3123.0,0.2264
1000.0,1.41,0.3308,0.271,0.1104,0.1347,0.0,0.001,0.001,0.015,0.0,0.006,43.854,0.02,3129.0,0.2172
1000.0,1.53,0.3584,0.2857,0.1065,0.1336,0.0,0.001,0.001,0.015,0.0,0.006,42.669,0.02,3135.0,0.2076
1000.0,1.64,0.386,0.2988,0.1024,0.1322,0.0,0.001,0.001,0.015,0.0,0.006,41.434,0.02,3142.0,0.1976
1000.0,1.76,0.4135,0.3101,0.0979,0.1306,0.0,0.001,0.001,0.014,0.0,0.006,40.139,0.02,3149.0,0.1872
1000.0,1.88,0.4411,0.3196,0.0933,0.1288,0.0,0.001,0.001,0.014,0.0,0.005,38.777,0.02,3156.0,0.1765
1000.0,2.0,0.4687,0.3269,0.0884,0.1267,0.0,0.001,0.001,0.014,0.0,0.005,37.339,0.02,3164.0,0.1655
1000.0,2.11,0.4963,0.332,0.0833,0.1245,0.0,0.001,0.001,0.014,0.0,0.005,35.816,0.02,3172.0,0.1541
1000.0,2.23,0.5238,0.3346,0.078,0.1221,0.0,0.001,0.001,0.014,0.0,0.005,34.197,0.02,3180.0,0.1424
1000.0,2.35,0.5514,0.3345,0.0725,0.1196,0.0,0.001,0.001,0.013,0.0,0.004,32.473,0.02,3188.0,0.1304
1000.0,2.47,0.579,0.3313,0.0669,0.1169,0.0,0.001,0.001,0.013,0.0,0.004,30.632,0.02,3197.0,0.1181
1000.0,2.58,0.6065,0.3248,0.0611,0.1141,0.0,0.001,0.001,0.013,0.0,0.004,28.664,0.02,3207.0,0.1056
1000.0,2.7,0.6341,0.3146,0.0552,0.1113,0.0,0.001,0.001,0.012,0.0,0.003,26.554,0.02,3216.0,0.093
1000.0,2.82,0.6617,0.3002,0.0491,0.1083,0.0,0.001,0.001,0.012,0.0,0.003,24.288,0.02,3226.0,0.0803
1000.0,2.94,0.6892,0.2814,0.043,0.1052,0.0,0.001,0.001,0.012,0.0,0.002,21.851,0.02,3236.0,0.0675
1000.0,3.05,0.7168,0.2574,0.0367,0.1021,0.0,0.001,0.0,0.011,0.0,0.002,19.223,0.02,3247.0,0.0549
1000.0,3.17,0.7444,0.2278,0.0303,0.0989,0.0,0.001,0.0,0.011,0.0,0.002,16.384,0.02,3257.0,0.0425
1000.0,3.29,0.7719,0.192,0.0238,0.0955,0.0,0.001,0.0,0.011,0.0,0.001,13.311,0.02,3268.0,0.0306
1000.0,3.41,0.7995,0.149,0.0172,0.0921,0.0,0.001,0.0,0.01,0.0,0.001,9.978,0.02,3280.0,0.0195
2000.0,0.0,0.0,0.0,0.1421,0.1084,0.0,0.004,0.007,0.096,0.0,0.033,35.094,0.04,6153.0,0.3944
2000.0,0.28,0.0326,0.0419,0.1403,0.1092,0.0,0.004,0.007,0.097,0.0,0.033,34.389,0.04,6160.0,0.3841
2000.0,0.56,0.0651,0.0819,0.1384,0.11,0.0,0.004,0.007,0.097,0.0,0.032,33.666,0.04,6167.0,0.3733
2000.0,0.83,0.0977,0.1202,0.1362,0.1107,0.0,0.004,0.007,0.098,0.0,0.032,32.928,0.04,6175.0,0.3623
2000.0,1.11,0.1303,0.1566,0.1339,0.1113,0.0,0.004,0.007,0.099,0.0,0.031,32.177,0.04,6184.0,0.351
2000.0,1.39,0.1629,0.1911,0.1313,0.1118,0.0,0.004,0.007,0.099,0.0,0.031,31.412,0.04,6194.0,0.3393
2000.0,1.67,0.1954,0.2237,0.1284,0.1122,0.0,0.004,0.007,0.099,0.0,0.03,30.635,0.04,6204.0,0.3273
2000.0,1.94,0.228,0.2543,0.1253,0.1124,0.0,0.004,0.007,0.1,0.0,0.029,29.845,0.04,6216.0,0.315
2000.0,2.22,0.2606,0.2827,0.1219,0.1124,0.0,0.004,0.006,0.1,0.0,0.028,29.041,0.04,6228.0,0.3023
2000.0,2.5,0.2931,0.3091,0.1182,0.1121,0.0,0.004,0.006,0.099,0.0,0.027,28.221,0.04,6241.0,0.2892
2000.0,2.78,0.3257,0.3332,0.1141,0.1115,0.0,0.004,0.006,0.099,0.0,0.027,27.382,0.04,6255.0,0.2757
2000.0,3.05,0.3583,0.3551,0.1096,0.1106,0.0,0.004,0.006,0.098,0.0,0.025,26.522,0.04,6270.0,0.2618
2000.0,3.33,0.3909,0.3744,0.1047,0.1093,0.0,0.004,0.005,0.097,0.0,0.024,25.637,0.04,6286.0,0.2473
2000.0,3.61,0.4234,0.3911,0.0995,0.1077,0.0,0.004,0.005,0.095,0.0,0.023,24.721,0.04,6303.0,0.2324
2000.0,3.89,0.456,0.4049,0.0939,0.1057,0.0,0.004,0.005,0.094,0.0,0.022,23.767,0.04,6320.0,0.2171
2000.0,4.16,0.4886,0.4156,0.088,0.1034,0.0,0.004,0.005,0.092,0.0,0.02,22.767,0.04,6339.0,0.2013
2000.0,4.44,0.5212,0.4228,0.0818,0.1009,0.0,0.004,0.004,0.089,0.0,0.019,21.712,0.04,6358.0,0.1851
2000.0,4.72,0.5537,0.426,0.0754,0.0981,0.0,0.004,0.004,0.087,0.0,0.018,20.591,0.04,6378.0,0.1686
2000.0,5.0,0.5863,0.4249,0.0688,0.095,0.0,0.004,0.004,0.084,0.0,0.016,19.395,0.04,6400.0,0.1517
2000.0,5.27,0.6189,0.4187,0.062,0.0917,0.0,0.003,0.003,0.081,0.0,0.014,18.107,0.04,6422.0,0.1345
2000.0,5.55,0.6514,0.4068,0.0551,0.0882,0.0,0.003,0.003,0.078,0.0,0.013,16.712,0.04,6445.0,0.1169
2000.0,5.83,0.684,0.3882,0.0479,0.0845,0.0,0.003,0.003,0.075,0.0,0.011,15.19,0.04,6468.0,0.0992
2000.0,6.11,0.7166,0.3618,0.0407,0.0806,0.0,0.003,0.002,0.071,0.0,0.009,13.515,0.04,6493.0,0.0813
2000.0,6.38,0.7492,0.3262,0.0333,0.0764,0.0,0.003,0.002,0.068,0.0,0.008,11.655,0.04,6519.0,0.0634
2000.0,6.66,0.7817,0.2795,0.0258,0.0721,0.0,0.003,0.001,0.064,0.0,0.006,9.57,0.04,6545.0,0.0458
2000.0,6.94,0.8143,0.2193,0.0182,0.0676,0.0,0.003,0.001,0.06,0.0,0.004,7.208,0.04,6572.0,0.029
2000.0,7.22,0.8469,0.1424,0.0106,0.0629,0.0,0.002,0.001,0.056,0.0,0.002,4.502,0.04,6600.0,0.0138
2000.0,7.5,0.8794,0.0447,0.003,0.0581,0.0,0.002,0.0,0.051,0.0,0.001,1.361,0.04,6629.0,0.0022
2000.0,7.77,0.912,-0.0799,-0.0047,0.0532,0.0,0.002,0.0,0.047,0.0,-0.001,-2.344,0.04,6659.0,0.0
3000.0,0.0,0.0,0.0,0.143,0.0972,0.0,0.008,0.017,0.291,0.001,0.075,26.245,0.05,9230.0,0.4438
3000.0,0.39,0.0308,0.0444,0.1414,0.0981,0.0,0.008,0.017,0.293,0.001,0.074,25.707,0.05,9239.0,0.4322
3000.0,0.79,0.0616,0.0869,0.1396,0.099,0.0,0.008,0.016,0.296,0.001,0.073,25.161,0.05,9249.0,0.4203
3000.0,1.18,0.0924,0.1274,0.1376,0.0998,0.0,0.008,0.016,0.298,0.001,0.072,24.606,0.05,9261.0,0.4081
3000.0,1.58,0.1232,0.166,0.1354,0.1005,0.0,0.008,0.016,0.3,0.001,0.071,24.045,0.05,9273.0,0.3957
3000.0,1.97,0.154,0.2027,0.1331,0.1011,0.0,0.009,0.016,0.302,0.001,0.07,23.479,0.05,9287.0,0.383
3000.0,2.36,0.1848,0.2373,0.1305,0.1016,0.0,0.009,0.015,0.304,0.001,0.068,22.909,0.05,9301.0,0.3701
3000.0,2.76,0.2156,0.2699,0.1277,0.102,0.0,0.009,0.015,0.305,0.001,0.067,22.334,0.05,9317.0,0.3569
3000.0,3.15,0.2464,0.3004,0.1246,0.1022,0.0,0.009,0.015,0.306,0.001,0.065,21.754,0.05,9334.0,0.3434
3000.0,3.54,0.2772,0.3289,0.1213,0.1022,0.0,0.009,0.014,0.306,0.001,0.063,21.169,0.05,9352.0,0.3297
3000.0,3.94,0.308,0.3552,0.1176,0.102,0.0,0.009,0.014,0.305,0.001,0.062,20.578,0.05,9371.0,0.3156
3000.0,4.33,0.3388,0.3794,0.1136,0.1015,0.0,0.009,0.013,0.303,0.001,0.059,19.98,0.05,9392.0,0.3012
3000.0,4.73,0.3696,0.4013,0.1093,0.1006,0.0,0.008,0.013,0.301,0.001,0.057,19.373,0.05,9413.0,0.2864
3000.0,5.12,0.4004,0.4209,0.1045,0.0995,0.0,0.008,0.012,0.297,0.001,0.055,18.756,0.05,9436.0,0.2712
3000.0,5.51,0.4312,0.438,0.0995,0.098,0.0,0.008,0.012,0.293,0.001,0.052,18.124,0.05,9460.0,0.2557
3000.0,5.91,0.462,0.4525,0.0942,0.0962,0.0,0.008,0.011,0.287,0.001,0.049,17.475,0.05,9485.0,0.2398
3000.0,6.3,0.4928,0.4641,0.0886,0.0941,0.0,0.008,0.01,0.281,0.001,0.046,16.803,0.05,9512.0,0.2236
3000.0,6.69,0.5236,0.4725,0.0828,0.0917,0.0,0.008,0.01,0.274,0.001,0.043,16.102,0.05,9539.0,0.2071
3000.0,7.09,0.5544,0.4775,0.0767,0.0891,0.0,0.008,0.009,0.266,0.001,0.04,15.367,0.05,9568.0,0.1903
3000.0,7.48,0.5852,0.4786,0.0705,0.0862,0.0,0.007,0.008,0.258,0.001,0.037,14.591,0.05,9598.0,0.1733
3000.0,7.88,0.616,0.4752,0.0641,0.0831,0.0,0.007,0.008,0.249,0.001,0.034,13.764,0.05,9630.0,0.1559
3000.0,8.27,0.6468,0.4668,0.0576,0.0798,0.0,0.007,0.007,0.239,0.001,0.03,12.876,0.05,9662.0,0.1382
3000.0,8.66,0.6776,0.4524,0.0509,0.0763,0.0,0.006,0.006,0.228,0.001,0.027,11.913,0.05,9695.0,0.1202
3000.0,9.06,0.7084,0.4312,0.0442,0.0726,0.0,0.006,0.005,0.217,0.001,0.023,10.86,0.05,9730.0,0.102
3000.0,9.45,0.7392,0.4016,0.0373,0.0686,0.0,0.006,0.004,0.205,0.001,0.019,9.693,0.06,9766.0,0.0837
3000.0,9.84,0.77,0.3619,0.0303,0.0644,0.0,0.005,0.004,0.193,0.001,0.016,8.385,0.06,9803.0,0.0653
3000.0,10.24,0.8008,0.3097,0.0232,0.0601,0.0,0.005,0.003,0.18,0.001,0.012,6.899,0.06,9841.0,0.047
3000.0,10.63,0.8316,0.2416,0.0161,0.0555,0.0,0.005,0.002,0.166,0.001,0.008,5.184,0.06,9881.0,0.0295
3000.0,11.03,0.8624,0.1532,0.009,0.0508,0.0,0.004,0.001,0.152,0.0,0.005,3.169,0.06,9921.0,0.0135
3000.0,11.42,0.8932,0.0377,0.0019,0.046,0.0,0.004,0.0,0.137,0.0,0.001,0.753,0.06,9962.0,0.0015
4000.0,0.0,0.0,0.0,0.1435,0.0908,0.001,0.014,0.03,0.644,0.002,0.133,21.151,0.07,12306.0,0.4777
