rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1384,0.132,0.0,0.002,0.002,0.019,0.0,0.01,53.184,0.02,3203.0,0.3113
1000.0,0.14,0.0302,0.0312,0.1371,0.1327,0.0,0.002,0.002,0.019,0.0,0.01,52.365,0.02,3206.0,0.3051
1000.0,0.27,0.0603,0.0613,0.1356,0.1335,0.0,0.002,0.002,0.019,0.0,0.01,51.519,0.02,3210.0,0.2985
1000.0,0.41,0.0905,0.0904,0.134,0.1342,0.0,0.002,0.002,0.019,0.0,0.01,50.649,0.02,3214.0,0.2918
1000.0,0.54,0.1207,0.1184,0.1323,0.1348,0.0,0.002,0.002,0.02,0.0,0.01,49.756,0.02,3218.0,0.2848
1000.0,0.68,0.1508,0.1453,0.1304,0.1354,0.0,0.002,0.002,0.02,0.0,0.009,48.841,0.02,3222.0,0.2776
1000.0,0.81,0.181,0.171,0.1284,0.1359,0.0,0.002,0.002,0.02,0.0,0.009,47.903,0.02,3227.0,0.2701
1000.0,0.95,0.2111,0.1955,0.1262,0.1363,0.0,0.002,0.002,0.02,0.0,0.009,46.944,0.02,3232.0,0.2624
1000.0,1.09,0.2413,0.2187,0.1237,0.1365,0.0,0.002,0.002,0.02,0.0,0.009,45.962,0.02,3238.0,0.2544
1000.0,1.22,0.2715,0.2407,0.1211,0.1366,0.0,0.002,0.002,0.02,0.0,0.009,44.957,0.02,3244.0,0.2462
1000.0,1.36,0.3016,0.2613,0.1182,0.1364,0.0,0.002,0.002,0.02,0.0,0.009,43.926,0.02,3250.0,0.2376
1000.0,1.49,0.3318,0.2805,0.1151,0.1361,0.0,0.002,0.002,0.02,0.0,0.008,42.867,0.02,3257.0,0.2288
1000.0,1.63,0.362,0.2982,0.1116,0.1355,0.0,0.002,0.002,0.02,0.0,0.008,41.775,0.02,3264.0,0.2196
1000.0,1.76,0.3921,0.3143,0.1079,0.1346,0.0,0.002,0.002,0.02,0.0,0.008,40.646,0.02,3272.0,0.2101
1000.0,1.9,0.4223,0.3287,0.1039,0.1334,0.0,0.002,0.002,0.019,0.0,0.007,39.474,0.02,3280.0,0.2002
1000.0,2.04,0.4525,0.3413,0.0995,0.1319,0.0,0.002,0.002,0.019,0.0,0.007,38.252,0.02,3288.0,0.1898
1000.0,2.17,0.4826,0.3519,0.0948,0.13,0.0,0.002,0.002,0.019,0.0,0.007,36.97,0.02,3297.0,0.1791
1000.0,2.31,0.5128,0.3602,0.0898,0.1278,0.0,0.002,0.001,0.019,0.0,0.006,35.619,0.02,3307.0,0.1679
1000.0,2.44,0.543,0.366,0.0845,0.1254,0.0,0.002,0.001,0.018,0.0,0.006,34.185,0.02,3316.0,0.1564
1000.0,2.58,0.5731,0.3691,0.079,0.1227,0.0,0.002,0.001,0.018,0.0,0.006,32.658,0.02,3326.0,0.1445
1000.0,2.71,0.6033,0.3691,0.0733,0.1198,0.0,0.001,0.001,0.017,0.0,0.005,31.024,0.02,3337.0,0.1322
1000.0,2.85,0.6334,0.3657,0.0674,0.1168,0.0,0.001,0.001,0.017,0.0,0.005,29.27,0.02,3348.0,0.1196
1000.0,2.99,0.6636,0.3583,0.0613,0.1136,0.0,0.001,0.001,0.016,0.0,0.004,27.381,0.02,3359.0,0.1067
1000.0,3.12,0.6938,0.3467,0.0551,0.1102,0.0,0.001,0.001,0.016,0.0,0.004,25.34,0.02,3371.0,0.0936
1000.0,3.26,0.7239,0.3302,0.0487,0.1067,0.0,0.001,0.001,0.015,0.0,0.004,23.127,0.02,3383.0,0.0803
1000.0,3.39,0.7541,0.3082,0.0421,0.1031,0.0,0.001,0.001,0.015,0.0,0.003,20.721,0.02,3396.0,0.0669
1000.0,3.53,0.7843,0.2799,0.0355,0.0994,0.0,0.001,0.001,0.014,0.0,0.003,18.097,0.02,3409.0,0.0536
1000.0,3.66,0.8144,0.2445,0.0287,0.0955,0.0,0.001,0.0,0.014,0.0,0.002,15.223,0.02,3422.0,0.0406
1000.0,3.8,0.8446,0.201,0.0218,0.0916,0.0,0.001,0.0,0.013,0.0,0.002,12.066,0.02,3436.0,0.028
1000.0,3.94,0.8748,0.1481,0.0148,0.0875,0.0,0.001,0.0,0.013,0.0,0.001,8.584,0.02,3450.0,0.0164
2000.0,0.0,0.0,0.0,0.1403,0.1066,0.0,0.005,0.009,0.124,0.001,0.041,33.372,0.04,6407.0,0.3934
2000.0,0.29,0.0326,0.0421,0.139,0.1076,0.0,0.005,0.009,0.125,0.001,0.04,32.737,0.04,6413.0,0.3841
2000.0,0.59,0.0652,0.0825,0.1375,0.1086,0.0,0.005,0.009,0.126,0.001,0.04,32.084,0.04,6421.0,0.3744
2000.0,0.88,0.0978,0.1212,0.1359,0.1096,0.0,0.005,0.009,0.127,0.001,0.039,31.417,0.04,6429.0,0.3644
2000.0,1.17,0.1304,0.158,0.1341,0.1106,0.0,0.005,0.009,0.128,0.001,0.039,30.738,0.04,6438.0,0.3542
2000.0,1.47,0.163,0.1931,0.1321,0.1115,0.0,0.005,0.009,0.129,0.001,0.038,30.048,0.04,6448.0,0.3437
2000.0,1.76,0.1955,0.2264,0.1299,0.1122,0.0,0.006,0.008,0.13,0.001,0.038,29.348,0.04,6459.0,0.3329
2000.0,2.05,0.2281,0.2577,0.1275,0.1128,0.0,0.006,0.008,0.131,0.001,0.037,28.641,0.04,6470.0,0.3218
2000.0,2.35,0.2607,0.2872,0.1248,0.1133,0.0,0.006,0.008,0.132,0.001,0.036,27.926,0.04,6483.0,0.3105
2000.0,2.64,0.2933,0.3147,0.1219,0.1136,0.0,0.006,0.008,0.132,0.001,0.035,27.203,0.04,6497.0,0.2989
2000.0,2.93,0.3259,0.3403,0.1186,0.1136,0.0,0.006,0.008,0.132,0.001,0.034,26.471,0.04,6511.0,0.2869
2000.0,3.23,0.3585,0.3638,0.1151,0.1134,0.0,0.006,0.007,0.132,0.001,0.033,25.729,0.04,6527.0,0.2747
2000.0,3.52,0.3911,0.3852,0.1112,0.1128,0.0,0.006,0.007,0.131,0.001,0.032,24.974,0.04,6543.0,0.262
2000.0,3.81,0.4237,0.4045,0.1068,0.1119,0.0,0.005,0.007,0.13,0.001,0.031,24.204,0.04,6560.0,0.249
2000.0,4.11,0.4563,0.4214,0.1021,0.1106,0.0,0.005,0.007,0.128,0.001,0.029,23.414,0.04,6579.0,0.2355
2000.0,4.4,0.4889,0.4358,0.097,0.1089,0.0,0.005,0.006,0.126,0.001,0.028,22.601,0.04,6598.0,0.2216
2000.0,4.69,0.5215,0.4475,0.0916,0.1068,0.0,0.005,0.006,0.124,0.001,0.026,21.756,0.04,6619.0,0.2072
2000.0,4.98,0.554,0.4561,0.0859,0.1043,0.0,0.005,0.006,0.121,0.001,0.025,20.873,0.04,6640.0,0.1925
2000.0,5.28,0.5866,0.4615,0.0799,0.1016,0.0,0.005,0.005,0.118,0.001,0.023,19.943,0.04,6662.0,0.1774
2000.0,5.57,0.6192,0.463,0.0737,0.0985,0.0,0.005,0.005,0.114,0.001,0.021,18.957,0.04,6685.0,0.1619
2000.0,5.86,0.6518,0.4603,0.0672,0.0952,0.0,0.005,0.004,0.111,0.001,0.019,17.903,0.04,6709.0,0.1461
2000.0,6.16,0.6844,0.4527,0.0606,0.0917,0.0,0.005,0.004,0.106,0.001,0.018,16.768,0.04,6735.0,0.13
2000.0,6.45,0.717,0.4394,0.0539,0.0879,0.0,0.004,0.003,0.102,0.0,0.016,15.537,0.04,6761.0,0.1135
2000.0,6.74,0.7496,0.4195,0.047,0.0839,0.0,0.004,0.003,0.097,0.0,0.014,14.188,0.04,6787.0,0.0968
2000.0,7.04,0.7822,0.3918,0.0399,0.0797,0.0,0.004,0.003,0.093,0.0,0.012,12.698,0.04,6815.0,0.0799
2000.0,7.33,0.8148,0.3546,0.0328,0.0753,0.0,0.004,0.002,0.087,0.0,0.009,11.034,0.04,6844.0,0.0629
2000.0,7.62,0.8474,0.306,0.0255,0.0707,0.0,0.003,0.002,0.082,0.0,0.007,9.155,0.04,6874.0,0.046
2000.0,7.92,0.88,0.2431,0.0182,0.0659,0.0,0.003,0.001,0.077,0.0,0.005,7.005,0.04,6904.0,0.0297
2000.0,8.21,0.9125,0.1624,0.0108,0.0609,0.0,0.003,0.001,0.071,0.0,0.003,4.511,0.04,6935.0,0.0148
2000.0,8.5,0.9451,0.0585,0.0035,0.0558,0.0,0.003,0.0,0.065,0.0,0.001,1.57,0.04,6968.0,0.0029
3000.0,0.0,0.0,0.0,0.1411,0.096,0.001,0.011,0.021,0.376,0.001,0.092,24.849,0.06,9610.0,0.4407
3000.0,0.45,0.0332,0.0478,0.1398,0.0971,0.001,0.011,0.02,0.381,0.001,0.091,24.329,0.06,9620.0,0.4294
3000.0,0.9,0.0664,0.0935,0.1383,0.0983,0.001,0.011,0.02,0.385,0.001,0.09,23.796,0.06,9632.0,0.4178
3000.0,1.34,0.0997,0.1371,0.1367,0.0994,0.001,0.011,0.02,0.389,0.001,0.089,23.255,0.06,9644.0,0.4059
3000.0,1.79,0.1329,0.1785,0.1349,0.1004,0.001,0.011,0.02,0.394,0.001,0.088,22.705,0.06,9658.0,0.3937
3000.0,2.24,0.1661,0.2177,0.1329,0.1014,0.001,0.011,0.019,0.398,0.001,0.086,22.151,0.06,9673.0,0.3813
3000.0,2.69,0.1993,0.2546,0.1307,0.1023,0.001,0.011,0.019,0.401,0.001,0.085,21.593,0.06,9690.0,0.3685
3000.0,3.14,0.2325,0.2893,0.1283,0.1031,0.001,0.011,0.019,0.404,0.001,0.083,21.033,0.06,9708.0,0.3556
3000.0,3.59,0.2657,0.3218,0.1256,0.1037,0.001,0.011,0.018,0.406,0.001,0.082,20.47,0.06,9728.0,0.3424
3000.0,4.03,0.299,0.3521,0.1226,0.1041,0.001,0.011,0.018,0.408,0.001,0.08,19.906,0.06,9748.0,0.329
3000.0,4.48,0.3322,0.3801,0.1192,0.1042,0.001,0.012,0.017,0.408,0.001,0.077,19.34,0.06,9771.0,0.3153
3000.0,4.93,0.3654,0.4058,0.1156,0.1041,0.001,0.011,0.017,0.408,0.001,0.075,18.771,0.06,9795.0,0.3013
3000.0,5.38,0.3986,0.4292,0.1115,0.1036,0.001,0.011,0.016,0.406,0.001,0.072,18.198,0.06,9820.0,0.2869
3000.0,5.83,0.4318,0.4501,0.1071,0.1027,0.001,0.011,0.016,0.403,0.001,0.07,17.619,0.06,9847.0,0.2721
3000.0,6.28,0.465,0.4686,0.1022,0.1014,0.001,0.011,0.015,0.397,0.001,0.066,17.031,0.06,9876.0,0.257
3000.0,6.72,0.4983,0.4844,0.0969,0.0997,0.001,0.011,0.014,0.391,0.001,0.063,16.432,0.06,9906.0,0.2414
3000.0,7.17,0.5315,0.4973,0.0913,0.0975,0.001,0.011,0.013,0.382,0.001,0.059,15.816,0.06,9938.0,0.2256
3000.0,7.62,0.5647,0.5071,0.0854,0.0951,0.0,0.01,0.012,0.373,0.001,0.055,15.178,0.06,9971.0,0.2093
3000.0,8.07,0.5979,0.5133,0.0792,0.0923,0.0,0.01,0.012,0.362,0.001,0.051,14.511,0.06,10005.0,0.1928
3000.0,8.52,0.6311,0.5156,0.0728,0.0891,0.0,0.01,0.011,0.349,0.001,0.047,13.809,0.06,10041.0,0.1759
3000.0,8.97,0.6643,0.5134,0.0662,0.0857,0.0,0.009,0.01,0.336,0.001,0.043,13.061,0.06,10079.0,0.1587
3000.0,9.41,0.6976,0.5059,0.0595,0.082,0.0,0.009,0.009,0.321,0.001,0.039,12.258,0.06,10117.0,0.1411
3000.0,9.86,0.7308,0.4922,0.0526,0.078,0.0,0.009,0.008,0.306,0.001,0.034,11.385,0.06,10158.0,0.1232
3000.0,10.31,0.764,0.4712,0.0455,0.0738,0.0,0.008,0.007,0.289,0.001,0.03,10.424,0.06,10199.0,0.105
3000.0,10.76,0.7972,0.4411,0.0384,0.0693,0.0,0.008,0.006,0.272,0.001,0.025,9.351,0.06,10243.0,0.0865
3000.0,11.21,0.8304,0.3997,0.0311,0.0646,0.0,0.007,0.005,0.253,0.001,0.02,8.135,0.06,10287.0,0.0677
3000.0,11.66,0.8636,0.344,0.0238,0.0597,0.0,0.007,0.003,0.234,0.001,0.015,6.732,0.06,10333.0,0.049
3000.0,12.1,0.8969,0.2695,0.0164,0.0545,0.0,0.006,0.002,0.214,0.001,0.011,5.079,0.06,10380.0,0.0307
3000.0,12.55,0.9301,0.1697,0.009,0.0491,0.0,0.005,0.001,0.192,0.001,0.006,3.085,0.06,10429.0,0.0138
3000.0,13.0,0.9633,0.0346,0.0016,0.0435,0.0,0.005,0.0,0.171,0.001,0.001,0.607,0.06,10479.0,0.0011
4000.0,0.0,0.0,0.0,0.1416,0.0899,0.001,0.018,0.037,0.835,0.002,0.164,19.967,0.08,12814.0,0.4729
4000.0,0.6,0.0335,0.0516,0.1403,0.0911,0.001,0.018,0.036,0.846,0.002,0.162,19.523,0.08,12827.0,0.4603
4000.0,1.21,0.0671,0.1009,0.1389,0.0923,0.001,0.018,0.036,0.858,0.002,0.16,19.07,0.08,12843.0,0.4473
4000.0,1.81,0.1006,0.1477,0.1372,0.0935,0.001,0.018,0.036,0.868,0.002,0.159,18.611,0.08,12860.0,0.434
4000.0,2.41,0.1341,0.192,0.1355,0.0946,0.001,0.019,0.035,0.879,0.002,0.156,18.147,0.08,12878.0,0.4204
4000.0,3.02,0.1676,0.2338,0.1335,0.0957,0.001,0.019,0.035,0.889,0.002,0.154,17.68,0.08,12899.0,0.4065
4000.0,3.62,0.2012,0.2731,0.1313,0.0967,0.001,0.019,0.034,0.898,0.002,0.152,17.213,0.08,12921.0,0.3925
4000.0,4.22,0.2347,0.31,0.1288,0.0975,0.001,0.019,0.033,0.906,0.002,0.149,16.746,0.08,12946.0,0.3782
4000.0,4.83,0.2682,0.3444,0.1261,0.0982,0.001,0.019,0.033,0.912,0.002,0.146,16.279,0.08,12972.0,0.3638
4000.0,5.43,0.3017,0.3764,0.123,0.0986,0.001,0.019,0.032,0.916,0.002,0.142,15.814,0.08,13000.0,0.3491
4000.0,6.03,0.3353,0.406,0.1197,0.0988,0.001,0.019,0.031,0.918,0.002,0.138,15.349,0.08,13031.0,0.3342
4000.0,6.64,0.3688,0.433,0.116,0.0988,0.001,0.019,0.03,0.917,0.002,0.134,14.885,0.08,13063.0,0.319
4000.0,7.24,0.4023,0.4577,0.1118,0.0983,0.001,0.019,0.029,0.913,0.002,0.129,14.421,0.08,13098.0,0.3035
4000.0,7.84,0.4358,0.4798,0.1073,0.0975,0.001,0.019,0.028,0.905,0.002,0.124,13.955,0.08,13134.0,0.2877
4000.0,8.45,0.4694,0.4993,0.1023,0.0962,0.001,0.019,0.027,0.894,0.002,0.118,13.485,0.08,13173.0,0.2715
4000.0,9.05,0.5029,0.5161,0.097,0.0945,0.001,0.019,0.025,0.878,0.002,0.112,13.01,0.08,13214.0,0.255
4000.0,9.65,0.5364,0.53,0.0912,0.0923,0.001,0.018,0.024,0.858,0.002,0.105,12.526,0.08,13256.0,0.2381
4000.0,10.26,0.57,0.5408,0.0852,0.0899,0.001,0.018,0.022,0.835,0.002,0.098,12.027,0.08,13301.0,0.221
4000.0,10.86,0.6035,0.5479,0.079,0.087,0.001,0.017,0.021,0.808,0.002,0.091,11.51,0.08,13348.0,0.2036
4000.0,11.46,0.637,0.5511,0.0725,0.0838,0.001,0.016,0.019,0.779,0.002,0.084,10.968,0.08,13397.0,0.1859
4000.0,12.07,0.6705,0.5498,0.0659,0.0803,0.001,0.016,0.017,0.746,0.002,0.076,10.394,0.08,13448.0,0.1679
4000.0,12.67,0.7041,0.543,0.059,0.0765,0.001,0.015,0.015,0.711,0.002,0.068,9.777,0.08,13500.0,0.1495
4000.0,13.27,0.7376,0.5299,0.0521,0.0725,0.001,0.014,0.014,0.673,0.002,0.06,9.108,0.08,13555.0,0.1308
4000.0,13.88,0.7711,0.5091,0.045,0.0681,0.001,0.013,0.012,0.633,0.002,0.052,8.369,0.08,13611.0,0.1117
4000.0,14.48,0.8046,0.4786,0.0377,0.0635,0.001,0.012,0.01,0.59,0.001,0.044,7.54,0.08,13670.0,0.0922
4000.0,15.08,0.8382,0.4358,0.0304,0.0586,0.001,0.011,0.008,0.544,0.001,0.035,6.59,0.08,13730.0,0.0724
4000.0,15.69,0.8717,0.3767,0.0231,0.0534,0.001,0.01,0.006,0.496,0.001,0.027,5.477,0.08,13793.0,0.0524
4000.0,16.29,0.9052,0.2954,0.0157,0.048,0.001,0.009,0.004,0.446,0.001,0.018,4.137,0.08,13857.0,0.0326
4000.0,16.89,0.9388,0.1827,0.0083,0.0424,0.001,0.008,0.002,0.394,0.001,0.01,2.468,0.08,13923.0,0.0141
4000.0,17.5,0.9723,0.0231,0.0009,0.0366,0.0,0.007,0.0,0.34,0.001,0.001,0.301,0.08,13990.0,0.0006
5000.0,0.0,0.0,0.0,0.142,0.0859,0.002,0.026,0.058,1.558,0.003,0.256,16.764,0.09,16017.0,0.4969
5000.0,0.78,0.0349,0.0563,0.1406,0.0872,0.002,0.027,0.057,1.581,0.003,0.254,16.362,0.09,16035.0,0.4827
5000.0,1.57,0.0697,0.1097,0.1391,0.0884,0.002,0.027,0.056,1.605,0.003,0.251,15.952,0.09,16055.0,0.4681
5000.0,2.35,0.1046,0.1603,0.1374,0.0897,0.002,0.028,0.056,1.628,0.003,0.248,15.538,0.09,16077.0,0.4532
5000.0,3.14,0.1395,0.208,0.1356,0.0909,0.002,0.028,0.055,1.65,0.003,0.245,15.12,0.09,16102.0,0.438
5000.0,3.92,0.1744,0.2528,0.1335,0.0921,0.002,0.028,0.054,1.671,0.003,0.241,14.702,0.09,16129.0,0.4226
5000.0,4.71,0.2092,0.2947,0.1311,0.0931,0.002,0.029,0.053,1.689,0.003,0.237,14.284,0.09,16159.0,0.407
5000.0,5.49,0.2441,0.3338,0.1285,0.094,0.002,0.029,0.052,1.705,0.003,0.232,13.868,0.09,16191.0,0.3912
5000.0,6.27,0.279,0.3701,0.1256,0.0947,0.002,0.029,0.051,1.718,0.003,0.227,13.455,0.09,16226.0,0.3752
5000.0,7.06,0.3138,0.4037,0.1224,0.0951,0.002,0.029,0.05,1.726,0.003,0.221,13.045,0.09,16264.0,0.359
5000.0,7.84,0.3487,0.4345,0.1188,0.0953,0.002,0.029,0.048,1.729,0.003,0.214,12.637,0.09,16304.0,0.3426
5000.0,8.63,0.3836,0.4626,0.1147,0.0951,0.002,0.029,0.047,1.726,0.003,0.207,12.23,0.09,16348.0,0.3259
5000.0,9.41,0.4185,0.4879,0.1103,0.0946,0.002,0.029,0.045,1.716,0.003,0.199,11.826,0.1,16394.0,0.3089
5000.0,10.2,0.4533,0.5105,0.1053,0.0935,0.002,0.029,0.043,1.697,0.003,0.19,11.421,0.1,16443.0,0.2916
5000.0,10.98,0.4882,0.5303,0.0999,0.092,0.002,0.028,0.041,1.669,0.003,0.18,11.015,0.1,16494.0,0.2739
5000.0,11.77,0.5231,0.547,0.0941,0.09,0.002,0.028,0.038,1.633,0.003,0.17,10.606,0.1,16549.0,0.256
5000.0,12.55,0.5579,0.5605,0.088,0.0876,0.002,0.027,0.036,1.59,0.003,0.159,10.188,0.1,16606.0,0.2378
