rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.2138,0.1978,0.0,0.001,0.002,0.012,0.0,0.008,65.061,0.02,3389.0,0.3985
1000.0,0.15,0.0384,0.0408,0.212,0.1992,0.0,0.001,0.002,0.012,0.0,0.008,64.102,0.02,3394.0,0.3911
1000.0,0.29,0.0767,0.0804,0.2102,0.2006,0.0,0.001,0.002,0.012,0.0,0.008,63.108,0.02,3400.0,0.3833
1000.0,0.44,0.1151,0.1187,0.2082,0.202,0.0,0.001,0.002,0.012,0.0,0.008,62.082,0.02,3407.0,0.3753
1000.0,0.58,0.1535,0.1555,0.2061,0.2034,0.0,0.001,0.002,0.012,0.0,0.007,61.027,0.02,3413.0,0.3671
1000.0,0.73,0.1918,0.191,0.2039,0.2048,0.0,0.001,0.002,0.013,0.0,0.007,59.947,0.02,3421.0,0.3586
1000.0,0.87,0.2302,0.225,0.2014,0.2061,0.0,0.001,0.002,0.013,0.0,0.007,58.845,0.02,3429.0,0.3499
1000.0,1.02,0.2686,0.2574,0.1988,0.2074,0.0,0.001,0.002,0.013,0.0,0.007,57.724,0.02,3438.0,0.341
1000.0,1.16,0.3069,0.2884,0.1959,0.2084,0.0,0.001,0.002,0.013,0.0,0.007,56.588,0.02,3448.0,0.3318
1000.0,1.31,0.3453,0.3179,0.1927,0.2093,0.0,0.001,0.002,0.013,0.0,0.007,55.439,0.02,3458.0,0.3224
1000.0,1.45,0.3837,0.3458,0.1892,0.2099,0.0,0.001,0.002,0.013,0.0,0.007,54.279,0.02,3469.0,0.3128
1000.0,1.6,0.422,0.3722,0.1853,0.2101,0.0,0.001,0.002,0.013,0.0,0.007,53.11,0.02,3481.0,0.3029
1000.0,1.74,0.4604,0.3971,0.1809,0.2098,0.0,0.001,0.001,0.013,0.0,0.007,51.932,0.02,3493.0,0.2927
1000.0,1.89,0.4988,0.4203,0.1762,0.2091,0.0,0.001,0.001,0.013,0.0,0.006,50.743,0.02,3506.0,0.2822
1000.0,2.03,0.5372,0.4419,0.1709,0.2077,0.0,0.001,0.001,0.013,0.0,0.006,49.541,0.02,3520.0,0.2714
1000.0,2.18,0.5755,0.4618,0.1651,0.2057,0.0,0.001,0.001,0.013,0.0,0.006,48.32,0.02,3535.0,0.2601
1000.0,2.33,0.6139,0.4799,0.1586,0.2029,0.0,0.001,0.001,0.012,0.0,0.006,47.072,0.02,3550.0,0.2484
1000.0,2.47,0.6523,0.4959,0.1515,0.1993,0.0,0.001,0.001,0.012,0.0,0.005,45.783,0.02,3566.0,0.2361
1000.0,2.62,0.6906,0.5096,0.1437,0.1948,0.0,0.001,0.001,0.012,0.0,0.005,44.435,0.02,3583.0,0.2232
1000.0,2.76,0.729,0.5206,0.1354,0.1895,0.0,0.001,0.001,0.012,0.0,0.005,43.002,0.02,3600.0,0.2096
1000.0,2.91,0.7674,0.5282,0.1264,0.1837,0.0,0.001,0.001,0.011,0.0,0.005,41.452,0.02,3618.0,0.1953
1000.0,3.05,0.8057,0.5319,0.117,0.1773,0.0,0.001,0.001,0.011,0.0,0.004,39.752,0.02,3637.0,0.1802
