rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.2344,0.1925,0.0,0.003,0.005,0.04,0.0,0.022,57.505,0.02,4049.0,0.4703
1000.0,0.18,0.0366,0.0438,0.2326,0.1943,0.0,0.003,0.005,0.04,0.0,0.022,56.538,0.02,4055.0,0.4606
1000.0,0.35,0.0732,0.0861,0.2306,0.1961,0.0,0.003,0.005,0.041,0.0,0.022,55.545,0.02,4062.0,0.4506
1000.0,0.53,0.1098,0.1267,0.2284,0.1979,0.0,0.003,0.005,0.041,0.0,0.022,54.53,0.02,4069.0,0.4403
1000.0,0.71,0.1464,0.1658,0.226,0.1995,0.0,0.003,0.005,0.041,0.0,0.022,53.496,0.02,4077.0,0.4296
1000.0,0.88,0.183,0.2032,0.2233,0.2011,0.0,0.004,0.005,0.042,0.0,0.021,52.448,0.02,4085.0,0.4187
1000.0,1.06,0.2195,0.2389,0.2203,0.2024,0.0,0.004,0.005,0.042,0.0,0.021,51.387,0.02,4095.0,0.4074
1000.0,1.24,0.2561,0.2729,0.2169,0.2036,0.0,0.004,0.005,0.042,0.0,0.021,50.317,0.02,4105.0,0.3958
1000.0,1.41,0.2927,0.3052,0.213,0.2043,0.0,0.004,0.005,0.042,0.0,0.02,49.241,0.02,4116.0,0.3839
1000.0,1.59,0.3293,0.3358,0.2088,0.2047,0.0,0.004,0.005,0.042,0.0,0.02,48.16,0.02,4127.0,0.3717
1000.0,1.77,0.3659,0.3647,0.204,0.2046,0.0,0.004,0.004,0.042,0.0,0.02,47.075,0.02,4139.0,0.3592
1000.0,1.94,0.4025,0.3919,0.1986,0.204,0.0,0.004,0.004,0.042,0.0,0.019,45.988,0.02,4152.0,0.3462
1000.0,2.12,0.4391,0.4174,0.1926,0.2026,0.0,0.004,0.004,0.042,0.0,0.018,44.895,0.02,4166.0,0.3328
1000.0,2.3,0.4757,0.441,0.1859,0.2005,0.0,0.004,0.004,0.042,0.0,0.018,43.792,0.02,4181.0,0.319
1000.0,2.47,0.5123,0.4628,0.1785,0.1976,0.0,0.003,0.004,0.041,0.0,0.017,42.67,0.02,4196.0,0.3046
1000.0,2.65,0.5489,0.4824,0.1705,0.194,0.0,0.003,0.004,0.04,0.0,0.016,41.514,0.02,4212.0,0.2896
1000.0,2.83,0.5855,0.4996,0.1618,0.1896,0.0,0.003,0.003,0.039,0.0,0.016,40.305,0.02,4229.0,0.2739
1000.0,3.0,0.622,0.5139,0.1525,0.1846,0.0,0.003,0.003,0.038,0.0,0.015,39.019,0.02,4247.0,0.2574
1000.0,3.18,0.6586,0.5248,0.1427,0.1791,0.0,0.003,0.003,0.037,0.0,0.014,37.631,0.02,4265.0,0.2401
1000.0,3.36,0.6952,0.5316,0.1324,0.1731,0.0,0.003,0.003,0.036,0.0,0.013,36.115,0.02,4284.0,0.222
1000.0,3.53,0.7318,0.5337,0.1216,0.1667,0.0,0.003,0.003,0.035,0.0,0.012,34.443,0.02,4304.0,0.2029
1000.0,3.71,0.7684,0.5301,0.1104,0.16,0.0,0.003,0.002,0.033,0.0,0.011,32.584,0.02,4324.0,0.1829
1000.0,3.89,0.805,0.5199,0.0988,0.153,0.0,0.003,0.002,0.032,0.0,0.009,30.502,0.02,4345.0,0.162
1000.0,4.06,0.8416,0.5017,0.0868,0.1457,0.0,0.003,0.002,0.03,0.0,0.008,28.156,0.02,4367.0,0.1402
1000.0,4.24,0.8782,0.474,0.0746,0.1381,0.0,0.002,0.002,0.029,0.0,0.007,25.495,0.02,4389.0,0.1176
1000.0,4.42,0.9148,0.4349,0.062,0.1303,0.0,0.002,0.001,0.027,0.0,0.006,22.457,0.02,4412.0,0.0944
1000.0,4.59,0.9514,0.382,0.0491,0.1223,0.0,0.002,0.001,0.025,0.0,0.005,18.966,0.02,4436.0,0.071
1000.0,4.77,0.988,0.3122,0.0361,0.1142,0.0,0.002,0.001,0.024,0.0,0.003,14.924,0.02,4460.0,0.0479
1000.0,4.95,1.0245,0.2214,0.0229,0.1059,0.0,0.002,0.0,0.022,0.0,0.002,10.205,0.02,4485.0,0.0261
1000.0,5.12,1.0611,0.1044,0.0096,0.0974,0.0,0.002,0.0,0.02,0.0,0.001,4.645,0.02,4510.0,0.0077
2000.0,0.0,0.0,0.0,0.2362,0.1735,0.0,0.012,0.02,0.287,0.001,0.091,32.156,0.04,8097.0,0.528
2000.0,0.36,0.0377,0.0504,0.2344,0.1756,0.0,0.012,0.02,0.291,0.001,0.09,31.538,0.04,8110.0,0.5159
2000.0,0.73,0.0755,0.0988,0.2325,0.1776,0.0,0.012,0.02,0.294,0.001,0.089,30.905,0.04,8124.0,0.5035
2000.0,1.09,0.1132,0.1451,0.2303,0.1797,0.0,0.013,0.02,0.298,0.001,0.088,30.26,0.04,8139.0,0.4906
2000.0,1.46,0.151,0.1893,0.2278,0.1817,0.0,0.013,0.02,0.301,0.001,0.087,29.607,0.04,8156.0,0.4774
2000.0,1.82,0.1887,0.2313,0.225,0.1836,0.0,0.013,0.019,0.304,0.001,0.086,28.948,0.04,8174.0,0.464
2000.0,2.19,0.2265,0.2713,0.2219,0.1853,0.0,0.013,0.019,0.307,0.001,0.085,28.286,0.04,8193.0,0.4502
2000.0,2.55,0.2642,0.3091,0.2184,0.1867,0.0,0.013,0.019,0.309,0.001,0.084,27.624,0.04,8214.0,0.4361
2000.0,2.92,0.302,0.3448,0.2144,0.1877,0.0,0.013,0.018,0.311,0.001,0.082,26.963,0.04,8237.0,0.4218
2000.0,3.28,0.3397,0.3784,0.2098,0.1884,0.0,0.013,0.018,0.312,0.001,0.08,26.305,0.04,8261.0,0.4071
2000.0,3.65,0.3774,0.41,0.2048,0.1885,0.0,0.013,0.018,0.312,0.001,0.079,25.653,0.04,8287.0,0.3922
2000.0,4.01,0.4152,0.4396,0.199,0.188,0.0,0.013,0.017,0.311,0.001,0.076,25.006,0.04,8314.0,0.3769
2000.0,4.37,0.4529,0.4673,0.1926,0.1867,0.0,0.013,0.017,0.309,0.001,0.074,24.364,0.04,8343.0,0.3613
2000.0,4.74,0.4907,0.493,0.1854,0.1846,0.0,0.013,0.016,0.306,0.001,0.071,23.726,0.04,8374.0,0.3452
2000.0,5.1,0.5284,0.5166,0.1775,0.1816,0.0,0.013,0.015,0.301,0.001,0.068,23.085,0.04,8407.0,0.3286
2000.0,5.47,0.5662,0.5379,0.1689,0.1778,0.0,0.012,0.015,0.294,0.001,0.065,22.435,0.04,8441.0,0.3115
2000.0,5.83,0.6039,0.5566,0.1596,0.1732,0.0,0.012,0.014,0.287,0.001,0.061,21.764,0.04,8476.0,0.2938
2000.0,6.2,0.6417,0.5722,0.1498,0.168,0.0,0.012,0.013,0.278,0.001,0.057,21.06,0.04,8513.0,0.2754
2000.0,6.56,0.6794,0.5843,0.1394,0.1621,0.0,0.011,0.012,0.268,0.001,0.053,20.309,0.04,8552.0,0.2562
2000.0,6.93,0.7171,0.5921,0.1285,0.1557,0.0,0.011,0.011,0.258,0.001,0.049,19.498,0.04,8592.0,0.2362
2000.0,7.29,0.7549,0.5948,0.1172,0.1488,0.0,0.01,0.01,0.246,0.001,0.045,18.608,0.04,8634.0,0.2153
2000.0,7.66,0.7926,0.5915,0.1055,0.1414,0.0,0.01,0.009,0.234,0.001,0.04,17.623,0.04,8676.0,0.1934
2000.0,8.02,0.8304,0.5807,0.0935,0.1336,0.0,0.009,0.008,0.221,0.001,0.036,16.516,0.04,8721.0,0.1706
2000.0,8.39,0.8681,0.5609,0.0811,0.1255,0.0,0.009,0.007,0.208,0.001,0.031,15.259,0.04,8766.0,0.1468
2000.0,8.75,0.9059,0.5298,0.0684,0.117,0.0,0.008,0.006,0.194,0.001,0.026,13.812,0.04,8813.0,0.1221
2000.0,9.11,0.9436,0.4843,0.0555,0.1082,0.0,0.008,0.005,0.179,0.001,0.021,12.121,0.04,8862.0,0.0965
2000.0,9.48,0.9814,0.4203,0.0424,0.099,0.0,0.007,0.004,0.164,0.001,0.016,10.115,0.04,8911.0,0.0704
2000.0,9.84,1.0191,0.3318,0.0292,0.0896,0.0,0.006,0.003,0.148,0.001,0.011,7.689,0.04,8962.0,0.0444
2000.0,10.21,1.0568,0.2098,0.0159,0.08,0.0,0.006,0.001,0.133,0.001,0.006,4.688,0.04,9014.0,0.02
2000.0,10.57,1.0946,0.0405,0.0026,0.0702,0.0,0.005,0.0,0.116,0.001,0.001,0.874,0.04,9068.0,0.0015
3000.0,0.0,0.0,0.0,0.2371,0.165,0.001,0.026,0.046,0.922,0.003,0.205,22.624,0.06,12146.0,0.5583
3000.0,0.55,0.0381,0.0537,0.2353,0.1672,0.001,0.026,0.046,0.935,0.003,0.203,22.161,0.06,12165.0,0.5448
3000.0,1.1,0.0763,0.105,0.2334,0.1694,0.001,0.027,0.045,0.947,0.003,0.201,21.689,0.06,12186.0,0.531
3000.0,1.66,0.1144,0.1541,0.2312,0.1716,0.001,0.027,0.045,0.959,0.003,0.2,21.209,0.06,12209.0,0.5168
3000.0,2.21,0.1525,0.2007,0.2287,0.1737,0.001,0.027,0.044,0.971,0.003,0.197,20.724,0.06,12234.0,0.5023
3000.0,2.76,0.1906,0.245,0.2259,0.1757,0.001,0.028,0.044,0.982,0.003,0.195,20.236,0.06,12262.0,0.4874
3000.0,3.31,0.2288,0.2869,0.2227,0.1776,0.001,0.028,0.043,0.993,0.003,0.192,19.748,0.06,12291.0,0.4723
3000.0,3.87,0.2669,0.3265,0.2192,0.1791,0.001,0.028,0.043,1.001,0.003,0.189,19.261,0.06,12323.0,0.457
3000.0,4.42,0.305,0.3638,0.2151,0.1804,0.001,0.028,0.042,1.008,0.003,0.186,18.777,0.06,12358.0,0.4414
3000.0,4.97,0.3431,0.3988,0.2105,0.1811,0.001,0.029,0.041,1.013,0.003,0.182,18.299,0.06,12395.0,0.4255
3000.0,5.52,0.3813,0.4317,0.2053,0.1814,0.001,0.029,0.04,1.014,0.003,0.177,17.826,0.06,12434.0,0.4094
3000.0,6.08,0.4194,0.4624,0.1995,0.1809,0.001,0.028,0.039,1.011,0.003,0.172,17.36,0.06,12476.0,0.393
3000.0,6.63,0.4575,0.4912,0.1929,0.1797,0.001,0.028,0.037,1.005,0.003,0.167,16.902,0.06,12520.0,0.3762
3000.0,7.18,0.4956,0.5178,0.1856,0.1776,0.001,0.028,0.036,0.993,0.003,0.16,16.449,0.06,12567.0,0.3591
3000.0,7.73,0.5338,0.5424,0.1775,0.1747,0.001,0.028,0.034,0.976,0.003,0.153,15.998,0.06,12617.0,0.3416
3000.0,8.29,0.5719,0.5647,0.1687,0.1708,0.001,0.027,0.033,0.955,0.003,0.146,15.545,0.06,12669.0,0.3236
3000.0,8.84,0.61,0.5843,0.1592,0.1662,0.001,0.026,0.031,0.929,0.003,0.137,15.081,0.06,12723.0,0.305
3000.0,9.39,0.6481,0.601,0.1492,0.1609,0.001,0.025,0.029,0.899,0.003,0.129,14.6,0.06,12780.0,0.2858
3000.0,9.94,0.6863,0.6142,0.1386,0.1549,0.001,0.024,0.027,0.866,0.003,0.12,14.091,0.06,12839.0,0.2659
3000.0,10.5,0.7244,0.6232,0.1276,0.1483,0.001,0.023,0.025,0.829,0.003,0.11,13.545,0.06,12900.0,0.2452
3000.0,11.05,0.7625,0.6273,0.1161,0.1412,0.001,0.022,0.023,0.789,0.003,0.1,12.951,0.06,12963.0,0.2237
3000.0,11.6,0.8006,0.6253,0.1043,0.1335,0.001,0.021,0.02,0.746,0.002,0.09,12.295,0.06,13029.0,0.2012
3000.0,12.15,0.8388,0.6159,0.0921,0.1254,0.001,0.02,0.018,0.701,0.002,0.079,11.56,0.06,13096.0,0.1778
3000.0,12.7,0.8769,0.5972,0.0796,0.1169,0.001,0.018,0.015,0.654,0.002,0.069,10.722,0.06,13166.0,0.1533
3000.0,13.26,0.915,0.5667,0.0669,0.108,0.001,0.017,0.013,0.604,0.002,0.058,9.751,0.06,13237.0,0.1278
3000.0,13.81,0.9531,0.5209,0.0539,0.0987,0.001,0.016,0.01,0.552,0.002,0.047,8.604,0.06,13311.0,0.1012
3000.0,14.36,0.9913,0.4543,0.0408,0.089,0.001,0.014,0.008,0.498,0.002,0.035,7.216,0.06,13387.0,0.0739
3000.0,14.91,1.0294,0.3591,0.0276,0.0791,0.001,0.012,0.005,0.442,0.001,0.024,5.492,0.06,13464.0,0.0462
3000.0,15.47,1.0675,0.2223,0.0143,0.0689,0.001,0.011,0.003,0.385,0.001,0.012,3.278,0.06,13544.0,0.0199
3000.0,16.02,1.1056,0.0217,0.0011,0.0585,0.0,0.009,0.0,0.327,0.001,0.001,0.308,0.06,13625.0,0.0005
4000.0,0.0,0.0,0.0,0.2376,0.1599,0.003,0.045,0.082,2.119,0.005,0.365,17.547,0.08,16194.0,0.578
4000.0,0.74,0.0383,0.0557,0.2359,0.1622,0.003,0.045,0.081,2.149,0.005,0.362,17.175,0.08,16220.0,0.5636
4000.0,1.48,0.0767,0.109,0.2339,0.1645,0.003,0.046,0.081,2.179,0.005,0.359,16.795,0.08,16249.0,0.5489
4000.0,2.22,0.115,0.1598,0.2317,0.1667,0.003,0.047,0.08,2.209,0.005,0.356,16.41,0.08,16280.0,0.5338
4000.0,2.96,0.1533,0.208,0.2293,0.169,0.003,0.047,0.079,2.239,0.005,0.352,16.021,0.08,16313.0,0.5183
4000.0,3.7,0.1916,0.2537,0.2265,0.1711,0.003,0.048,0.078,2.267,0.005,0.347,15.631,0.08,16350.0,0.5026
4000.0,4.44,0.23,0.2968,0.2233,0.173,0.003,0.048,0.077,2.292,0.005,0.343,15.241,0.08,16390.0,0.4867
4000.0,5.18,0.2683,0.3375,0.2197,0.1746,0.003,0.049,0.076,2.314,0.006,0.337,14.854,0.08,16433.0,0.4705
4000.0,5.92,0.3066,0.3757,0.2156,0.176,0.003,0.049,0.074,2.332,0.006,0.331,14.47,0.08,16479.0,0.454
4000.0,6.66,0.3449,0.4116,0.211,0.1768,0.003,0.05,0.073,2.343,0.006,0.324,14.091,0.08,16528.0,0.4374
4000.0,7.4,0.3833,0.4453,0.2058,0.1771,0.003,0.05,0.071,2.347,0.006,0.316,13.718,0.08,16581.0,0.4205
4000.0,8.14,0.4216,0.4767,0.1999,0.1767,0.003,0.049,0.069,2.342,0.006,0.307,13.352,0.08,16638.0,0.4034
4000.0,8.88,0.4599,0.5061,0.1932,0.1756,0.003,0.049,0.067,2.327,0.006,0.296,12.994,0.08,16698.0,0.3859
4000.0,9.62,0.4982,0.5334,0.1858,0.1736,0.003,0.049,0.064,2.3,0.005,0.285,12.641,0.08,16761.0,0.3682
4000.0,10.37,0.5366,0.5586,0.1776,0.1706,0.003,0.048,0.061,2.261,0.005,0.273,12.292,0.08,16827.0,0.3501
4000.0,11.11,0.5749,0.5815,0.1687,0.1668,0.003,0.047,0.058,2.21,0.005,0.259,11.944,0.08,16897.0,0.3315
4000.0,11.85,0.6132,0.6019,0.1591,0.1621,0.003,0.045,0.055,2.148,0.005,0.244,11.59,0.08,16971.0,0.3124
4000.0,12.59,0.6515,0.6193,0.149,0.1567,0.003,0.044,0.051,2.077,0.005,0.229,11.224,0.08,17047.0,0.2927
4000.0,13.33,0.6899,0.6334,0.1383,0.1507,0.003,0.042,0.048,1.996,0.005,0.212,10.841,0.08,17126.0,0.2725
4000.0,14.07,0.7282,0.6434,0.1272,0.144,0.003,0.04,0.044,1.908,0.005,0.195,10.433,0.08,17208.0,0.2514
4000.0,14.81,0.7665,0.6485,0.1157,0.1367,0.002,0.038,0.04,1.812,0.004,0.177,9.99,0.08,17293.0,0.2296
4000.0,15.55,0.8048,0.6478,0.1038,0.1289,0.002,0.036,0.036,1.708,0.004,0.159,9.504,0.08,17381.0,0.2069
4000.0,16.29,0.8432,0.6398,0.0915,0.1206,0.002,0.034,0.032,1.598,0.004,0.14,8.959,0.08,17472.0,0.1832
4000.0,17.03,0.8815,0.6225,0.079,0.1119,0.002,0.031,0.027,1.482,0.004,0.121,8.339,0.08,17566.0,0.1584
4000.0,17.77,0.9198,0.5933,0.0662,0.1027,0.002,0.029,0.023,1.36,0.003,0.102,7.617,0.08,17662.0,0.1325
