rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1538,0.1638,0.0,0.003,0.004,0.039,0.0,0.017,43.089,0.02,3948.0,0.2939
1000.0,0.28,0.0558,0.0519,0.1533,0.1647,0.0,0.003,0.004,0.039,0.0,0.016,42.688,0.02,3955.0,0.2906
1000.0,0.56,0.1117,0.1028,0.1527,0.166,0.0,0.003,0.004,0.04,0.0,0.016,42.225,0.02,3963.0,0.287
1000.0,0.83,0.1675,0.1522,0.1523,0.1676,0.0,0.003,0.004,0.04,0.0,0.016,41.693,0.02,3972.0,0.2829
1000.0,1.11,0.2233,0.2,0.152,0.1697,0.0,0.003,0.004,0.041,0.0,0.016,41.092,0.02,3983.0,0.2785
1000.0,1.39,0.2792,0.2459,0.1516,0.1721,0.0,0.003,0.004,0.041,0.0,0.016,40.42,0.02,3996.0,0.2737
1000.0,1.67,0.335,0.2897,0.1513,0.175,0.0,0.004,0.004,0.042,0.0,0.016,39.68,0.02,4010.0,0.2684
1000.0,1.94,0.3908,0.3311,0.151,0.1783,0.0,0.004,0.004,0.043,0.0,0.016,38.876,0.02,4026.0,0.2627
1000.0,2.22,0.4467,0.3701,0.1506,0.1818,0.0,0.004,0.004,0.043,0.0,0.016,38.015,0.02,4044.0,0.2566
1000.0,2.5,0.5025,0.4064,0.1501,0.1856,0.0,0.004,0.004,0.044,0.0,0.016,37.107,0.02,4064.0,0.25
1000.0,2.78,0.5583,0.44,0.1493,0.1895,0.0,0.004,0.004,0.045,0.0,0.016,36.16,0.02,4086.0,0.243
1000.0,3.05,0.6142,0.471,0.1482,0.1933,0.0,0.004,0.004,0.046,0.0,0.016,35.187,0.02,4109.0,0.2356
1000.0,3.33,0.67,0.4993,0.1467,0.1968,0.0,0.004,0.004,0.047,0.0,0.016,34.196,0.02,4134.0,0.2278
1000.0,3.61,0.7258,0.5251,0.1446,0.1999,0.0,0.004,0.004,0.048,0.0,0.016,33.197,0.02,4162.0,0.2195
1000.0,3.89,0.7817,0.5485,0.1419,0.2022,0.0,0.004,0.003,0.048,0.0,0.015,32.196,0.02,4191.0,0.2109
1000.0,4.16,0.8375,0.5694,0.1384,0.2035,0.0,0.004,0.003,0.049,0.0,0.015,31.198,0.02,4222.0,0.2018
1000.0,4.44,0.8933,0.5881,0.134,0.2035,0.0,0.004,0.003,0.049,0.0,0.014,30.205,0.02,4255.0,0.1922
1000.0,4.72,0.9492,0.6044,0.1286,0.202,0.0,0.004,0.003,0.048,0.0,0.014,29.217,0.02,4289.0,0.1822
