rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1251,0.0892,0.0,0.002,0.004,0.027,0.0,0.016,61.385,0.02,3625.0,0.3955
1000.0,0.16,0.0314,0.0432,0.124,0.09,0.0,0.002,0.004,0.027,0.0,0.016,60.313,0.02,3628.0,0.3869
1000.0,0.33,0.0628,0.0849,0.1227,0.0908,0.0,0.002,0.004,0.027,0.0,0.016,59.207,0.02,3632.0,0.3779
1000.0,0.49,0.0942,0.1249,0.1213,0.0915,0.0,0.002,0.004,0.028,0.0,0.016,58.073,0.02,3636.0,0.3685
1000.0,0.65,0.1256,0.1632,0.1198,0.0922,0.0,0.002,0.003,0.028,0.0,0.016,56.914,0.02,3641.0,0.3589
1000.0,0.82,0.157,0.1998,0.1181,0.0928,0.0,0.002,0.003,0.028,0.0,0.015,55.733,0.02,3646.0,0.349
1000.0,0.98,0.1884,0.2346,0.1163,0.0934,0.0,0.002,0.003,0.028,0.0,0.015,54.534,0.02,3651.0,0.3388
1000.0,1.14,0.2198,0.2676,0.1142,0.0938,0.0,0.002,0.003,0.028,0.0,0.015,53.318,0.02,3657.0,0.3283
1000.0,1.31,0.2512,0.2988,0.1119,0.0941,0.0,0.002,0.003,0.028,0.0,0.015,52.088,0.02,3663.0,0.3175
1000.0,1.47,0.2826,0.3281,0.1094,0.0942,0.0,0.002,0.003,0.028,0.0,0.014,50.844,0.02,3670.0,0.3064
1000.0,1.64,0.314,0.3555,0.1066,0.0942,0.0,0.002,0.003,0.028,0.0,0.014,49.584,0.02,3677.0,0.295
1000.0,1.8,0.3454,0.381,0.1036,0.0939,0.0,0.002,0.003,0.028,0.0,0.013,48.308,0.02,3685.0,0.2833
1000.0,1.96,0.3768,0.4045,0.1003,0.0935,0.0,0.002,0.003,0.028,0.0,0.013,47.011,0.02,3694.0,0.2713
1000.0,2.13,0.4082,0.4258,0.0968,0.0928,0.0,0.002,0.003,0.028,0.0,0.013,45.689,0.02,3702.0,0.2589
1000.0,2.29,0.4396,0.445,0.0929,0.0918,0.0,0.002,0.003,0.028,0.0,0.012,44.335,0.02,3712.0,0.2462
1000.0,2.45,0.471,0.4618,0.0887,0.0905,0.0,0.002,0.003,0.027,0.0,0.012,42.939,0.02,3722.0,0.233
1000.0,2.62,0.5024,0.476,0.0842,0.0889,0.0,0.002,0.002,0.027,0.0,0.011,41.491,0.02,3732.0,0.2194
1000.0,2.78,0.5338,0.4872,0.0794,0.087,0.0,0.002,0.002,0.026,0.0,0.01,39.976,0.02,3743.0,0.2052
1000.0,2.94,0.5652,0.4952,0.0743,0.0848,0.0,0.002,0.002,0.026,0.0,0.01,38.373,0.02,3754.0,0.1906
1000.0,3.11,0.5966,0.4994,0.069,0.0824,0.0,0.002,0.002,0.025,0.0,0.009,36.663,0.02,3766.0,0.1754
1000.0,3.27,0.628,0.4993,0.0634,0.0797,0.0,0.002,0.002,0.024,0.0,0.008,34.819,0.02,3779.0,0.1597
