rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.0904,0.0539,0.0,0.001,0.002,0.01,0.0,0.008,80.756,0.02,4026.0,0.4021
1000.0,0.11,0.0224,0.0372,0.0901,0.0543,0.0,0.001,0.002,0.01,0.0,0.008,80.021,0.02,4028.0,0.3979
1000.0,0.21,0.0447,0.0736,0.0899,0.0547,0.0,0.001,0.002,0.01,0.0,0.008,79.208,0.02,4031.0,0.3933
1000.0,0.32,0.0671,0.1091,0.0896,0.0551,0.0,0.001,0.002,0.01,0.0,0.008,78.318,0.02,4033.0,0.3882
1000.0,0.42,0.0895,0.1437,0.0892,0.0556,0.0,0.001,0.002,0.01,0.0,0.008,77.351,0.02,4036.0,0.3827
1000.0,0.53,0.1119,0.1772,0.0888,0.0561,0.0,0.001,0.002,0.011,0.0,0.008,76.309,0.02,4039.0,0.3767
1000.0,0.64,0.1342,0.2095,0.0884,0.0566,0.0,0.001,0.002,0.011,0.0,0.008,75.197,0.02,4042.0,0.3702
1000.0,0.74,0.1566,0.2406,0.0878,0.0571,0.0,0.001,0.002,0.011,0.0,0.008,74.019,0.02,4046.0,0.3632
1000.0,0.85,0.179,0.2704,0.0871,0.0577,0.0,0.001,0.002,0.011,0.0,0.008,72.78,0.02,4050.0,0.3557
1000.0,0.95,0.2014,0.2988,0.0863,0.0581,0.0,0.001,0.002,0.011,0.0,0.008,71.487,0.02,4054.0,0.3477
1000.0,1.06,0.2237,0.3258,0.0852,0.0585,0.0,0.001,0.002,0.011,0.0,0.008,70.146,0.02,4059.0,0.3391
1000.0,1.17,0.2461,0.3513,0.0839,0.0588,0.0,0.001,0.002,0.011,0.0,0.007,68.763,0.02,4063.0,0.33
1000.0,1.27,0.2685,0.3753,0.0824,0.0589,0.0,0.001,0.002,0.011,0.0,0.007,67.344,0.02,4068.0,0.3201
1000.0,1.38,0.2909,0.3978,0.0804,0.0588,0.0,0.001,0.002,0.011,0.0,0.007,65.889,0.02,4074.0,0.3095
1000.0,1.48,0.3132,0.4187,0.0781,0.0584,0.0,0.001,0.002,0.011,0.0,0.007,64.4,0.02,4080.0,0.2981
1000.0,1.59,0.3356,0.438,0.0753,0.0577,0.0,0.001,0.002,0.011,0.0,0.007,62.87,0.02,4086.0,0.2858
1000.0,1.7,0.358,0.4555,0.0721,0.0567,0.0,0.001,0.001,0.011,0.0,0.006,61.291,0.02,4092.0,0.2727
1000.0,1.8,0.3804,0.471,0.0686,0.0554,0.0,0.001,0.001,0.01,0.0,0.006,59.651,0.02,4099.0,0.2587
1000.0,1.91,0.4027,0.4844,0.0647,0.0538,0.0,0.001,0.001,0.01,0.0,0.006,57.941,0.02,4106.0,0.244
1000.0,2.01,0.4251,0.4954,0.0605,0.0519,0.0,0.001,0.001,0.01,0.0,0.005,56.143,0.02,4113.0,0.2287
1000.0,2.12,0.4475,0.5038,0.0561,0.0499,0.0,0.001,0.001,0.009,0.0,0.005,54.238,0.02,4120.0,0.2128
1000.0,2.22,0.4699,0.5091,0.0516,0.0476,0.0,0.001,0.001,0.009,0.0,0.005,52.197,0.02,4128.0,0.1964
1000.0,2.33,0.4922,0.5108,0.0469,0.0452,0.0,0.001,0.001,0.008,0.0,0.004,49.987,0.02,4136.0,0.1793
1000.0,2.44,0.5146,0.5081,0.0421,0.0427,0.0,0.001,0.001,0.008,0.0,0.004,47.561,0.02,4145.0,0.1617
1000.0,2.54,0.537,0.5,0.0372,0.04,0.0,0.001,0.001,0.007,0.0,0.003,44.858,0.02,4153.0,0.1434
1000.0,2.65,0.5594,0.4853,0.0322,0.0371,0.0,0.001,0.001,0.007,0.0,0.003,41.794,0.02,4162.0,0.1243
1000.0,2.75,0.5817,0.4618,0.0271,0.0342,0.0,0.001,0.001,0.006,0.0,0.002,38.246,0.02,4171.0,0.1043
