rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1417,0.0655,0.0,0.003,0.006,0.031,0.0,0.026,86.846,0.02,4606.0,0.6497
1000.0,0.16,0.0285,0.0602,0.1404,0.0666,0.0,0.003,0.006,0.031,0.0,0.026,84.656,0.02,4610.0,0.6304
1000.0,0.32,0.0571,0.1172,0.139,0.0676,0.0,0.003,0.006,0.032,0.0,0.026,82.483,0.02,4615.0,0.6111
1000.0,0.49,0.0856,0.1713,0.1374,0.0686,0.0,0.003,0.006,0.032,0.0,0.025,80.338,0.02,4620.0,0.5918
1000.0,0.65,0.1141,0.2224,0.1356,0.0696,0.0,0.003,0.006,0.032,0.0,0.025,78.23,0.02,4626.0,0.5725
1000.0,0.81,0.1427,0.2706,0.1336,0.0704,0.0,0.003,0.006,0.033,0.0,0.025,76.164,0.02,4632.0,0.5533
1000.0,0.97,0.1712,0.3162,0.1313,0.0711,0.0,0.003,0.005,0.033,0.0,0.024,74.145,0.02,4638.0,0.5341
1000.0,1.13,0.1997,0.3591,0.1288,0.0717,0.0,0.003,0.005,0.033,0.0,0.024,72.175,0.02,4645.0,0.5149
1000.0,1.3,0.2283,0.3994,0.126,0.072,0.0,0.003,0.005,0.034,0.0,0.023,70.256,0.02,4653.0,0.4957
1000.0,1.46,0.2568,0.4374,0.1229,0.0722,0.0,0.003,0.005,0.034,0.0,0.023,68.385,0.02,4661.0,0.4765
1000.0,1.62,0.2853,0.473,0.1195,0.0721,0.0,0.003,0.005,0.034,0.0,0.022,66.557,0.02,4669.0,0.4572
1000.0,1.78,0.3138,0.5063,0.1157,0.0717,0.0,0.003,0.005,0.033,0.0,0.021,64.765,0.02,4678.0,0.4377
1000.0,1.95,0.3424,0.5373,0.1115,0.071,0.0,0.003,0.005,0.033,0.0,0.02,62.998,0.02,4688.0,0.418
1000.0,2.11,0.3709,0.5658,0.1069,0.0701,0.0,0.003,0.004,0.033,0.0,0.02,61.242,0.02,4698.0,0.3979
1000.0,2.27,0.3994,0.5918,0.1019,0.0688,0.0,0.003,0.004,0.032,0.0,0.019,59.477,0.02,4709.0,0.3774
1000.0,2.43,0.428,0.6149,0.0966,0.0673,0.0,0.003,0.004,0.031,0.0,0.018,57.681,0.02,4720.0,0.3564
1000.0,2.59,0.4565,0.6349,0.091,0.0655,0.0,0.003,0.004,0.031,0.0,0.017,55.832,0.02,4732.0,0.3348
1000.0,2.76,0.485,0.6513,0.0852,0.0635,0.0,0.003,0.004,0.03,0.0,0.016,53.907,0.02,4744.0,0.3128
1000.0,2.92,0.5136,0.6637,0.0792,0.0613,0.0,0.002,0.003,0.029,0.0,0.015,51.881,0.02,4757.0,0.2902
1000.0,3.08,0.5421,0.6715,0.073,0.0589,0.0,0.002,0.003,0.027,0.0,0.013,49.726,0.02,4770.0,0.267
1000.0,3.24,0.5706,0.6739,0.0666,0.0564,0.0,0.002,0.003,0.026,0.0,0.012,47.412,0.02,4783.0,0.2431
1000.0,3.4,0.5992,0.6701,0.06,0.0537,0.0,0.002,0.002,0.025,0.0,0.011,44.899,0.02,4798.0,0.2186
1000.0,3.57,0.6277,0.6588,0.0533,0.0508,0.0,0.002,0.002,0.024,0.0,0.01,42.138,0.02,4812.0,0.1934
1000.0,3.73,0.6562,0.6386,0.0465,0.0478,0.0,0.002,0.002,0.022,0.0,0.009,39.067,0.02,4827.0,0.1675
1000.0,3.89,0.6848,0.6073,0.0396,0.0447,0.0,0.002,0.002,0.021,0.0,0.007,35.604,0.02,4843.0,0.1409
1000.0,4.05,0.7133,0.5622,0.0326,0.0414,0.0,0.002,0.001,0.019,0.0,0.006,31.643,0.02,4859.0,0.1136
1000.0,4.21,0.7418,0.4997,0.0256,0.038,0.0,0.001,0.001,0.018,0.0,0.005,27.044,0.02,4876.0,0.086
1000.0,4.38,0.7704,0.4148,0.0186,0.0345,0.0,0.001,0.001,0.016,0.0,0.003,21.619,0.02,4893.0,0.0586
1000.0,4.54,0.7989,0.3006,0.0117,0.031,0.0,0.001,0.0,0.014,0.0,0.002,15.108,0.02,4911.0,0.0324
1000.0,4.7,0.8274,0.1465,0.0049,0.0274,0.0,0.001,0.0,0.013,0.0,0.001,7.107,0.02,4929.0,0.0098
2000.0,0.0,0.0,0.0,0.1418,0.0639,0.0,0.01,0.023,0.238,0.001,0.104,44.568,0.05,9212.0,0.6672
2000.0,0.34,0.0299,0.0646,0.1405,0.0651,0.0,0.01,0.023,0.243,0.001,0.103,43.352,0.05,9221.0,0.6459
2000.0,0.68,0.0598,0.1256,0.139,0.0662,0.0,0.01,0.023,0.247,0.001,0.102,42.149,0.05,9231.0,0.6246
2000.0,1.02,0.0898,0.1832,0.1373,0.0673,0.0,0.011,0.023,0.251,0.001,0.101,40.964,0.05,9242.0,0.6033
2000.0,1.36,0.1197,0.2373,0.1354,0.0683,0.0,0.011,0.022,0.255,0.001,0.099,39.803,0.05,9253.0,0.5821
2000.0,1.7,0.1496,0.2882,0.1332,0.0692,0.0,0.011,0.022,0.258,0.001,0.098,38.669,0.05,9266.0,0.5611
2000.0,2.04,0.1795,0.336,0.1308,0.0699,0.0,0.011,0.022,0.261,0.001,0.096,37.566,0.05,9280.0,0.5401
2000.0,2.38,0.2094,0.3808,0.1281,0.0705,0.0,0.011,0.021,0.263,0.001,0.094,36.494,0.05,9295.0,0.5192
2000.0,2.72,0.2394,0.4227,0.1251,0.0708,0.0,0.011,0.021,0.264,0.001,0.092,35.453,0.05,9311.0,0.4983
2000.0,3.06,0.2693,0.462,0.1216,0.0709,0.0,0.011,0.02,0.265,0.001,0.089,34.442,0.05,9329.0,0.4775
2000.0,3.4,0.2992,0.4987,0.1179,0.0707,0.0,0.011,0.019,0.264,0.001,0.087,33.458,0.05,9347.0,0.4566
2000.0,3.74,0.3291,0.5328,0.1136,0.0702,0.0,0.011,0.019,0.262,0.001,0.084,32.497,0.05,9367.0,0.4355
2000.0,4.08,0.359,0.5643,0.109,0.0694,0.0,0.011,0.018,0.259,0.001,0.08,31.551,0.05,9388.0,0.4141
2000.0,4.42,0.389,0.5931,0.104,0.0682,0.0,0.011,0.017,0.255,0.001,0.076,30.611,0.05,9410.0,0.3923
2000.0,4.76,0.4189,0.619,0.0985,0.0667,0.0,0.011,0.016,0.249,0.001,0.072,29.666,0.05,9433.0,0.3702
2000.0,5.1,0.4488,0.6417,0.0928,0.0649,0.0,0.01,0.015,0.242,0.001,0.068,28.703,0.05,9457.0,0.3475
2000.0,5.44,0.4787,0.6608,0.0867,0.0628,0.0,0.01,0.014,0.234,0.001,0.064,27.71,0.05,9482.0,0.3243
2000.0,5.78,0.5086,0.6759,0.0804,0.0605,0.0,0.01,0.013,0.226,0.001,0.059,26.673,0.05,9509.0,0.3007
2000.0,6.12,0.5385,0.6863,0.0739,0.058,0.0,0.009,0.012,0.217,0.001,0.054,25.579,0.05,9536.0,0.2765
2000.0,6.46,0.5685,0.6912,0.0673,0.0553,0.0,0.009,0.011,0.207,0.001,0.049,24.408,0.05,9565.0,0.2516
2000.0,6.8,0.5984,0.6898,0.0604,0.0524,0.0,0.008,0.01,0.196,0.001,0.044,23.14,0.05,9594.0,0.2261
2000.0,7.14,0.6283,0.6807,0.0535,0.0493,0.0,0.008,0.009,0.184,0.001,0.039,21.746,0.05,9625.0,0.1999
2000.0,7.48,0.6582,0.662,0.0463,0.0461,0.0,0.007,0.008,0.172,0.001,0.034,20.19,0.05,9657.0,0.1728
2000.0,7.82,0.6881,0.6315,0.0391,0.0426,0.0,0.007,0.006,0.159,0.001,0.029,18.42,0.05,9690.0,0.1448
2000.0,8.16,0.7181,0.5855,0.0318,0.039,0.0,0.006,0.005,0.146,0.001,0.023,16.368,0.05,9724.0,0.1161
2000.0,8.5,0.748,0.5194,0.0245,0.0353,0.0,0.006,0.004,0.132,0.001,0.018,13.939,0.05,9759.0,0.0867
2000.0,8.84,0.7779,0.4261,0.0172,0.0314,0.0,0.005,0.003,0.117,0.001,0.013,10.994,0.05,9795.0,0.0573
2000.0,9.18,0.8078,0.2947,0.01,0.0275,0.0,0.004,0.002,0.103,0.0,0.007,7.323,0.05,9833.0,0.0292
2000.0,9.52,0.8377,0.1069,0.003,0.0236,0.0,0.004,0.0,0.088,0.0,0.002,2.561,0.05,9871.0,0.0056
3000.0,0.0,0.0,0.0,0.1419,0.0631,0.001,0.022,0.053,0.794,0.003,0.235,30.123,0.07,13818.0,0.6767
3000.0,0.5,0.0293,0.0641,0.1406,0.0642,0.001,0.023,0.052,0.809,0.003,0.233,29.305,0.07,13831.0,0.6552
3000.0,1.0,0.0586,0.1247,0.1392,0.0653,0.001,0.023,0.052,0.823,0.003,0.23,28.496,0.07,13846.0,0.6338
3000.0,1.5,0.0879,0.1819,0.1375,0.0664,0.001,0.024,0.051,0.837,0.003,0.227,27.7,0.07,13861.0,0.6124
3000.0,2.0,0.1172,0.2357,0.1357,0.0674,0.001,0.024,0.05,0.85,0.003,0.224,26.92,0.07,13879.0,0.5912
3000.0,2.5,0.1464,0.2863,0.1336,0.0683,0.001,0.024,0.05,0.861,0.003,0.221,26.158,0.07,13897.0,0.5701
3000.0,3.0,0.1757,0.3338,0.1313,0.0691,0.001,0.025,0.049,0.871,0.003,0.217,25.417,0.07,13917.0,0.5491
3000.0,3.49,0.205,0.3784,0.1286,0.0697,0.001,0.025,0.048,0.878,0.003,0.213,24.697,0.07,13939.0,0.5282
3000.0,3.99,0.2343,0.4202,0.1257,0.0701,0.001,0.025,0.047,0.883,0.003,0.208,23.999,0.07,13963.0,0.5074
3000.0,4.49,0.2636,0.4594,0.1224,0.0703,0.001,0.025,0.046,0.885,0.003,0.202,23.322,0.07,13988.0,0.4866
3000.0,4.99,0.2929,0.496,0.1188,0.0702,0.001,0.025,0.044,0.884,0.003,0.196,22.664,0.07,14015.0,0.4658
3000.0,5.49,0.3222,0.5302,0.1148,0.0697,0.001,0.025,0.043,0.879,0.003,0.19,22.024,0.07,14043.0,0.4449
3000.0,5.99,0.3515,0.5619,0.1104,0.069,0.001,0.024,0.041,0.87,0.003,0.182,21.396,0.07,14073.0,0.4238
3000.0,6.49,0.3808,0.5911,0.1055,0.068,0.001,0.024,0.039,0.856,0.003,0.174,20.775,0.07,14105.0,0.4024
3000.0,6.99,0.41,0.6176,0.1003,0.0666,0.001,0.024,0.037,0.839,0.003,0.166,20.156,0.07,14139.0,0.3806
3000.0,7.49,0.4393,0.6412,0.0947,0.0649,0.001,0.023,0.035,0.818,0.003,0.157,19.531,0.07,14174.0,0.3584
3000.0,7.99,0.4686,0.6615,0.0889,0.063,0.001,0.022,0.033,0.793,0.003,0.147,18.891,0.07,14210.0,0.3358
3000.0,8.49,0.4979,0.6783,0.0828,0.0608,0.001,0.022,0.031,0.766,0.002,0.137,18.23,0.07,14249.0,0.3128
3000.0,8.99,0.5272,0.691,0.0766,0.0584,0.001,0.021,0.028,0.736,0.002,0.127,17.539,0.07,14288.0,0.2893
3000.0,9.49,0.5565,0.6989,0.0701,0.0558,0.001,0.02,0.026,0.703,0.002,0.116,16.807,0.07,14330.0,0.2653
3000.0,9.98,0.5858,0.7014,0.0635,0.053,0.001,0.019,0.024,0.668,0.002,0.105,16.023,0.07,14373.0,0.2407
3000.0,10.48,0.6151,0.6972,0.0567,0.05,0.001,0.018,0.021,0.63,0.002,0.094,15.17,0.07,14417.0,0.2154
3000.0,10.98,0.6444,0.6851,0.0498,0.0469,0.001,0.017,0.019,0.59,0.002,0.082,14.229,0.07,14463.0,0.1893
3000.0,11.48,0.6736,0.663,0.0428,0.0435,0.001,0.015,0.016,0.548,0.002,0.071,13.171,0.07,14511.0,0.1625
3000.0,11.98,0.7029,0.6281,0.0357,0.04,0.001,0.014,0.013,0.504,0.002,0.059,11.958,0.07,14560.0,0.1347
3000.0,12.48,0.7322,0.5766,0.0286,0.0363,0.001,0.013,0.011,0.457,0.001,0.047,10.537,0.07,14611.0,0.1062
3000.0,12.98,0.7615,0.5026,0.0214,0.0325,0.001,0.012,0.008,0.409,0.001,0.035,8.832,0.07,14663.0,0.0771
3000.0,13.48,0.7908,0.3976,0.0144,0.0286,0.0,0.01,0.005,0.36,0.001,0.024,6.729,0.07,14717.0,0.0481
3000.0,13.98,0.8201,0.2474,0.0074,0.0246,0.0,0.009,0.003,0.31,0.001,0.012,4.037,0.07,14772.0,0.0207
3000.0,14.48,0.8494,0.026,0.0006,0.0206,0.0,0.007,0.0,0.26,0.001,0.001,0.409,0.07,14828.0,0.0006
4000.0,0.0,0.0,0.0,0.142,0.0625,0.003,0.039,0.094,1.867,0.004,0.417,22.798,0.1,18424.0,0.683
4000.0,0.67,0.0294,0.0649,0.1407,0.0637,0.003,0.04,0.093,1.902,0.005,0.414,22.171,0.1,18442.0,0.6612
4000.0,1.33,0.0587,0.1261,0.1392,0.0648,0.003,0.041,0.092,1.937,0.005,0.409,21.55,0.1,18461.0,0.6393
4000.0,2.0,0.0881,0.1838,0.1376,0.0659,0.003,0.042,0.091,1.969,0.005,0.404,20.94,0.1,18482.0,0.6175
4000.0,2.67,0.1175,0.2381,0.1357,0.067,0.003,0.042,0.09,2.0,0.005,0.399,20.343,0.1,18505.0,0.5959
4000.0,3.34,0.1468,0.2891,0.1337,0.0679,0.003,0.043,0.088,2.028,0.005,0.393,19.761,0.1,18530.0,0.5743
4000.0,4.0,0.1762,0.337,0.1313,0.0687,0.003,0.043,0.087,2.051,0.005,0.386,19.194,0.1,18557.0,0.553
4000.0,4.67,0.2056,0.3819,0.1287,0.0693,0.003,0.044,0.085,2.069,0.005,0.378,18.645,0.1,18586.0,0.5317
4000.0,5.34,0.2349,0.4239,0.1258,0.0697,0.003,0.044,0.083,2.081,0.005,0.37,18.112,0.1,18617.0,0.5106
4000.0,6.01,0.2643,0.4633,0.1225,0.0699,0.003,0.044,0.081,2.086,0.005,0.36,17.596,0.1,18651.0,0.4896
4000.0,6.67,0.2937,0.5002,0.1188,0.0698,0.003,0.044,0.079,2.083,0.005,0.349,17.096,0.1,18687.0,0.4685
4000.0,7.34,0.323,0.5345,0.1148,0.0694,0.003,0.044,0.076,2.071,0.005,0.337,16.609,0.1,18725.0,0.4473
4000.0,8.01,0.3524,0.5664,0.1103,0.0686,0.003,0.043,0.073,2.05,0.005,0.324,16.133,0.1,18766.0,0.426
4000.0,8.68,0.3817,0.5958,0.1055,0.0676,0.003,0.043,0.07,2.018,0.005,0.31,15.664,0.1,18808.0,0.4044
4000.0,9.34,0.4111,0.6224,0.1002,0.0662,0.003,0.042,0.066,1.977,0.005,0.295,15.196,0.1,18853.0,0.3824
4000.0,10.01,0.4405,0.6462,0.0946,0.0645,0.003,0.041,0.063,1.926,0.005,0.278,14.725,0.1,18900.0,0.3601
