rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1822,0.1242,0.0,0.005,0.008,0.058,0.001,0.033,58.86,0.02,4671.0,0.4993
1000.0,0.15,0.0272,0.0392,0.1796,0.1246,0.0,0.005,0.007,0.058,0.001,0.033,57.868,0.02,4676.0,0.4874
1000.0,0.31,0.0544,0.077,0.1769,0.1249,0.0,0.005,0.007,0.058,0.001,0.032,56.86,0.02,4682.0,0.4752
1000.0,0.46,0.0816,0.1135,0.1739,0.125,0.0,0.005,0.007,0.058,0.001,0.032,55.837,0.02,4688.0,0.4628
1000.0,0.62,0.1088,0.1485,0.1707,0.1251,0.0,0.005,0.007,0.058,0.001,0.031,54.8,0.02,4694.0,0.45
1000.0,0.77,0.136,0.1821,0.1672,0.1249,0.0,0.005,0.007,0.058,0.001,0.031,53.748,0.02,4700.0,0.4369
1000.0,0.93,0.1632,0.2141,0.1635,0.1246,0.0,0.005,0.007,0.058,0.001,0.03,52.681,0.02,4707.0,0.4234
1000.0,1.08,0.1904,0.2447,0.1595,0.1241,0.0,0.005,0.007,0.058,0.001,0.029,51.596,0.02,4715.0,0.4096
1000.0,1.24,0.2176,0.2736,0.1553,0.1235,0.0,0.005,0.006,0.058,0.001,0.029,50.492,0.02,4723.0,0.3954
1000.0,1.39,0.2448,0.301,0.1507,0.1226,0.0,0.005,0.006,0.057,0.001,0.028,49.364,0.02,4731.0,0.3808
1000.0,1.55,0.272,0.3266,0.1458,0.1214,0.0,0.005,0.006,0.057,0.001,0.027,48.208,0.02,4740.0,0.3658
1000.0,1.7,0.2992,0.3504,0.1406,0.1201,0.0,0.005,0.006,0.056,0.001,0.026,47.016,0.02,4749.0,0.3504
1000.0,1.85,0.3264,0.3722,0.1351,0.1185,0.0,0.005,0.006,0.055,0.001,0.025,45.781,0.02,4758.0,0.3344
1000.0,2.01,0.3536,0.3918,0.1293,0.1166,0.0,0.005,0.005,0.054,0.001,0.024,44.492,0.02,4768.0,0.3179
1000.0,2.16,0.3808,0.4091,0.1231,0.1146,0.0,0.005,0.005,0.053,0.001,0.023,43.14,0.02,4779.0,0.3009
1000.0,2.32,0.408,0.4239,0.1168,0.1124,0.0,0.004,0.005,0.052,0.001,0.021,41.711,0.02,4790.0,0.2833
1000.0,2.47,0.4351,0.4357,0.1101,0.11,0.0,0.004,0.005,0.051,0.0,0.02,40.194,0.02,4801.0,0.2651
1000.0,2.63,0.4623,0.4442,0.1032,0.1074,0.0,0.004,0.004,0.05,0.0,0.019,38.574,0.02,4813.0,0.2463
1000.0,2.78,0.4895,0.4492,0.0961,0.1047,0.0,0.004,0.004,0.049,0.0,0.018,36.839,0.02,4825.0,0.227
1000.0,2.94,0.5167,0.4501,0.0887,0.1019,0.0,0.004,0.004,0.048,0.0,0.016,34.972,0.02,4838.0,0.207
1000.0,3.09,0.5439,0.4465,0.0812,0.0989,0.0,0.004,0.003,0.046,0.0,0.015,32.954,0.02,4851.0,0.1866
1000.0,3.25,0.5711,0.4377,0.0734,0.0957,0.0,0.004,0.003,0.045,0.0,0.013,30.767,0.02,4864.0,0.1656
1000.0,3.4,0.5983,0.4231,0.0654,0.0925,0.0,0.004,0.003,0.043,0.0,0.012,28.388,0.02,4878.0,0.1443
1000.0,3.55,0.6255,0.4018,0.0573,0.0891,0.0,0.004,0.002,0.042,0.0,0.011,25.789,0.02,4892.0,0.1227
1000.0,3.71,0.6527,0.373,0.049,0.0857,0.0,0.003,0.002,0.04,0.0,0.009,22.941,0.02,4907.0,0.1009
