rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1482,0.1148,0.0,0.013,0.014,0.153,0.001,0.063,42.005,0.03,8124.0,0.3964
1000.0,0.27,0.0387,0.049,0.1471,0.1163,0.0,0.013,0.014,0.155,0.001,0.063,41.156,0.03,8134.0,0.3869
1000.0,0.54,0.0775,0.0958,0.1459,0.1179,0.0,0.013,0.014,0.157,0.001,0.062,40.277,0.03,8145.0,0.3771
1000.0,0.81,0.1162,0.1405,0.1445,0.1195,0.0,0.013,0.014,0.159,0.002,0.061,39.375,0.03,8158.0,0.3669
1000.0,1.09,0.1549,0.183,0.143,0.1211,0.0,0.014,0.014,0.161,0.002,0.061,38.454,0.03,8172.0,0.3565
1000.0,1.36,0.1936,0.2232,0.1414,0.1226,0.0,0.014,0.014,0.163,0.002,0.06,37.52,0.03,8188.0,0.3458
1000.0,1.63,0.2324,0.2611,0.1395,0.1241,0.0,0.014,0.013,0.165,0.002,0.059,36.576,0.03,8205.0,0.3348
1000.0,1.9,0.2711,0.2967,0.1373,0.1255,0.0,0.014,0.013,0.167,0.002,0.058,35.626,0.03,8224.0,0.3236
1000.0,2.17,0.3098,0.33,0.1349,0.1266,0.0,0.014,0.013,0.169,0.002,0.057,34.674,0.03,8245.0,0.3122
1000.0,2.44,0.3485,0.3611,0.1322,0.1276,0.0,0.014,0.013,0.17,0.002,0.056,33.721,0.03,8267.0,0.3005
1000.0,2.71,0.3873,0.3899,0.1291,0.1282,0.0,0.014,0.012,0.171,0.002,0.055,32.768,0.03,8291.0,0.2886
1000.0,2.99,0.426,0.4164,0.1256,0.1285,0.0,0.014,0.012,0.171,0.002,0.053,31.815,0.03,8317.0,0.2764
1000.0,3.26,0.4647,0.4406,0.1217,0.1283,0.0,0.014,0.012,0.171,0.002,0.052,30.861,0.03,8344.0,0.2639
1000.0,3.53,0.5035,0.4625,0.1173,0.1277,0.0,0.014,0.011,0.17,0.002,0.05,29.901,0.03,8374.0,0.251
1000.0,3.8,0.5422,0.4819,0.1125,0.1265,0.0,0.014,0.011,0.168,0.002,0.048,28.933,0.03,8405.0,0.2378
1000.0,4.07,0.5809,0.4988,0.1071,0.1248,0.0,0.014,0.01,0.166,0.002,0.046,27.949,0.03,8438.0,0.2242
1000.0,4.34,0.6196,0.5129,0.1013,0.1224,0.0,0.014,0.01,0.163,0.002,0.043,26.942,0.03,8472.0,0.2102
1000.0,4.61,0.6584,0.5239,0.0951,0.1195,0.0,0.013,0.009,0.159,0.002,0.04,25.902,0.03,8508.0,0.1958
1000.0,4.88,0.6971,0.5315,0.0885,0.116,0.0,0.013,0.008,0.154,0.001,0.038,24.819,0.03,8546.0,0.1809
1000.0,5.16,0.7358,0.5353,0.0815,0.112,0.0,0.013,0.008,0.149,0.001,0.035,23.679,0.03,8585.0,0.1657
1000.0,5.43,0.7745,0.5345,0.0743,0.1076,0.0,0.012,0.007,0.143,0.001,0.032,22.464,0.03,8626.0,0.1501
1000.0,5.7,0.8133,0.5286,0.0668,0.1028,0.0,0.012,0.006,0.137,0.001,0.028,21.156,0.03,8669.0,0.1341
1000.0,5.97,0.852,0.5164,0.0592,0.0976,0.0,0.011,0.006,0.13,0.001,0.025,19.729,0.03,8713.0,0.1176
1000.0,6.24,0.8907,0.4967,0.0514,0.0921,0.0,0.01,0.005,0.123,0.001,0.022,18.152,0.03,8759.0,0.1008
1000.0,6.51,0.9295,0.4678,0.0434,0.0863,0.0,0.01,0.004,0.115,0.001,0.018,16.382,0.03,8806.0,0.0837
1000.0,6.78,0.9682,0.4271,0.0353,0.0801,0.0,0.009,0.003,0.107,0.001,0.015,14.36,0.03,8855.0,0.0662
1000.0,7.06,1.0069,0.3713,0.0271,0.0736,0.0,0.008,0.003,0.098,0.001,0.012,12.003,0.03,8905.0,0.0485
1000.0,7.33,1.0456,0.2953,0.0189,0.0668,0.0,0.008,0.002,0.089,0.001,0.008,9.192,0.03,8957.0,0.0309
1000.0,7.6,1.0844,0.1913,0.0105,0.0598,0.0,0.007,0.001,0.08,0.001,0.004,5.742,0.03,9010.0,0.0145
1000.0,7.87,1.1231,0.047,0.0022,0.0525,0.0,0.006,0.0,0.07,0.001,0.001,1.364,0.03,9065.0,0.0016
2000.0,0.0,0.0,0.0,0.1494,0.0993,0.001,0.045,0.057,1.058,0.005,0.254,24.479,0.06,16248.0,0.4638
2000.0,0.55,0.0395,0.0581,0.1483,0.101,0.001,0.045,0.057,1.075,0.005,0.252,23.912,0.06,16269.0,0.4515
2000.0,1.11,0.0791,0.1133,0.1472,0.1027,0.001,0.046,0.056,1.094,0.005,0.25,23.33,0.06,16292.0,0.4387
2000.0,1.66,0.1186,0.1657,0.1459,0.1044,0.001,0.047,0.056,1.112,0.005,0.248,22.735,0.06,16318.0,0.4257
2000.0,2.22,0.1581,0.215,0.1444,0.1062,0.002,0.048,0.055,1.131,0.005,0.246,22.133,0.06,16347.0,0.4123
2000.0,2.77,0.1977,0.2614,0.1427,0.1079,0.002,0.049,0.055,1.15,0.005,0.243,21.525,0.06,16379.0,0.3987
2000.0,3.32,0.2372,0.3048,0.1409,0.1096,0.002,0.049,0.054,1.168,0.006,0.24,20.917,0.06,16415.0,0.3849
2000.0,3.88,0.2767,0.3454,0.1387,0.1112,0.002,0.05,0.053,1.184,0.006,0.236,20.311,0.06,16454.0,0.3709
2000.0,4.43,0.3163,0.383,0.1363,0.1125,0.002,0.051,0.052,1.199,0.006,0.232,19.71,0.06,16496.0,0.3567
2000.0,4.99,0.3558,0.4179,0.1335,0.1137,0.002,0.051,0.051,1.211,0.006,0.227,19.115,0.06,16543.0,0.3424
2000.0,5.54,0.3953,0.45,0.1303,0.1145,0.002,0.052,0.05,1.22,0.006,0.222,18.527,0.06,16592.0,0.3279
2000.0,6.09,0.4349,0.4795,0.1267,0.1149,0.002,0.052,0.048,1.224,0.006,0.215,17.947,0.06,16646.0,0.3132
2000.0,6.65,0.4744,0.5064,0.1227,0.1149,0.002,0.052,0.047,1.224,0.006,0.209,17.375,0.06,16703.0,0.2983
2000.0,7.2,0.5139,0.5308,0.1182,0.1144,0.002,0.052,0.045,1.219,0.006,0.201,16.808,0.06,16764.0,0.2832
2000.0,7.76,0.5535,0.5525,0.1131,0.1133,0.002,0.051,0.043,1.207,0.006,0.192,16.246,0.06,16828.0,0.2679
2000.0,8.31,0.593,0.5715,0.1076,0.1116,0.002,0.05,0.041,1.189,0.006,0.183,15.685,0.06,16896.0,0.2522
2000.0,8.87,0.6325,0.5876,0.1015,0.1093,0.002,0.049,0.039,1.164,0.006,0.173,15.121,0.06,16968.0,0.2362
2000.0,9.42,0.6721,0.6008,0.095,0.1063,0.002,0.048,0.036,1.132,0.005,0.162,14.549,0.06,17043.0,0.2199
2000.0,9.97,0.7116,0.6106,0.0881,0.1027,0.001,0.046,0.034,1.094,0.005,0.15,13.965,0.06,17121.0,0.2033
2000.0,10.53,0.7511,0.6166,0.081,0.0986,0.001,0.044,0.031,1.051,0.005,0.138,13.36,0.06,17203.0,0.1864
2000.0,11.08,0.7907,0.6182,0.0735,0.094,0.001,0.042,0.028,1.002,0.005,0.125,12.726,0.06,17288.0,0.1692
2000.0,11.64,0.8302,0.6147,0.0659,0.089,0.001,0.04,0.025,0.948,0.005,0.112,12.05,0.06,17376.0,0.1516
2000.0,12.19,0.8697,0.6047,0.0581,0.0835,0.001,0.038,0.022,0.89,0.004,0.099,11.317,0.06,17468.0,0.1337
2000.0,12.74,0.9093,0.5869,0.0501,0.0776,0.001,0.035,0.019,0.827,0.004,0.085,10.505,0.06,17563.0,0.1153
2000.0,13.3,0.9488,0.5588,0.042,0.0713,0.001,0.032,0.016,0.76,0.004,0.071,9.586,0.06,17661.0,0.0963
2000.0,13.85,0.9883,0.517,0.0338,0.0646,0.001,0.029,0.013,0.689,0.003,0.057,8.513,0.06,17762.0,0.0767
2000.0,14.41,1.0279,0.4558,0.0255,0.0576,0.001,0.026,0.01,0.614,0.003,0.043,7.218,0.06,17866.0,0.0566
2000.0,14.96,1.0674,0.3662,0.0172,0.0502,0.001,0.023,0.007,0.535,0.003,0.029,5.583,0.06,17973.0,0.0359
2000.0,15.51,1.1069,0.2315,0.0089,0.0425,0.001,0.019,0.003,0.453,0.002,0.015,3.404,0.06,18083.0,0.0157
2000.0,16.07,1.1465,0.0191,0.0006,0.0345,0.0,0.016,0.0,0.368,0.002,0.001,0.271,0.06,18196.0,0.0003
3000.0,0.0,0.0,0.0,0.1499,0.0928,0.004,0.094,0.129,3.338,0.011,0.573,17.516,0.09,24372.0,0.4987
3000.0,0.84,0.0398,0.0627,0.1489,0.0945,0.005,0.096,0.128,3.399,0.011,0.569,17.084,0.09,24403.0,0.4847
3000.0,1.67,0.0796,0.1222,0.1477,0.0963,0.005,0.098,0.127,3.463,0.011,0.565,16.642,0.09,24438.0,0.4704
3000.0,2.51,0.1195,0.1783,0.1465,0.0981,0.005,0.099,0.126,3.528,0.011,0.56,16.191,0.09,24477.0,0.4556
3000.0,3.35,0.1593,0.231,0.145,0.1,0.005,0.101,0.125,3.595,0.011,0.555,15.736,0.09,24521.0,0.4407
3000.0,4.19,0.1991,0.2804,0.1434,0.1018,0.005,0.103,0.123,3.66,0.012,0.548,15.28,0.09,24570.0,0.4254
3000.0,5.02,0.2389,0.3265,0.1415,0.1036,0.005,0.105,0.122,3.724,0.012,0.541,14.824,0.09,24624.0,0.4101
3000.0,5.86,0.2788,0.3693,0.1394,0.1052,0.005,0.107,0.12,3.783,0.012,0.533,14.373,0.09,24684.0,0.3946
3000.0,6.7,0.3186,0.4089,0.1369,0.1067,0.005,0.108,0.118,3.835,0.012,0.524,13.927,0.09,24748.0,0.379
3000.0,7.53,0.3584,0.4455,0.1341,0.1079,0.005,0.109,0.115,3.879,0.012,0.513,13.488,0.09,24819.0,0.3632
3000.0,8.37,0.3982,0.4793,0.1309,0.1088,0.005,0.11,0.113,3.912,0.012,0.501,13.057,0.09,24894.0,0.3474
3000.0,9.21,0.4381,0.5101,0.1273,0.1093,0.005,0.111,0.109,3.931,0.013,0.487,12.635,0.09,24976.0,0.3315
3000.0,10.05,0.4779,0.5383,0.1232,0.1094,0.005,0.111,0.106,3.933,0.013,0.471,12.222,0.09,25062.0,0.3155
3000.0,10.88,0.5177,0.5638,0.1186,0.1089,0.005,0.11,0.102,3.917,0.012,0.454,11.816,0.09,25155.0,0.2993
3000.0,11.72,0.5575,0.5866,0.1135,0.1079,0.005,0.109,0.098,3.879,0.012,0.434,11.416,0.09,25253.0,0.2828
3000.0,12.56,0.5974,0.6067,0.1079,0.1062,0.005,0.108,0.093,3.819,0.012,0.413,11.02,0.09,25356.0,0.2662
3000.0,13.4,0.6372,0.6241,0.1018,0.1039,0.005,0.105,0.088,3.735,0.012,0.389,10.627,0.09,25464.0,0.2493
3000.0,14.23,0.677,0.6385,0.0952,0.1009,0.005,0.102,0.082,3.628,0.012,0.364,10.233,0.09,25578.0,0.2321
3000.0,15.07,0.7168,0.6498,0.0882,0.0973,0.005,0.099,0.076,3.499,0.011,0.337,9.835,0.09,25698.0,0.2148
3000.0,15.91,0.7567,0.6574,0.0809,0.0932,0.004,0.094,0.07,3.349,0.011,0.31,9.427,0.09,25822.0,0.1972
3000.0,16.74,0.7965,0.6609,0.0734,0.0885,0.004,0.09,0.063,3.182,0.01,0.281,9.004,0.09,25951.0,0.1794
3000.0,17.58,0.8363,0.6595,0.0657,0.0834,0.004,0.084,0.057,2.997,0.01,0.251,8.556,0.09,26085.0,0.1613
3000.0,18.42,0.8761,0.652,0.0579,0.0777,0.004,0.079,0.05,2.795,0.009,0.221,8.074,0.09,26225.0,0.1428
3000.0,19.26,0.916,0.6367,0.0498,0.0717,0.003,0.073,0.043,2.578,0.008,0.191,7.542,0.09,26369.0,0.1238
