rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.104,0.0673,0.0,0.017,0.019,0.207,0.002,0.086,42.542,0.03,7317.0,0.3976
1000.0,0.27,0.0323,0.0488,0.1033,0.0683,0.0,0.018,0.019,0.21,0.002,0.086,41.64,0.03,7323.0,0.3879
1000.0,0.53,0.0645,0.0954,0.1025,0.0694,0.0,0.018,0.019,0.213,0.002,0.085,40.708,0.03,7330.0,0.3778
1000.0,0.8,0.0968,0.1397,0.1017,0.0704,0.0,0.018,0.019,0.217,0.002,0.084,39.753,0.03,7338.0,0.3674
1000.0,1.07,0.129,0.1817,0.1007,0.0715,0.0,0.019,0.019,0.22,0.002,0.084,38.779,0.03,7346.0,0.3566
1000.0,1.34,0.1613,0.2214,0.0995,0.0725,0.0,0.019,0.019,0.223,0.002,0.083,37.79,0.03,7356.0,0.3455
1000.0,1.6,0.1935,0.2587,0.0982,0.0735,0.0,0.019,0.018,0.226,0.002,0.082,36.792,0.03,7366.0,0.3341
1000.0,1.87,0.2258,0.2935,0.0967,0.0744,0.0,0.019,0.018,0.229,0.002,0.08,35.788,0.03,7378.0,0.3225
1000.0,2.14,0.2581,0.326,0.0949,0.0751,0.0,0.02,0.018,0.231,0.002,0.079,34.781,0.03,7390.0,0.3105
1000.0,2.41,0.2903,0.3562,0.0929,0.0757,0.0,0.02,0.017,0.233,0.002,0.077,33.774,0.03,7404.0,0.2983
1000.0,2.67,0.3226,0.3839,0.0906,0.0761,0.0,0.02,0.017,0.234,0.002,0.075,32.766,0.03,7419.0,0.2858
1000.0,2.94,0.3548,0.4093,0.0879,0.0762,0.0,0.02,0.016,0.235,0.002,0.073,31.758,0.03,7435.0,0.2729
1000.0,3.21,0.3871,0.4323,0.0849,0.0761,0.0,0.02,0.016,0.234,0.002,0.071,30.748,0.03,7452.0,0.2597
1000.0,3.47,0.4193,0.4529,0.0816,0.0756,0.0,0.02,0.015,0.233,0.002,0.068,29.732,0.04,7470.0,0.2462
1000.0,3.74,0.4516,0.4709,0.078,0.0748,0.0,0.019,0.015,0.23,0.002,0.065,28.704,0.04,7489.0,0.2323
1000.0,4.01,0.4839,0.4861,0.074,0.0737,0.0,0.019,0.014,0.227,0.002,0.061,27.659,0.04,7509.0,0.2181
1000.0,4.28,0.5161,0.4985,0.0698,0.0723,0.0,0.019,0.013,0.222,0.002,0.058,26.588,0.04,7531.0,0.2036
1000.0,4.54,0.5484,0.5076,0.0653,0.0706,0.0,0.018,0.012,0.217,0.002,0.054,25.481,0.04,7553.0,0.1888
1000.0,4.81,0.5806,0.5131,0.0606,0.0686,0.0,0.018,0.011,0.211,0.002,0.05,24.327,0.04,7577.0,0.1736
1000.0,5.08,0.6129,0.5146,0.0558,0.0664,0.0,0.017,0.01,0.204,0.002,0.046,23.114,0.04,7602.0,0.1582
1000.0,5.35,0.6451,0.5115,0.0508,0.064,0.0,0.017,0.009,0.197,0.002,0.042,21.827,0.04,7627.0,0.1425
1000.0,5.61,0.6774,0.5031,0.0456,0.0614,0.0,0.016,0.009,0.189,0.002,0.038,20.446,0.04,7654.0,0.1265
1000.0,5.88,0.7097,0.4885,0.0403,0.0586,0.0,0.015,0.008,0.18,0.002,0.033,18.951,0.04,7682.0,0.1103
1000.0,6.15,0.7419,0.4665,0.0349,0.0555,0.0,0.014,0.007,0.171,0.002,0.029,17.312,0.04,7711.0,0.0938
1000.0,6.41,0.7742,0.4356,0.0294,0.0523,0.0,0.014,0.005,0.161,0.002,0.024,15.49,0.04,7741.0,0.077
1000.0,6.68,0.8064,0.3935,0.0239,0.0489,0.0,0.013,0.004,0.151,0.001,0.02,13.435,0.04,7772.0,0.0602
1000.0,6.95,0.8387,0.3375,0.0182,0.0453,0.0,0.012,0.003,0.14,0.001,0.015,11.077,0.04,7804.0,0.0434
1000.0,7.22,0.8709,0.2632,0.0126,0.0416,0.0,0.011,0.002,0.128,0.001,0.01,8.319,0.04,7837.0,0.027
1000.0,7.48,0.9032,0.1646,0.0069,0.0377,0.0,0.01,0.001,0.116,0.001,0.006,5.016,0.04,7871.0,0.012
1000.0,7.75,0.9355,0.0324,0.0012,0.0337,0.0,0.009,0.0,0.104,0.001,0.001,0.953,0.04,7906.0,0.0009
2000.0,0.0,0.0,0.0,0.1047,0.0565,0.002,0.059,0.078,1.391,0.007,0.348,25.518,0.07,14634.0,0.4786
2000.0,0.54,0.0328,0.0593,0.1041,0.0576,0.002,0.06,0.078,1.418,0.007,0.346,24.875,0.07,14647.0,0.4652
2000.0,1.09,0.0657,0.1155,0.1034,0.0587,0.002,0.061,0.077,1.446,0.007,0.343,24.217,0.07,14661.0,0.4513
2000.0,1.63,0.0985,0.1685,0.1025,0.0599,0.002,0.062,0.077,1.475,0.007,0.341,23.548,0.07,14677.0,0.437
2000.0,2.18,0.1313,0.2183,0.1015,0.0611,0.002,0.064,0.076,1.504,0.007,0.337,22.873,0.07,14694.0,0.4224
2000.0,2.72,0.1642,0.2647,0.1004,0.0623,0.002,0.065,0.075,1.533,0.007,0.334,22.195,0.07,14714.0,0.4076
2000.0,3.26,0.197,0.308,0.0991,0.0634,0.002,0.066,0.074,1.56,0.007,0.329,21.518,0.07,14735.0,0.3926
2000.0,3.81,0.2299,0.3481,0.0975,0.0644,0.002,0.067,0.073,1.585,0.008,0.324,20.845,0.07,14759.0,0.3773
2000.0,4.35,0.2627,0.3851,0.0957,0.0653,0.002,0.068,0.072,1.608,0.008,0.318,20.18,0.07,14785.0,0.3619
2000.0,4.9,0.2955,0.4192,0.0937,0.066,0.002,0.069,0.07,1.626,0.008,0.311,19.524,0.07,14813.0,0.3464
2000.0,5.44,0.3284,0.4504,0.0913,0.0666,0.002,0.069,0.068,1.639,0.008,0.303,18.879,0.07,14843.0,0.3306
2000.0,5.99,0.3612,0.4788,0.0886,0.0668,0.002,0.07,0.066,1.645,0.008,0.294,18.245,0.07,14876.0,0.3147
2000.0,6.53,0.394,0.5044,0.0855,0.0668,0.002,0.069,0.064,1.644,0.008,0.284,17.62,0.07,14911.0,0.2987
2000.0,7.07,0.4269,0.5273,0.0821,0.0664,0.002,0.069,0.061,1.636,0.008,0.273,17.004,0.07,14948.0,0.2824
