rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.0948,0.0681,0.0,0.018,0.018,0.209,0.002,0.079,38.337,0.03,6483.0,0.3421
1000.0,0.32,0.0385,0.0526,0.0945,0.0691,0.0,0.018,0.018,0.213,0.002,0.078,37.639,0.03,6489.0,0.3353
1000.0,0.64,0.077,0.1032,0.0942,0.0703,0.0,0.018,0.018,0.216,0.002,0.078,36.892,0.03,6495.0,0.3281
1000.0,0.96,0.1155,0.1514,0.0938,0.0716,0.0,0.019,0.018,0.22,0.002,0.078,36.102,0.03,6503.0,0.3205
1000.0,1.28,0.154,0.1973,0.0935,0.073,0.0,0.019,0.017,0.224,0.002,0.078,35.271,0.03,6513.0,0.3125
1000.0,1.59,0.1925,0.2405,0.093,0.0744,0.0,0.019,0.017,0.229,0.002,0.077,34.405,0.03,6523.0,0.3041
1000.0,1.91,0.2309,0.2811,0.0925,0.076,0.0,0.02,0.017,0.234,0.002,0.077,33.511,0.03,6534.0,0.2954
1000.0,2.23,0.2694,0.319,0.0919,0.0776,0.0,0.02,0.017,0.239,0.002,0.076,32.594,0.03,6547.0,0.2864
1000.0,2.55,0.3079,0.3541,0.0912,0.0793,0.0,0.021,0.017,0.244,0.002,0.076,31.661,0.03,6562.0,0.2771
1000.0,2.87,0.3464,0.3865,0.0903,0.0809,0.0,0.021,0.017,0.249,0.002,0.075,30.718,0.03,6577.0,0.2675
1000.0,3.19,0.3849,0.4162,0.0891,0.0824,0.0,0.021,0.017,0.253,0.002,0.074,29.771,0.03,6594.0,0.2575
1000.0,3.51,0.4234,0.4433,0.0876,0.0836,0.0,0.022,0.016,0.257,0.002,0.073,28.824,0.04,6613.0,0.2472
1000.0,3.83,0.4619,0.4678,0.0857,0.0846,0.0,0.022,0.016,0.26,0.002,0.071,27.882,0.04,6633.0,0.2365
1000.0,4.15,0.5004,0.4898,0.0833,0.0851,0.0,0.022,0.016,0.262,0.003,0.069,26.947,0.04,6655.0,0.2254
1000.0,4.46,0.5389,0.5092,0.0804,0.0851,0.0,0.022,0.015,0.262,0.002,0.067,26.017,0.04,6678.0,0.2138
1000.0,4.78,0.5774,0.5261,0.077,0.0845,0.0,0.022,0.014,0.26,0.002,0.064,25.087,0.04,6702.0,0.2017
