rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.0984,0.0714,0.0,0.019,0.018,0.22,0.002,0.082,37.915,0.03,6630.0,0.3447
1000.0,0.33,0.0392,0.053,0.098,0.0725,0.0,0.019,0.018,0.223,0.002,0.081,37.225,0.03,6637.0,0.3378
1000.0,0.65,0.0785,0.104,0.0977,0.0737,0.0,0.019,0.018,0.227,0.002,0.081,36.488,0.03,6644.0,0.3305
1000.0,0.98,0.1177,0.1527,0.0973,0.075,0.0,0.02,0.018,0.231,0.002,0.081,35.706,0.03,6653.0,0.3228
1000.0,1.3,0.1569,0.1989,0.0969,0.0765,0.0,0.02,0.018,0.235,0.002,0.081,34.885,0.03,6662.0,0.3147
1000.0,1.63,0.1962,0.2425,0.0964,0.078,0.0,0.02,0.018,0.24,0.002,0.08,34.029,0.03,6673.0,0.3063
1000.0,1.95,0.2354,0.2834,0.0959,0.0797,0.0,0.021,0.018,0.245,0.002,0.08,33.145,0.03,6686.0,0.2975
1000.0,2.28,0.2746,0.3216,0.0953,0.0814,0.0,0.021,0.018,0.25,0.002,0.079,32.238,0.03,6700.0,0.2884
1000.0,2.6,0.3139,0.357,0.0945,0.0831,0.0,0.022,0.018,0.256,0.002,0.079,31.314,0.03,6715.0,0.279
1000.0,2.93,0.3531,0.3896,0.0936,0.0848,0.0,0.022,0.017,0.261,0.002,0.078,30.379,0.03,6731.0,0.2693
1000.0,3.25,0.3923,0.4195,0.0924,0.0864,0.0,0.022,0.017,0.266,0.003,0.077,29.44,0.03,6750.0,0.2593
1000.0,3.58,0.4316,0.4468,0.0908,0.0877,0.0,0.023,0.017,0.27,0.003,0.075,28.5,0.04,6769.0,0.2489
1000.0,3.9,0.4708,0.4714,0.0888,0.0887,0.0,0.023,0.017,0.273,0.003,0.074,27.564,0.04,6791.0,0.2381
1000.0,4.23,0.51,0.4934,0.0864,0.0893,0.0,0.023,0.016,0.275,0.003,0.072,26.635,0.04,6814.0,0.2269
1000.0,4.55,0.5493,0.513,0.0834,0.0893,0.0,0.023,0.016,0.275,0.003,0.069,25.711,0.04,6838.0,0.2152
1000.0,4.88,0.5885,0.5299,0.0798,0.0887,0.0,0.023,0.015,0.273,0.003,0.066,24.789,0.04,6865.0,0.203
1000.0,5.2,0.6277,0.5441,0.0758,0.0874,0.0,0.023,0.014,0.269,0.003,0.063,23.861,0.04,6892.0,0.1904
1000.0,5.53,0.667,0.5551,0.0713,0.0857,0.0,0.022,0.013,0.264,0.003,0.059,22.914,0.04,6922.0,0.1774
1000.0,5.85,0.7062,0.5628,0.0665,0.0834,0.0,0.022,0.012,0.257,0.002,0.055,21.938,0.04,6952.0,0.1639
1000.0,6.18,0.7454,0.5664,0.0613,0.0807,0.0,0.021,0.011,0.248,0.002,0.051,20.918,0.04,6984.0,0.1501
1000.0,6.5,0.7847,0.5654,0.0559,0.0776,0.0,0.02,0.01,0.239,0.002,0.046,19.837,0.04,7018.0,0.1359
