rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.1199,0.0554,0.0,0.022,0.031,0.257,0.002,0.138,54.865,0.04,11498.0,0.5978
1000.0,0.19,0.0215,0.0456,0.1179,0.0555,0.0,0.022,0.031,0.258,0.002,0.136,53.858,0.04,11506.0,0.5819
1000.0,0.39,0.043,0.0896,0.1157,0.0555,0.0,0.022,0.03,0.258,0.002,0.134,52.848,0.04,11515.0,0.5657
1000.0,0.58,0.0645,0.1317,0.1134,0.0555,0.0,0.022,0.029,0.258,0.002,0.131,51.82,0.04,11524.0,0.5492
1000.0,0.77,0.0859,0.1722,0.1109,0.0554,0.0,0.022,0.029,0.257,0.002,0.128,50.793,0.04,11535.0,0.5323
1000.0,0.97,0.1074,0.2108,0.1083,0.0552,0.0,0.022,0.028,0.256,0.002,0.125,49.754,0.04,11545.0,0.5153
1000.0,1.16,0.1289,0.2476,0.1054,0.0549,0.0,0.022,0.027,0.255,0.002,0.122,48.696,0.04,11556.0,0.4976
1000.0,1.35,0.1504,0.2825,0.1024,0.0545,0.0,0.021,0.027,0.253,0.002,0.118,47.621,0.04,11568.0,0.4796
1000.0,1.55,0.1719,0.3154,0.0993,0.0541,0.0,0.021,0.026,0.251,0.002,0.115,46.519,0.04,11581.0,0.4612
1000.0,1.74,0.1934,0.3461,0.0959,0.0536,0.0,0.021,0.025,0.249,0.002,0.111,45.383,0.04,11594.0,0.4423
1000.0,1.93,0.2149,0.3747,0.0924,0.053,0.0,0.021,0.024,0.246,0.002,0.107,44.214,0.04,11608.0,0.423
1000.0,2.13,0.2363,0.4008,0.0887,0.0523,0.0,0.021,0.023,0.243,0.002,0.102,42.995,0.04,11622.0,0.403
1000.0,2.32,0.2578,0.4243,0.0849,0.0516,0.0,0.02,0.022,0.239,0.002,0.098,41.726,0.04,11637.0,0.3825
1000.0,2.51,0.2793,0.4449,0.0808,0.0507,0.0,0.02,0.021,0.236,0.002,0.093,40.385,0.04,11653.0,0.3612
1000.0,2.71,0.3008,0.4624,0.0766,0.0498,0.0,0.02,0.02,0.231,0.002,0.088,38.974,0.04,11669.0,0.3394
1000.0,2.9,0.3223,0.4764,0.0722,0.0489,0.0,0.019,0.019,0.227,0.002,0.083,37.483,0.04,11686.0,0.317
1000.0,3.09,0.3438,0.4868,0.0677,0.0478,0.0,0.019,0.018,0.222,0.002,0.078,35.902,0.04,11703.0,0.294
1000.0,3.29,0.3653,0.493,0.0631,0.0467,0.0,0.018,0.016,0.217,0.002,0.073,34.22,0.04,11721.0,0.2704
1000.0,3.48,0.3868,0.4946,0.0583,0.0456,0.0,0.018,0.015,0.212,0.002,0.067,32.425,0.04,11740.0,0.2464
1000.0,3.67,0.4082,0.4911,0.0534,0.0444,0.0,0.017,0.014,0.206,0.002,0.062,30.503,0.04,11760.0,0.2218
1000.0,3.87,0.4297,0.482,0.0484,0.0431,0.0,0.017,0.013,0.2,0.002,0.056,28.44,0.04,11780.0,0.1968
1000.0,4.06,0.4512,0.4665,0.0432,0.0418,0.0,0.016,0.011,0.194,0.002,0.05,26.217,0.04,11800.0,0.1715
1000.0,4.25,0.4727,0.444,0.038,0.0404,0.0,0.016,0.01,0.188,0.002,0.044,23.817,0.04,11822.0,0.1461
1000.0,4.45,0.4942,0.4135,0.0326,0.039,0.0,0.015,0.008,0.181,0.002,0.038,21.217,0.04,11844.0,0.1206
1000.0,4.64,0.5157,0.3741,0.0272,0.0375,0.0,0.015,0.007,0.174,0.002,0.031,18.394,0.04,11867.0,0.0955
1000.0,4.83,0.5372,0.3247,0.0218,0.036,0.0,0.014,0.006,0.167,0.002,0.025,15.325,0.04,11890.0,0.0712
1000.0,5.03,0.5586,0.2643,0.0163,0.0345,0.0,0.014,0.004,0.16,0.002,0.019,11.994,0.04,11914.0,0.0482
1000.0,5.22,0.5801,0.1921,0.0109,0.0329,0.0,0.013,0.003,0.153,0.001,0.013,8.396,0.04,11939.0,0.0276
1000.0,5.41,0.6016,0.1057,0.0055,0.0313,0.0,0.012,0.001,0.145,0.001,0.006,4.456,0.04,11964.0,0.0104
1000.0,5.61,0.6231,0.002,0.0001,0.0297,0.0,0.012,0.0,0.138,0.001,0.0,0.08,0.04,11988.0,0.0
2000.0,0.0,0.0,0.0,0.1202,0.0511,0.003,0.08,0.125,1.898,0.009,0.555,29.828,0.08,22995.0,0.6509
2000.0,0.4,0.0222,0.0511,0.1181,0.0513,0.003,0.08,0.123,1.904,0.009,0.546,29.218,0.08,23013.0,0.632
2000.0,0.8,0.0444,0.1002,0.1159,0.0514,0.003,0.081,0.12,1.908,0.009,0.535,28.611,0.08,23031.0,0.613
2000.0,1.2,0.0666,0.147,0.1135,0.0514,0.003,0.081,0.118,1.91,0.009,0.524,27.998,0.08,23051.0,0.5937
2000.0,1.6,0.0888,0.1918,0.1109,0.0513,0.003,0.081,0.115,1.906,0.009,0.512,27.393,0.08,23072.0,0.5741
2000.0,2.0,0.111,0.2344,0.1082,0.0512,0.003,0.08,0.112,1.902,0.009,0.5,26.785,0.08,23094.0,0.5545
2000.0,2.4,0.1332,0.2749,0.1052,0.0509,0.003,0.08,0.109,1.893,0.009,0.486,26.174,0.08,23117.0,0.5343
2000.0,2.8,0.1553,0.3132,0.102,0.0506,0.003,0.079,0.106,1.88,0.009,0.471,25.56,0.08,23142.0,0.5139
